Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,label
Kew,2,u,820000.0,5.6,2.0,1.0,2.0,0.0,Southern Metropolitan
Essendon,3,h,1240000.0,8.0,3.0,2.0,2.0,307.0,Western Metropolitan
Port Melbourne,6,h,1800000.0,3.8,6.0,4.0,2.0,353.0,Southern Metropolitan
Altona North,3,h,781000.0,11.1,3.0,1.0,2.0,533.0,Western Metropolitan
South Yarra,2,h,1200000.0,3.3,2.0,1.0,1.0,163.0,Southern Metropolitan
Doncaster,4,h,1300000.0,13.9,4.0,2.0,2.0,872.0,Eastern Metropolitan
Northcote,3,h,980000.0,5.5,3.0,1.0,0.0,279.0,Northern Metropolitan
Maribyrnong,2,u,495000.0,8.7,2.0,2.0,2.0,37000.0,Western Metropolitan
Malvern,2,t,1000000.0,7.4,2.0,2.0,1.0,156.0,Southern Metropolitan
Coburg North,4,h,850000.0,6.7,4.0,2.0,2.0,300.0,Northern Metropolitan
Footscray,2,u,310000.0,6.4,2.0,1.0,1.0,0.0,Western Metropolitan
Newport,4,t,930000.0,8.4,4.0,3.0,3.0,278.0,Western Metropolitan
St Kilda,2,u,550000.0,6.1,2.0,1.0,1.0,1357.0,Southern Metropolitan
Footscray,2,t,410000.0,6.4,2.0,2.0,1.0,65.0,Western Metropolitan
Heidelberg West,4,h,820000.0,9.4,4.0,2.0,2.0,608.0,Eastern Metropolitan
Caulfield South,2,h,1065000.0,9.3,2.0,1.0,1.0,273.0,Southern Metropolitan
Malvern East,4,t,1240000.0,11.2,4.0,2.0,2.0,310.0,Southern Metropolitan
Northcote,4,h,1300000.0,5.5,4.0,3.0,2.0,187.0,Northern Metropolitan
Box Hill,3,h,1500000.0,13.1,3.0,1.0,2.0,664.0,Eastern Metropolitan
Bentleigh East,3,u,830000.0,13.9,3.0,2.0,2.0,395.0,Southern Metropolitan
Brighton,4,h,2000000.0,11.2,4.0,2.0,2.0,471.0,Southern Metropolitan
Brighton,2,t,1055000.0,11.2,2.0,1.0,2.0,211.0,Southern Metropolitan
Fawkner,3,h,700000.0,13.1,3.0,1.0,4.0,658.0,Northern Metropolitan
Abbotsford,2,h,1035000.0,2.5,2.0,1.0,0.0,156.0,Northern Metropolitan
Ringwood East,2,u,609000.0,21.3,2.0,1.0,2.0,190.0,Eastern Metropolitan
Pascoe Vale,1,u,248500.0,9.9,1.0,1.0,1.0,49.0,Northern Metropolitan
Brighton East,5,h,1700000.0,10.7,4.0,2.0,1.0,994.0,Southern Metropolitan
Richmond,3,h,1422000.0,2.6,3.0,1.0,0.0,339.0,Northern Metropolitan
Maidstone,3,t,810000.0,6.4,3.0,2.0,2.0,209.0,Western Metropolitan
Williamstown,3,h,960000.0,8.0,3.0,2.0,1.0,189.0,Western Metropolitan
Bulleen,3,h,1340000.0,11.8,2.0,1.0,2.0,775.0,Eastern Metropolitan
Clifton Hill,2,h,880000.0,3.4,2.0,1.0,0.0,100.0,Northern Metropolitan
Sunshine,3,h,700000.0,10.5,3.0,2.0,1.0,485.0,Western Metropolitan
Lalor,3,h,596000.0,16.3,3.0,1.0,2.0,570.0,Northern Metropolitan
Carnegie,3,h,1420000.0,11.4,3.0,2.0,2.0,554.0,Southern Metropolitan
Eltham,2,u,566000.0,18.0,2.0,1.0,1.0,845.0,Eastern Metropolitan
Bentleigh East,3,h,1106000.0,13.9,3.0,1.0,2.0,584.0,Southern Metropolitan
Hawthorn,4,h,2900000.0,5.3,4.0,1.0,3.0,636.0,Southern Metropolitan
Camberwell,2,u,435000.0,7.8,2.0,1.0,1.0,896.0,Southern Metropolitan
Heidelberg West,3,h,710000.0,9.4,3.0,2.0,4.0,1.0,Eastern Metropolitan
Essendon,3,h,1695000.0,8.0,3.0,1.0,3.0,855.0,Western Metropolitan
Preston,2,h,942000.0,8.8,2.0,2.0,0.0,3037.0,Northern Metropolitan
Braybrook,3,t,505000.0,10.8,3.0,2.0,2.0,4931.0,Western Metropolitan
Sunbury,3,h,755000.0,31.7,3.0,1.0,2.0,1011.0,Western Metropolitan
Fitzroy,3,h,1250000.0,1.6,3.0,1.0,1.0,113.0,Northern Metropolitan
Seddon,3,h,990000.0,6.6,3.0,1.0,0.0,371.0,Western Metropolitan
Ascot Vale,3,h,1377000.0,5.9,3.0,1.0,1.0,417.0,Western Metropolitan
Reservoir,2,u,323000.0,11.2,2.0,1.0,1.0,0.0,Northern Metropolitan
Preston,3,h,810000.0,8.8,3.0,1.0,1.0,520.0,Northern Metropolitan
Bentleigh East,5,h,950000.0,13.9,5.0,2.0,4.0,618.0,Southern Metropolitan
Bentleigh,3,h,1350000.0,13.0,3.0,1.0,1.0,617.0,Southern Metropolitan
Ringwood,3,h,800000.0,19.9,3.0,1.0,1.0,737.0,Eastern Metropolitan
Ascot Vale,3,h,1375000.0,4.3,3.0,1.0,2.0,483.0,Western Metropolitan
Black Rock,4,h,1950000.0,17.3,4.0,3.0,2.0,665.0,Southern Metropolitan
Preston,2,u,530000.0,8.8,2.0,1.0,1.0,106.0,Northern Metropolitan
Templestowe Lower,4,h,903000.0,13.8,4.0,1.0,2.0,618.0,Eastern Metropolitan
Carnegie,4,h,1506000.0,11.4,4.0,2.0,2.0,561.0,Southern Metropolitan
Melbourne,1,u,333000.0,2.8,1.0,1.0,0.0,0.0,Northern Metropolitan
Toorak,4,h,4000000.0,4.6,4.0,2.0,2.0,684.0,Southern Metropolitan
Maribyrnong,2,t,479000.0,8.7,2.0,2.0,1.0,0.0,Western Metropolitan
Seddon,2,u,533000.0,6.6,2.0,1.0,1.0,0.0,Western Metropolitan
Pascoe Vale,3,h,612500.0,9.9,3.0,1.0,1.0,522.0,Northern Metropolitan
