Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,label
Essendon,1,u,320500.0,8.0,1.0,1.0,1.0,0.0,Western Metropolitan
Melbourne,1,u,375000.0,2.8,1.0,1.0,0.0,1414.0,Northern Metropolitan
Ivanhoe,3,h,950000.0,7.9,3.0,3.0,2.0,290.0,Eastern Metropolitan
Pascoe Vale,3,h,767000.0,9.9,3.0,1.0,1.0,505.0,Northern Metropolitan
Ivanhoe East,1,u,405000.0,9.0,1.0,1.0,1.0,0.0,Eastern Metropolitan
Balwyn North,4,h,2000000.0,9.7,4.0,2.0,5.0,700.0,Southern Metropolitan
Prahran,2,u,560000.0,4.5,2.0,1.0,1.0,0.0,Southern Metropolitan
North Melbourne,2,u,528500.0,2.3,2.0,1.0,1.0,0.0,Northern Metropolitan
Windsor,2,u,555000.0,5.1,2.0,1.0,1.0,0.0,Southern Metropolitan
St Kilda,3,h,2720000.0,6.1,3.0,2.0,0.0,367.0,Southern Metropolitan
Reservoir,4,h,790000.0,11.2,4.0,2.0,2.0,1090.0,Northern Metropolitan
St Kilda,2,u,680000.0,6.1,2.0,1.0,0.0,0.0,Southern Metropolitan
Glen Iris,1,u,452000.0,9.2,1.0,1.0,1.0,63.0,Southern Metropolitan
Templestowe Lower,4,h,1165000.0,13.8,4.0,2.0,4.0,673.0,Eastern Metropolitan
Ivanhoe,1,u,385000.0,7.9,1.0,1.0,1.0,0.0,Eastern Metropolitan
Richmond,2,h,1025000.0,2.6,2.0,1.0,1.0,169.0,Northern Metropolitan
Altona,3,h,1005000.0,11.0,3.0,1.0,2.0,636.0,Western Metropolitan
Ormond,1,u,370000.0,11.4,1.0,1.0,1.0,2029.0,Southern Metropolitan
Richmond,2,h,1125000.0,2.6,2.0,1.0,0.0,103.0,Northern Metropolitan
Eaglemont,4,h,2309000.0,10.3,4.0,3.0,2.0,1177.0,Eastern Metropolitan
Elsternwick,2,u,410000.0,8.5,0.0,0.0,0.0,0.0,Southern Metropolitan
Camberwell,3,h,2000000.0,7.8,3.0,1.0,2.0,821.0,Southern Metropolitan
Cheltenham,3,h,1051000.0,17.9,3.0,1.0,3.0,590.0,Southern Metropolitan
Maribyrnong,3,h,920000.0,8.7,3.0,1.0,2.0,689.0,Western Metropolitan
Brighton East,3,h,1400000.0,10.7,3.0,1.0,2.0,677.0,Southern Metropolitan
Brunswick,3,h,1053000.0,5.2,3.0,1.0,1.0,343.0,Northern Metropolitan
Hadfield,3,t,630000.0,12.1,3.0,2.0,1.0,240.0,Northern Metropolitan
Richmond,2,u,640000.0,2.6,2.0,1.0,2.0,0.0,Northern Metropolitan
Thornbury,2,h,1085000.0,6.5,2.0,1.0,2.0,303.0,Northern Metropolitan
Essendon West,3,t,970000.0,9.8,3.0,2.0,2.0,356.0,Western Metropolitan
Edithvale,6,h,1850000.0,27.0,6.0,4.0,4.0,840.0,South-Eastern Metropolitan
Malvern East,3,h,2020000.0,11.2,3.0,2.0,2.0,711.0,Southern Metropolitan
Essendon,1,u,310000.0,7.5,1.0,1.0,1.0,0.0,Western Metropolitan
Port Melbourne,1,u,456000.0,3.8,1.0,1.0,1.0,0.0,Southern Metropolitan
Ascot Vale,5,h,1905000.0,5.9,5.0,2.0,2.0,521.0,Western Metropolitan
Ashburton,2,h,1445000.0,11.0,2.0,1.0,2.0,704.0,Southern Metropolitan
Elsternwick,2,u,537000.0,8.5,2.0,1.0,1.0,0.0,Southern Metropolitan
Thornbury,3,h,1135000.0,6.5,3.0,1.0,1.0,294.0,Northern Metropolitan
Pascoe Vale,1,u,257500.0,8.5,1.0,1.0,1.0,0.0,Northern Metropolitan
Burwood East,3,h,930000.0,14.7,3.0,2.0,2.0,369.0,Eastern Metropolitan
Malvern East,3,h,2305000.0,11.2,3.0,2.0,2.0,543.0,Southern Metropolitan
Niddrie,3,h,1065000.0,11.2,3.0,1.0,2.0,653.0,Western Metropolitan
Malvern East,3,h,2210000.0,11.2,3.0,1.0,2.0,789.0,Southern Metropolitan
Carrum,3,h,825000.0,31.2,3.0,2.0,1.0,355.0,South-Eastern Metropolitan
Mentone,2,u,641000.0,20.0,2.0,1.0,1.0,0.0,South-Eastern Metropolitan
Yarraville,3,h,1419000.0,7.0,3.0,1.0,2.0,270.0,Western Metropolitan
Thomastown,4,h,760000.0,15.3,4.0,1.0,2.0,695.0,Northern Metropolitan
Ivanhoe,3,t,1010000.0,7.9,3.0,2.0,2.0,314.0,Eastern Metropolitan
Carnegie,3,h,1530000.0,10.1,3.0,1.0,1.0,684.0,Southern Metropolitan
Essendon,2,u,580000.0,7.5,2.0,1.0,1.0,921.0,Western Metropolitan
Moonee Ponds,4,h,1531000.0,6.9,4.0,2.0,3.0,508.0,Western Metropolitan
Cranbourne North,4,h,670000.0,34.7,4.0,2.0,2.0,612.0,South-Eastern Metropolitan
Glen Waverley,3,h,3056000.0,16.7,4.0,2.0,2.0,1590.0,Eastern Metropolitan
Elwood,1,u,485000.0,7.7,1.0,1.0,1.0,0.0,Southern Metropolitan
Ormond,2,h,1360000.0,11.8,3.0,1.0,1.0,690.0,Southern Metropolitan
Altona,3,u,670000.0,11.0,3.0,2.0,1.0,284.0,Western Metropolitan
Elsternwick,4,h,1100000.0,8.5,4.0,2.0,0.0,147.0,Southern Metropolitan
Tullamarine,3,h,615500.0,12.9,3.0,2.0,1.0,238.0,Western Metropolitan
Hughesdale,2,u,623000.0,13.0,2.0,1.0,1.0,101.0,Southern Metropolitan
Carnegie,1,u,316000.0,10.1,1.0,1.0,1.0,1978.0,Southern Metropolitan
Bundoora,5,h,940000.0,12.1,5.0,3.0,2.0,593.0,Northern Metropolitan
Brunswick East,2,u,632000.0,4.5,2.0,1.0,2.0,65.0,Northern Metropolitan
Brighton,4,h,2250000.0,10.5,4.0,2.0,1.0,512.0,Southern Metropolitan
Malvern,5,h,4240000.0,7.4,5.0,3.0,3.0,580.0,Southern Metropolitan
Pascoe Vale,2,u,497000.0,9.9,2.0,1.0,1.0,123.0,Northern Metropolitan
Glen Iris,4,h,2920000.0,7.3,4.0,3.0,3.0,1064.0,Southern Metropolitan
Kew,4,h,3015000.0,5.4,4.0,2.0,2.0,813.0,Southern Metropolitan
Malvern East,3,h,1625000.0,11.2,3.0,2.0,1.0,87.0,Southern Metropolitan
Footscray,2,u,295000.0,6.4,2.0,1.0,1.0,0.0,Western Metropolitan
Seddon,3,h,1200000.0,6.6,2.0,1.0,1.0,374.0,Western Metropolitan
St Kilda,2,u,460000.0,5.0,2.0,1.0,1.0,0.0,Southern Metropolitan
Bulleen,4,t,910000.0,11.8,4.0,2.0,2.0,190.0,Eastern Metropolitan
Alphington,2,t,805000.0,6.4,2.0,2.0,3.0,155.0,Northern Metropolitan
Moonee Ponds,3,h,1205000.0,6.2,3.0,1.0,1.0,375.0,Western Metropolitan
Hadfield,3,h,785000.0,11.2,3.0,1.0,1.0,602.0,Northern Metropolitan
Templestowe,4,h,2000000.0,15.5,4.0,2.0,2.0,457.0,Eastern Metropolitan
Reservoir,3,h,510000.0,12.0,3.0,2.0,2.0,292.0,Northern Metropolitan
Carnegie,1,u,381000.0,10.1,1.0,1.0,1.0,2048.0,Southern Metropolitan
Rosanna,2,u,615000.0,11.4,2.0,1.0,1.0,190.0,Eastern Metropolitan
Balwyn,4,h,3180000.0,9.7,4.0,3.0,4.0,1148.0,Southern Metropolitan
Brunswick East,2,u,665000.0,4.5,2.0,1.0,1.0,0.0,Northern Metropolitan
Hawthorn East,3,h,1865000.0,7.5,3.0,2.0,2.0,431.0,Southern Metropolitan
Bentleigh,3,h,1199000.0,11.4,3.0,1.0,2.0,383.0,Southern Metropolitan
Kew,4,h,2450000.0,5.6,3.0,2.0,2.0,1012.0,Southern Metropolitan
Bulleen,4,h,1280000.0,11.8,4.0,1.0,2.0,732.0,Eastern Metropolitan
Southbank,1,u,385500.0,1.2,1.0,1.0,1.0,1826.0,Southern Metropolitan
North Melbourne,2,h,1010000.0,2.3,2.0,2.0,0.0,109.0,Northern Metropolitan
Strathmore,5,h,915000.0,9.7,5.0,3.0,4.0,754.0,Western Metropolitan
Balwyn,2,t,760000.0,9.7,2.0,1.0,1.0,121.0,Southern Metropolitan
Carnegie,3,h,1570000.0,10.1,3.0,2.0,2.0,602.0,Southern Metropolitan
Sandringham,2,u,643500.0,15.2,2.0,1.0,1.0,0.0,Southern Metropolitan
Fawkner,4,h,615000.0,12.4,4.0,2.0,3.0,476.0,Northern Metropolitan
Reservoir,4,h,1015000.0,11.2,4.0,1.0,1.0,518.0,Northern Metropolitan
Mernda,3,h,547000.0,25.9,3.0,2.0,2.0,410.0,Northern Metropolitan
Kew,4,h,2560000.0,5.6,4.0,3.0,4.0,670.0,Southern Metropolitan
Werribee,3,h,529000.0,14.7,3.0,2.0,2.0,847.0,Western Metropolitan
Heidelberg West,4,h,820000.0,9.4,4.0,2.0,2.0,608.0,Eastern Metropolitan
Mentone,3,t,995000.0,20.0,3.0,3.0,2.0,248.0,South-Eastern Metropolitan
Caulfield East,3,h,1650000.0,9.3,20.0,1.0,2.0,875.0,Southern Metropolitan
Croydon,3,h,840500.0,23.0,3.0,1.0,2.0,850.0,Eastern Metropolitan
Carnegie,2,t,855000.0,11.4,2.0,1.0,1.0,158.0,Southern Metropolitan
Mount Waverley,2,u,611000.0,14.2,2.0,1.0,1.0,161.0,Eastern Metropolitan
Craigieburn,3,h,607500.0,20.6,3.0,2.0,2.0,654.0,Northern Metropolitan
Balaclava,2,u,490000.0,6.6,2.0,1.0,0.0,601.0,Southern Metropolitan
Clifton Hill,2,h,1105000.0,3.4,2.0,1.0,1.0,185.0,Northern Metropolitan
