Feature	Importance
hydrophobicity_PONP930101.G2	0.024169
polarizability.G1	0.022807
normwaalsvolume.G1	0.021050
hydrophobicity_ENGD860101.G2	0.017723
polarity.G2	0.017053
polarizability.G3	0.015789
hydrophobicity_PRAM900101.G2	0.014275
AA-feat	0.013590
hydrophobicity_PONP930101.G3	0.012773
hydrophobicity_PRAM900101.G3	0.011998
hydrophobicity_ENGD860101.G1	0.011909
polarity.G1	0.010710
charge.G1	0.010582
postivecharge	0.009630
alphatic	0.009309
hydrophobicity_ZIMJ680101.G3	0.008983
hydrophobicity_FASG890101.G2	0.008449
normwaalsvolume.G3	0.007757
hydrophobicity_ZIMJ680101.G1	0.007692
hydrophobicity_ARGP820101.G3	0.007488
alphaticr.alphaticr.alphaticr	0.007112
GA-feat	0.006021
hydrophobicity_PRAM900101.G1	0.005780
g2.g5.g2	0.005637
solventaccess.G2	0.005424
hydrophobicity_ENGD860101.G3	0.005312
solventaccess.G1	0.005303
AV-feat	0.005225
polarity.G3	0.005067
Autocorr_w1	0.005048
VA-feat	0.004846
g1.g1.g1	0.003864
Crosscorr_w1	0.003750
AE-feat	0.003747
hydrophobicity_FASG890101.G1	0.003691
alphaticr.alphaticr.postivecharger	0.003478
EG-feat	0.003441
g5.g2.g5	0.003328
hydrophobicity_CASG920101.G3	0.003242
g2.g5.g3	0.003211
g6.g1.g1	0.003032
g2.g2.g4	0.002998
hydrophobicity_CASG920101.G2	0.002986
alphaticr.alphaticr.uncharger	0.002966
GV-feat	0.002852
g3.g2.g5	0.002840
AL-feat	0.002750
GG-feat	0.002694
g2.g2.g3	0.002679
KL-feat	0.002624
Global Avg	0.002597
g5.g2.g2	0.002478
hydrophobicity_ARGP820101.G1	0.002448
hydrophobicity_ARGP820101.G2	0.002441
g4.g2.g5	0.002415
g2.g5.g6	0.002407
normwaalsvolume.G2	0.002358
PA-feat	0.002344
A_A	0.002307
negativecharge	0.002306
secondarystruct.G3	0.002269
g2.g5.g5	0.002251
g2.g4.g4	0.002238
negativecharger.alphaticr.alphaticr	0.002210
g2.g3.g2	0.002210
k1	0.002137
VE-feat	0.002123
TA-feat	0.002103
charge.G3	0.002100
g4.g3.g2	0.002058
alphaticr.postivecharger.uncharger	0.002049
g4.g5.g2	0.002024
g2.g3.g5	0.002015
g3.g4.g2	0.001999
uncharger.uncharger.postivecharger	0.001965
g2.g2.g5	0.001963
uncharger.postivecharger.aromatic	0.001934
KG-feat	0.001919
g2.g2.g2	0.001884
SK-feat	0.001871
KQ-feat	0.001859
Autocorr_w2	0.001821
TD-feat	0.001812
solventaccess.G3	0.001800
KI-feat	0.001796
KK-feat	0.001772
k5	0.001765
uncharge	0.001758
IK-feat	0.001748
V_A	0.001738
g5.g1.g1	0.001733
g2.g3.g3	0.001716
hydrophobicity_CASG920101.G1	0.001697
MA-feat	0.001686
ED-feat	0.001675
VT-feat	0.001665
LE-feat	0.001640
g3.g3.g5	0.001625
alphaticr.alphaticr.negativecharger	0.001608
A_E	0.001588
k2	0.001586
AD-feat	0.001566
FI-feat	0.001540
g3.g5.g4	0.001521
HH-feat	0.001516
g2.g5.g4	0.001509
Autocorr_w3	0.001509
AP-feat	0.001499
uncharger.aromatic.uncharger	0.001487
alphaticr.uncharger.postivecharger	0.001453
uncharger.alphaticr.negativecharger	0.001436
charge.G2	0.001425
g5.g4.g2	0.001423
aromatic.uncharger.uncharger	0.001422
DL-feat	0.001419
AQ-feat	0.001410
LT-feat	0.001401
g3.g1.g1	0.001394
G_N	0.001389
uncharger.postivecharger.uncharger	0.001387
g3.g5.g2	0.001378
AG-feat	0.001375
uncharger.alphaticr.alphaticr	0.001374
LL-feat	0.001372
GW-feat	0.001358
postivecharger.postivecharger.alphaticr	0.001355
EI-feat	0.001353
Autocorr_w6	0.001315
FV-feat	0.001313
polarizability.G2	0.001299
Crosscorr_w7	0.001294
aromatic.uncharger.postivecharger	0.001292
LG-feat	0.001290
TE-feat	0.001290
g5.g5.g2	0.001288
uncharger.aromatic.postivecharger	0.001284
g1.g1.g2	0.001283
g3.g6.g4	0.001281
g3.g1.g3	0.001280
P_L	0.001275
A_V	0.001269
DA-feat	0.001254
LQ-feat	0.001252
aromatic	0.001250
uncharger.negativecharger.alphaticr	0.001246
GS-feat	0.001244
g5.g2.g3	0.001239
g2.g4.g2	0.001234
g5.g3.g6	0.001233
VW-feat	0.001231
MF-feat	0.001231
VK-feat	0.001225
DM-feat	0.001220
Y_D	0.001212
AI-feat	0.001212
LK-feat	0.001211
TF-feat	0.001207
uncharger.alphaticr.postivecharger	0.001194
I_A	0.001189
PE-feat	0.001184
NL-feat	0.001177
postivecharger.postivecharger.uncharger	0.001174
GP-feat	0.001174
g3.g1.g2	0.001171
g5.g1.g2	0.001167
g6.g3.g4	0.001165
secondarystruct.G1	0.001164
GT-feat	0.001163
k4	0.001163
negativecharger.negativecharger.alphaticr	0.001163
g1.g5.g1	0.001159
TV-feat	0.001155
g1.g1.g5	0.001154
g2.g6.g4	0.001146
alphaticr.postivecharger.alphaticr	0.001144
DV-feat	0.001142
g1.g6.g3	0.001124
RG-feat	0.001123
postivecharger.negativecharger.alphaticr	0.001118
g3.g2.g3	0.001118
DE-feat	0.001113
HY-feat	0.001108
g5.g3.g1	0.001105
VV-feat	0.001102
RS-feat	0.001101
RI-feat	0.001101
KA-feat	0.001086
postivecharger.alphaticr.negativecharger	0.001085
aromatic.alphaticr.alphaticr	0.001078
WT-feat	0.001076
g2.g6.g1	0.001075
IR-feat	0.001074
A_T	0.001072
g5.g6.g2	0.001069
alphaticr.postivecharger.aromatic	0.001052
GK-feat	0.001041
HE-feat	0.001040
uncharger.alphaticr.aromatic	0.001034
negativecharger.alphaticr.aromatic	0.001009
GR-feat	0.001008
g6.g5.g1	0.001005
SA-feat	0.000999
alphaticr.negativecharger.alphaticr	0.000998
DG-feat	0.000993
g2.g3.g4	0.000992
alphaticr.uncharger.negativecharger	0.000992
VG-feat	0.000991
aromatic.negativecharger.alphaticr	0.000991
TT-feat	0.000988
postivecharger.uncharger.aromatic	0.000988
negativecharger.negativecharger.aromatic	0.000986
g6.g2.g2	0.000985
LA-feat	0.000976
g4.g4.g4	0.000976
g4.g4.g2	0.000974
EA-feat	0.000974
SR-feat	0.000973
g6.g5.g2	0.000965
Autocorr_w4	0.000962
g3.g4.g6	0.000957
PG-feat	0.000955
VD-feat	0.000955
negativecharger.uncharger.alphaticr	0.000949
hydrophobicity_PONP930101.G1	0.000947
postivecharger.alphaticr.postivecharger	0.000946
T_E	0.000944
uncharger.negativecharger.aromatic	0.000943
uncharger.alphaticr.uncharger	0.000940
T_A	0.000938
uncharger.negativecharger.uncharger	0.000933
g6.g1.g6	0.000933
FD-feat	0.000931
negativecharger.postivecharger.alphaticr	0.000930
I_R	0.000926
GL-feat	0.000924
alphaticr.uncharger.uncharger	0.000923
g2.g3.g6	0.000920
EP-feat	0.000919
GI-feat	0.000913
alphaticr.uncharger.alphaticr	0.000909
alphaticr.aromatic.negativecharger	0.000906
g5.g5.g3	0.000905
g5.g5.g5	0.000905
g1.g5.g4	0.000903
Crosscorr_w2	0.000901
QQ-feat	0.000899
