Feature	Importance
population_standard_deviation	0.070000
percentile25	0.070000
CG	0.060000
maximum	0.055000
none_levated_peak	0.055000
percentile75	0.050000
sample_standard_deviation	0.050000
semi_interquartile_range	0.050000
percentile15	0.045000
k-tsallis42.3	0.045000
amplitude	0.045000
median	0.045000
variance	0.045000
interquartile_range	0.045000
average	0.040000
k-tsallis32.3	0.040000
k-tsallis52.3	0.040000
TC	0.035000
percentile50	0.035000
k-tsallis22.3	0.030000
CC	0.025000
k-tsallis12.3	0.015000
coefficient_of_variation	0.010000
