nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_U00096.3/3982510-3982582,1.0842,0.40816,Predicted
pre_1_U00096.3/225500-225572,0.7339,0.33995999999999993,Predicted
pre_2_U00096.3/225381-225454,0.4458,0.28286,Predicted
pre_3_U00096.3/262871-262943,1.1634,0.41554,Predicted
pre_4_U00096.3/3982375-3982448,0.5068,0.28318000000000004,Predicted
pre_5_U00096.3/2947387-2947460,0.8542000000000001,0.36464,Predicted
pre_6_U00096.3/297178-297251,0.9914000000000001,0.4698,Predicted
pre_7_U00096.3/696740-696667,1.1537,0.46475,Predicted
pre_8_U00096.3/925971-925887,0.7107,0.34538,Predicted
pre_9_U00096.3/2785837-2785765,0.775,0.38308,Predicted
