nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_train_U00096.3/228758-228873,0.8574999999999999,0.39479000000000003,rRNA
pre_1_train_U00096.3/4040519-4040634,0.8783000000000001,0.40011,rRNA
pre_2_train_U00096.3/3423540-3423425,1.0016,0.43895999999999996,rRNA
pre_3_train_U00096.3/3941808-3943349,0.4579,0.34519,rRNA
pre_4_train_U00096.3/3428762-3427221,0.4579,0.34519,rRNA
pre_5_train_U00096.3/2731157-2729616,0.4579,0.34519,rRNA
pre_6_train_U00096.3/4035531-4037072,0.4579,0.34519,rRNA
pre_7_train_U00096.3/4166659-4168200,0.4579,0.34519,rRNA
pre_8_train_U00096.3/223771-225312,0.4943,0.34767000000000003,rRNA
pre_9_train_U00096.3/4035536-4037070,0.4579,0.34519,rRNA
pre_10_train_U00096.3/3428757-3427223,0.47709999999999997,0.34367000000000003,rRNA
pre_11_train_U00096.3/2731152-2729618,0.4436,0.34182999999999997,rRNA
pre_12_train_U00096.3/223776-225310,0.4579,0.34519,rRNA
pre_13_train_U00096.3/3428757-3427226,0.4579,0.34519,rRNA
pre_14_train_U00096.3/4166664-4168195,0.4579,0.34519,rRNA
pre_15_train_U00096.3/4035536-4037067,0.4579,0.34519,rRNA
pre_16_train_U00096.3/2731152-2729621,0.4436,0.34182999999999997,rRNA
pre_17_train_U00096.3/4210042-4212945,0.4868,0.33828,rRNA
pre_18_train_U00096.3/225758-228661,0.4868,0.33828,rRNA
pre_19_train_U00096.3/4037518-4040422,0.4453,0.2813,rRNA
pre_20_train_U00096.3/3943703-3946606,0.4868,0.33828,rRNA
pre_21_train_U00096.3/3426784-3423881,0.4868,0.33828,rRNA
pre_22_train_U00096.3/2729184-2726281,0.4505,0.32442000000000004,rRNA
pre_23_train_U00096.3/4210043-4212946,0.4868,0.33828,rRNA
pre_24_train_U00096.3/225759-228662,0.4868,0.33828,rRNA
pre_25_train_U00096.3/4037519-4040423,0.4453,0.2813,rRNA
pre_26_train_U00096.3/3426783-3423880,0.4505,0.32442000000000004,rRNA
pre_27_train_U00096.3/2729025-2726292,0.4868,0.33828,rRNA
pre_28_train_U00096.3/4210202-4212928,0.4868,0.33828,rRNA
pre_29_train_U00096.3/4037678-4040405,0.4505,0.27262000000000003,rRNA
pre_30_train_U00096.3/225918-228644,0.4868,0.33828,rRNA
pre_31_train_U00096.3/3426624-3423891,0.4868,0.33828,rRNA
nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_train_U00096.3/2025313-2025227,0.6702000000000001,0.41348,sRNA
pre_1_train_U00096.3/2924515-2924156,0.507,0.35172000000000003,sRNA
pre_2_train_U00096.3/4049889-4050007,0.6492,0.38014,sRNA
pre_3_train_U00096.3/4158394-4158285,0.9909000000000001,0.41352999999999995,sRNA
