nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
pre_0_train_ACP_1,0.3555154676825301,0.5240873181399047,0.6345376095556297,0.6726541876909928,0.6966576971452233,acp
pre_1_train_ACP_2,0.45682600140144797,,,,,acp
pre_2_train_ACP_3,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_3_train_ACP_4,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_4_train_ACP_5,0.49368238370963474,0.6423550085795294,0.5848145914551631,0.45682600140144797,,acp
pre_5_train_ACP_6,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_6_train_ACP_7,0.4381573545930354,0.45682600140144797,0.4050347806404199,0.45682600140144797,,acp
pre_7_train_ACP_8,0.4050347806404199,0.45682600140144797,,,,acp
pre_8_train_ACP_9,0.640449129268871,0.7338087237737652,0.7518066165082018,0.7581859989123367,0.7595716116686398,acp
pre_9_train_ACP_10,,,,,,acp
nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
pre_0_train_U00096.3/3982510-3982582,0.6351946532027563,0.7422325261109354,0.7611592852827065,0.7651319164414154,0.7658353715898868,tRNA
pre_1_train_U00096.3/225500-225572,0.6277151966658882,0.7370926264914337,0.7603031971729667,0.764971100989513,0.7657027033717331,tRNA
pre_2_train_U00096.3/225381-225454,0.6340244115245555,0.7397126751083057,0.7599332061327035,0.7648168914069279,0.7655169650582095,tRNA
pre_3_train_U00096.3/262871-262943,0.6402494604496084,0.742019093675796,0.7614077447779176,0.7655169650582095,0.7659680398080405,tRNA
pre_4_train_U00096.3/3982375-3982448,0.6175346987579347,0.7357990092714947,0.760621455245466,0.7648168914069279,0.766030363213935,tRNA
pre_5_train_U00096.3/2947387-2947460,0.6223037374644688,0.735913656921925,0.760168905332966,0.7649411211545335,0.7657736641360723,tRNA
pre_6_train_U00096.3/297178-297251,0.6372312350880239,0.7416229090904718,0.7602645830609168,0.764599855726775,0.7657736641360723,tRNA
pre_7_train_U00096.3/696740-696667,0.6419371385740921,0.7437416178401209,0.761524392858373,0.7653452342124085,0.7659020136750037,tRNA
pre_8_train_U00096.3/925971-925887,0.6292687099371937,0.7412093942626051,0.7613209088484222,0.7654652697553949,0.7663911868350431,tRNA
pre_9_train_U00096.3/2785837-2785765,0.6385356044030994,0.7411418726520015,0.7615226048264387,0.7647144019116502,0.7658353715898868,tRNA
