Feature	Importance
TC	0.070000
fmedian	0.065000
fnone_levated_peak	0.065000
fsemi_interquartile_range	0.060000
CG	0.060000
fpercentile15	0.060000
fmaximum	0.050000
fvariance	0.045000
finterquartile_range	0.045000
G_TTC	0.040000
fsample_standard_deviation	0.040000
faverage	0.035000
fpopulation_standard_deviation	0.035000
GT	0.035000
fpercentile75	0.035000
G_CT	0.030000
C_CA	0.030000
CC	0.030000
fpercentile50	0.025000
famplitude	0.025000
T_GCT	0.025000
G_TG	0.020000
A_GT	0.020000
G_GC	0.015000
A_TC	0.015000
T_GG	0.015000
CT	0.010000
