Feature	Importance
polarizability.G1	150.000000
hydrophobicity_PONP930101.G2	123.000000
hydrophobicity_ENGD860101.G2	122.000000
hydrophobicity_ZIMJ680101.G1	86.000000
hydrophobicity_PONP930101.G3	76.000000
normwaalsvolume.G1	73.000000
polarity.G2	68.000000
hydrophobicity_PRAM900101.G2	59.000000
AA-feat	55.000000
hydrophobicity_PRAM900101.G3	45.000000
g5.g1.g2	42.000000
postivecharge	38.000000
hydrophobicity_ZIMJ680101.G3	36.000000
g2.g2.g3	35.000000
g2.g3.g5	35.000000
hydrophobicity_FASG890101.G2	34.000000
hydrophobicity_ARGP820101.G3	32.000000
TL-feat	31.000000
g2.g2.g1	31.000000
charge.G1	31.000000
EG-feat	30.000000
DN-feat	30.000000
SK-feat	28.000000
normwaalsvolume.G3	28.000000
KL-feat	28.000000
alphatic	28.000000
g3.g1.g2	27.000000
AV-feat	24.000000
hydrophobicity_CASG920101.G3	24.000000
alphaticr.postivecharger.uncharger	24.000000
AE-feat	24.000000
P_L	24.000000
TD-feat	23.000000
LV-feat	22.000000
uncharger.aromatic.uncharger	22.000000
g2.g4.g4	22.000000
alphaticr.alphaticr.alphaticr	22.000000
hydrophobicity_FASG890101.G1	22.000000
uncharge	20.000000
alphaticr.postivecharger.aromatic	20.000000
g4.g2.g5	20.000000
GD-feat	20.000000
g1.g7.g1	19.000000
RG-feat	18.000000
L_K	18.000000
RV-feat	17.000000
alphaticr.negativecharger.negativecharger	17.000000
TV-feat	17.000000
hydrophobicity_ENGD860101.G3	17.000000
g2.g5.g3	17.000000
Autocorr_w7	16.000000
g5.g5.g5	16.000000
IF-feat	16.000000
LG-feat	16.000000
LP-feat	16.000000
MA-feat	16.000000
AR-feat	15.000000
uncharger.postivecharger.aromatic	15.000000
KS-feat	14.000000
VE-feat	14.000000
Autocorr_w4	14.000000
VC-feat	14.000000
g3.g2.g1	14.000000
LQ-feat	14.000000
g2.g5.g2	13.000000
hydrophobicity_FASG890101.G3	13.000000
g4.g5.g2	13.000000
g5.g5.g2	13.000000
VA-feat	13.000000
VG-feat	13.000000
KG-feat	13.000000
KV-feat	13.000000
AG-feat	13.000000
aromatic	13.000000
QI-feat	13.000000
Autocorr_w1	13.000000
hydrophobicity_PONP930101.G1	12.000000
Moment	12.000000
alphaticr.uncharger.uncharger	12.000000
PA-feat	12.000000
k3	12.000000
aromatic.uncharger.postivecharger	12.000000
QK-feat	11.000000
LA-feat	11.000000
polarizability.G2	11.000000
AS-feat	11.000000
g4.g4.g2	11.000000
g4.g6.g5	11.000000
g5.g2.g5	11.000000
uncharger.postivecharger.alphaticr	11.000000
g1.g2.g1	11.000000
g3.g1.g1	10.000000
R_T	10.000000
GV-feat	10.000000
IV-feat	10.000000
g6.g2.g6	10.000000
g2.g1.g4	10.000000
k1	10.000000
hydrophobicity_CASG920101.G2	10.000000
aromatic.negativecharger.negativecharger	10.000000
PT-feat	10.000000
normwaalsvolume.G2	10.000000
alphaticr.alphaticr.postivecharger	10.000000
hydrophobicity_ENGD860101.G1	10.000000
g1.g4.g6	9.000000
postivecharger.alphaticr.postivecharger	9.000000
aromatic.negativecharger.alphaticr	9.000000
k4	9.000000
negativecharge	9.000000
g4.g1.g5	9.000000
VK-feat	9.000000
AM-feat	9.000000
secondarystruct.G2	9.000000
SE-feat	9.000000
DA-feat	9.000000
g2.g2.g4	9.000000
LL-feat	9.000000
negativecharger.alphaticr.aromatic	9.000000
uncharger.alphaticr.uncharger	9.000000
Global Avg	9.000000
II-feat	8.000000
L_N	8.000000
VT-feat	8.000000
g4.g3.g2	8.000000
alphaticr.alphaticr.negativecharger	8.000000
g3.g6.g1	8.000000
alphaticr.postivecharger.postivecharger	8.000000
alphaticr.uncharger.postivecharger	8.000000
g3.g1.g3	8.000000
postivecharger.alphaticr.uncharger	8.000000
g2.g2.g2	8.000000
GK-feat	8.000000
negativecharger.negativecharger.alphaticr	8.000000
FV-feat	8.000000
G_N	8.000000
g1.g3.g4	8.000000
KE-feat	8.000000
IA-feat	8.000000
hydrophobicity_ARGP820101.G1	8.000000
HM-feat	8.000000
HE-feat	8.000000
g1.g6.g1	7.000000
IK-feat	7.000000
AH-feat	7.000000
AP-feat	7.000000
YL-feat	7.000000
NS-feat	7.000000
NL-feat	7.000000
alphaticr.postivecharger.alphaticr	7.000000
EN-feat	7.000000
hydrophobicity_PRAM900101.G1	7.000000
g3.g2.g3	7.000000
aromatic.uncharger.uncharger	7.000000
g2.g6.g3	7.000000
g1.g2.g6	7.000000
LT-feat	7.000000
VL-feat	7.000000
g2.g3.g2	7.000000
uncharger.negativecharger.aromatic	7.000000
negativecharger.postivecharger.alphaticr	7.000000
g1.g6.g6	7.000000
VP-feat	7.000000
IN-feat	7.000000
g5.g3.g1	7.000000
SR-feat	7.000000
A_A	7.000000
TE-feat	7.000000
postivecharger.alphaticr.negativecharger	6.000000
NA-feat	6.000000
GR-feat	6.000000
EL-feat	6.000000
uncharger.alphaticr.aromatic	6.000000
uncharger.alphaticr.postivecharger	6.000000
ED-feat	6.000000
T_S	6.000000
TT-feat	6.000000
alphaticr.aromatic.alphaticr	6.000000
DV-feat	6.000000
g5.g2.g3	6.000000
g1.g3.g2	6.000000
NP-feat	6.000000
EP-feat	6.000000
g3.g2.g2	6.000000
CV-feat	6.000000
MI-feat	6.000000
E_V	6.000000
GA-feat	6.000000
Q_A	6.000000
postivecharger.postivecharger.uncharger	6.000000
g6.g2.g2	6.000000
negativecharger.alphaticr.alphaticr	6.000000
g5.g3.g6	6.000000
negativecharger.alphaticr.uncharger	6.000000
negativecharger.aromatic.alphaticr	6.000000
LI-feat	6.000000
FD-feat	6.000000
FA-feat	6.000000
aromatic.uncharger.alphaticr	6.000000
aromatic.negativecharger.postivecharger	6.000000
TA-feat	6.000000
HH-feat	6.000000
g2.g3.g3	6.000000
hydrophobicity_ZIMJ680101.G2	6.000000
YG-feat	6.000000
HY-feat	6.000000
K_K	6.000000
IE-feat	6.000000
uncharger.uncharger.uncharger	6.000000
AL-feat	6.000000
PE-feat	6.000000
AD-feat	6.000000
RY-feat	6.000000
IQ-feat	6.000000
L_V	6.000000
AN-feat	5.000000
charge.G2	5.000000
RI-feat	5.000000
g2.g1.g2	5.000000
SA-feat	5.000000
LH-feat	5.000000
AK-feat	5.000000
g6.g5.g1	5.000000
aromatic.alphaticr.negativecharger	5.000000
uncharger.uncharger.postivecharger	5.000000
KA-feat	5.000000
g6.g4.g3	5.000000
F_L	5.000000
uncharger.uncharger.alphaticr	5.000000
AF-feat	5.000000
g7.g5.g5	5.000000
g5.g4.g2	5.000000
S_Q	5.000000
S_L	5.000000
LN-feat	5.000000
postivecharger.uncharger.alphaticr	5.000000
postivecharger.uncharger.aromatic	5.000000
FP-feat	5.000000
g2.g6.g5	5.000000
postivecharger.uncharger.postivecharger	5.000000
IR-feat	5.000000
g2.g5.g5	5.000000
LS-feat	5.000000
GE-feat	5.000000
negativecharger.alphaticr.negativecharger	5.000000
GG-feat	5.000000
QA-feat	5.000000
EA-feat	5.000000
EE-feat	5.000000
alphaticr.alphaticr.uncharger	5.000000
uncharger.postivecharger.uncharger	5.000000
PG-feat	5.000000
g3.g6.g2	5.000000
NK-feat	5.000000
MS-feat	5.000000
g2.g3.g4	5.000000
KQ-feat	5.000000
g1.g1.g4	5.000000
g5.g2.g2	5.000000
uncharger.alphaticr.negativecharger	5.000000
g3.g5.g2	5.000000
EF-feat	5.000000
g1.g1.g1	5.000000
DL-feat	5.000000
alphaticr.postivecharger.negativecharger	5.000000
DI-feat	5.000000
DG-feat	5.000000
DE-feat	5.000000
uncharger.negativecharger.postivecharger	5.000000
g4.g2.g6	5.000000
uncharger.negativecharger.uncharger	5.000000
g3.g3.g6	5.000000
hydrophobicity_ARGP820101.G2	5.000000
uncharger.postivecharger.negativecharger	5.000000
g5.g5.g3	4.000000
uncharger.negativecharger.negativecharger	4.000000
SP-feat	4.000000
N_N	4.000000
