Feature	Importance
polarizability.G1	104.000000
hydrophobicity_ENGD860101.G2	92.000000
normwaalsvolume.G1	64.000000
polarity.G2	63.000000
hydrophobicity_PONP930101.G2	61.000000
hydrophobicity_ZIMJ680101.G1	51.000000
GH.gap3	39.000000
A-feat	38.000000
PL.gap1	35.000000
hydrophobicity_PONP930101.G3	35.000000
AA	34.000000
LN.gap1	32.000000
hydrophobicity_PRAM900101.G3	31.000000
AV.gap4	29.000000
AD.gap2	28.000000
KL.gap3	26.000000
C-feat	24.000000
TV.gap4	22.000000
postivecharger.uncharger.gap0	22.000000
AA.gap3	21.000000
alphaticr.negativecharger.gap4	21.000000
NG.gap3	20.000000
EG	19.000000
GN.gap1	18.000000
IY.gap2	18.000000
charge.G1	18.000000
alphatic	17.000000
V-feat	17.000000
I-feat	16.000000
hydrophobicity_CASG920101.G3	16.000000
uncharger.postivecharger.gap2	16.000000
AA-feat	16.000000
hydrophobicity_PRAM900101.G2	16.000000
AA.gap4	15.000000
RS.gap4	15.000000
hydrophobicity_ZIMJ680101.G3	14.000000
TN.gap3	14.000000
QK.gap5	13.000000
WL	13.000000
uncharger.aromatic.uncharger	12.000000
MI	12.000000
PV.gap3	12.000000
postivecharger.postivecharger.gap2	12.000000
QH.gap2	12.000000
GA.gap2	11.000000
AG.gap2	11.000000
SM.gap4	11.000000
alphaticr.alphaticr.gap3	10.000000
QR.gap3	10.000000
HY.gap5	10.000000
LT	10.000000
uncharger.postivecharger.gap0	10.000000
AP.gap5	10.000000
VG.gap5	10.000000
alphaticr.alphaticr.gap4	10.000000
negativecharger.uncharger.gap3	10.000000
hydrophobicity_FASG890101.G1	10.000000
AG.gap5	10.000000
hydrophobicity_ARGP820101.G3	10.000000
hydrophobicity_ENGD860101.G3	10.000000
NI.gap5	9.000000
EA.gap2	9.000000
postivecharger.postivecharger.gap1	9.000000
GD.gap3	9.000000
uncharger.postivecharger.gap3	9.000000
TL-feat	9.000000
alphaticr.alphaticr.gap0	9.000000
negativecharger.alphaticr.gap5	9.000000
aromatic.uncharger.gap3	9.000000
RK.gap2	9.000000
negativecharger.alphaticr.gap1	9.000000
KI.gap3	9.000000
KD	9.000000
AV.gap2	8.000000
EG-feat	8.000000
GV.gap3	8.000000
GV.gap5	8.000000
QD.gap4	8.000000
AG.gap4	8.000000
GK.gap4	8.000000
AG-feat	8.000000
aromatic.negativecharger.gap2	8.000000
GV.gap2	8.000000
DI.gap1	8.000000
LE.gap3	8.000000
postivecharger.postivecharger.gap5	8.000000
KL	8.000000
QK	8.000000
hydrophobicity_FASG890101.G2	8.000000
TD.gap3	8.000000
KL-feat	8.000000
QS	8.000000
GV-feat	7.000000
AA.gap5	7.000000
G-feat	7.000000
MI-feat	7.000000
GV	7.000000
IL.gap4	7.000000
QI.gap4	7.000000
VD.gap5	7.000000
II	7.000000
normwaalsvolume.G3	7.000000
PR.gap1	7.000000
SL.gap5	7.000000
A_A	6.000000
EE.gap1	6.000000
aromatic.postivecharger.gap2	6.000000
GA.gap3	6.000000
LV-feat	6.000000
SL.gap2	6.000000
PA.gap5	6.000000
AV.gap3	6.000000
alphaticr.aromatic.gap2	6.000000
alphaticr.alphaticr.gap2	6.000000
uncharger.postivecharger.gap4	6.000000
VT.gap5	6.000000
WA	6.000000
alphaticr.alphaticr.alphaticr	6.000000
VC	6.000000
VP.gap4	6.000000
negativecharger.negativecharger.gap5	6.000000
II.gap3	6.000000
KG-feat	6.000000
negativecharger.alphaticr.gap2	6.000000
DA.gap1	6.000000
LW	6.000000
Q-feat	6.000000
hydrophobicity_PRAM900101.G1	6.000000
AE.gap4	6.000000
DA.gap3	6.000000
QI	5.000000
IL.gap5	5.000000
EV.gap3	5.000000
IT.gap5	5.000000
uncharger.aromatic.gap3	5.000000
GN.gap5	5.000000
DG.gap5	5.000000
LI.gap3	5.000000
AG.gap3	5.000000
YS.gap4	5.000000
alphaticr.postivecharger.uncharger	5.000000
LG-feat	5.000000
aromatic.aromatic.gap5	5.000000
GA.gap5	5.000000
alphaticr.postivecharger.aromatic	5.000000
NM.gap3	5.000000
TA	5.000000
SW.gap4	5.000000
MG.gap3	5.000000
DV.gap2	5.000000
DG-feat	5.000000
K-feat	5.000000
AM.gap4	5.000000
AT.gap4	5.000000
AE.gap2	5.000000
WA.gap1	5.000000
NT.gap2	5.000000
SA.gap5	5.000000
LA	5.000000
QI-feat	5.000000
hydrophobicity_CASG920101.G1	5.000000
hydrophobicity_ENGD860101.G1	5.000000
IK	5.000000
GE.gap4	5.000000
polarizability.G3	5.000000
GG.gap4	5.000000
alphaticr.alphaticr.gap1	5.000000
Autocorr_w1	5.000000
FP	5.000000
negativecharger.alphaticr.aromatic	5.000000
IQ.gap3	5.000000
AI.gap1	5.000000
EV.gap2	5.000000
AT.gap1	5.000000
LE.gap2	5.000000
NY.gap5	5.000000
LH.gap5	5.000000
AV-feat	5.000000
SA.gap4	5.000000
negativecharge	4.000000
TD-feat	4.000000
GA.gap4	4.000000
postivecharger.postivecharger.gap3	4.000000
KK.gap3	4.000000
SV.gap3	4.000000
GF.gap4	4.000000
IR-feat	4.000000
postivecharger.uncharger.gap3	4.000000
WD	4.000000
TQ.gap3	4.000000
GN.gap4	4.000000
KI.gap4	4.000000
uncharger.aromatic.gap0	4.000000
RV-feat	4.000000
SR-feat	4.000000
SK-feat	4.000000
KK-feat	4.000000
postivecharger.aromatic.gap1	4.000000
FV.gap4	4.000000
LK.gap3	4.000000
LL-feat	4.000000
postivecharger.aromatic.gap4	4.000000
NK.gap3	4.000000
PA-feat	4.000000
VT-feat	4.000000
PA.gap4	4.000000
NI.gap4	4.000000
RF.gap4	4.000000
SG.gap3	4.000000
SL.gap3	4.000000
VE.gap3	4.000000
MA.gap4	4.000000
EA.gap4	4.000000
VE	4.000000
uncharger.postivecharger.gap1	4.000000
LN.gap4	4.000000
postivecharger.uncharger.gap1	4.000000
WQ	4.000000
PT-feat	4.000000
postivecharger.postivecharger.gap0	4.000000
M-feat	4.000000
alphaticr.negativecharger.alphaticr	4.000000
VI.gap5	4.000000
IF.gap5	4.000000
DR-feat	4.000000
