nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
pre_0_U00096.3/3982510-3982582,0,0,0,0,0,0,0,0,0,0,Predicted
pre_1_U00096.3/225500-225572,0,0,0,0,0,0,0,0,0,0,Predicted
pre_2_U00096.3/225381-225454,0,0,0,0,0,0,0,0,0,0,Predicted
pre_3_U00096.3/262871-262943,15,15,0.0,15.0,0.0,53.333333333333336,53.333333333333336,0.0,53.333333333333336,0.0,Predicted
pre_4_U00096.3/3982375-3982448,0,0,0,0,0,0,0,0,0,0,Predicted
pre_5_U00096.3/2947387-2947460,0,0,0,0,0,0,0,0,0,0,Predicted
pre_6_U00096.3/297178-297251,15,9,3.0,12.0,0.25,53.333333333333336,22.22222222222222,15.555555555555557,37.77777777777778,0.411764705882353,Predicted
pre_7_U00096.3/696740-696667,33,33,0.0,33.0,0.0,54.54545454545454,54.54545454545454,0.0,54.54545454545454,0.0,Predicted
pre_8_U00096.3/925971-925887,0,0,0,0,0,0,0,0,0,0,Predicted
pre_9_U00096.3/2785837-2785765,0,0,0,0,0,0,0,0,0,0,Predicted
