Feature	Importance
polarizability.G1	0.106172
polarity.G2	0.033409
YN.gap2	0.026805
SM.gap4	0.024661
RQ.gap4	0.024208
GH.gap3	0.023929
postivecharger.alphaticr.uncharger	0.023465
ML.gap4	0.022461
VW.gap2	0.019666
AE	0.017514
GQ.gap2	0.016916
IE.gap2	0.016902
NN.gap2	0.016057
polarity.Tr2332	0.016027
AA.gap3	0.015936
VA.gap0	0.014231
AW	0.012496
TK.gap1	0.012409
QQ.gap1	0.011997
normwaalsvolume.G1	0.010318
FP.gap3	0.009747
hydrophobicity_ENGD860101.G2	0.009546
PA	0.009418
hydrophobicity_PONP930101.G3	0.009181
QS	0.008720
GH.gap1	0.008648
EE.gap5	0.008347
EG.gap0	0.008148
HQ	0.008039
HY.gap5	0.007907
hydrophobicity_ZIMJ680101.G1	0.007723
hydrophobicity_PONP930101.Tr1331	0.007702
HN.gap2	0.007687
K_E	0.007604
VE.gap0	0.007578
RD.gap5	0.007558
FG.gap2	0.007381
GE.gap2	0.007341
FP.gap0	0.007162
pI	0.007020
AD.gap2	0.006996
MF.gap5	0.006730
IG.gap5	0.006323
KE.gap1	0.006140
SW.gap2	0.006120
YN.gap3	0.006076
average_path_length.1-mer	0.006034
VD.gap1	0.005970
HF.gap5	0.005828
uncharger.aromatic.uncharger	0.005736
FS.gap3	0.005689
IT.gap5	0.005569
hydrophobicity_ENGD860101.Tr1331	0.005471
IP.gap1	0.005293
GV.gap4	0.005101
MY.gap2	0.005076
LI.gap4	0.005028
k-tsallis12.3	0.004897
E_G	0.004885
polarity.Tr1331	0.004846
VD.gap4	0.004766
LE.gap2	0.004506
hydrophobicity_PONP930101.G2	0.004435
RH.gap0	0.004385
TC.gap0	0.004317
charge.Tr1331	0.004276
QH.gap2	0.004108
ChargeDensity	0.004047
TV.gap4	0.003982
II	0.003785
k-tsallis52.3	0.003720
IY.gap2	0.003678
LN	0.003657
polarity.2.residue0	0.003498
EL.gap1	0.003438
EH.gap2	0.003360
VG.gap4	0.003318
ES.gap1	0.003263
AA.gap0	0.003194
SR	0.003186
FY.gap4	0.003141
KI	0.003122
authority_score.2-mer	0.003085
AG.gap3	0.003072
GL	0.003067
IL.gap4	0.003066
secondarystruct.3.residue25	0.003002
EG	0.002999
alphaticr.postivecharger.uncharger	0.002885
CD.gap3	0.002879
QC.gap3	0.002857
MY.gap0	0.002811
YL.gap2	0.002695
VC	0.002648
MA.gap4	0.002638
aromatic.postivecharger	0.002633
motifs3.1-mer	0.002622
postivecharger.uncharger.postivecharger	0.002496
alphaticr.postivecharger.negativecharger	0.002465
VI.gap0	0.002465
LS.gap5	0.002464
EP.gap5	0.002453
polarizability.Tr2332	0.002425
PA.gap0	0.002363
AG.gap2	0.002355
LY.gap5	0.002333
PL.gap1	0.002311
RA	0.002287
NA.gap2	0.002213
FG.gap5	0.002203
hydrophobicity_FASG890101.Tr1331	0.002200
GS.gap3	0.002110
charge.Tr2332	0.002029
number_vertices.2-mer	0.001972
KL.gap3	0.001910
LK.gap3	0.001894
RA.gap5	0.001848
aromatic.negativecharger	0.001806
Charge	0.001763
GV.gap5	0.001720
WR.gap1	0.001714
solventaccess.Tr1221	0.001683
VK.gap0	0.001635
QK.gap5	0.001607
solventaccess.1.residue25	0.001561
NP	0.001559
HN.gap5	0.001554
hydrophobicity_ARGP820101.1.residue0	0.001550
average_path_length.3-mer	0.001518
AV.gap3	0.001505
GV.gap3	0.001492
RF.gap4	0.001438
LG.gap1	0.001430
NR.gap1	0.001413
GA.gap4	0.001349
normwaalsvolume.Tr2332	0.001313
secondarystruct.1.residue75	0.001274
TN.gap3	0.001258
CA.gap3	0.001249
normwaalsvolume.2.residue25	0.001234
KS.gap0	0.001185
postivecharger.uncharger	0.001177
FR.gap0	0.001161
AV.gap4	0.000995
YP.gap3	0.000989
LN.gap1	0.000974
DV.gap1	0.000924
secondarystruct.2.residue75	0.000919
QH.gap0	0.000911
hydrophobicity_FASG890101.Tr1221	0.000910
normwaalsvolume.3.residue100	0.000865
MN.gap2	0.000864
alphaticr.postivecharger.aromatic	0.000848
GG.gap4	0.000833
HY.gap2	0.000830
hydrophobicity_FASG890101.Tr2332	0.000807
LP	0.000807
hydrophobicity_FASG890101.3.residue25	0.000797
YG.gap5	0.000797
IG.gap1	0.000777
PR.gap1	0.000777
hydrophobicity_ENGD860101.Tr1221	0.000772
GL.gap0	0.000772
WE.gap1	0.000765
hydrophobicity_PRAM900101.2.residue0	0.000760
RS.gap4	0.000748
HT.gap4	0.000742
SA.gap5	0.000709
RK.gap0	0.000702
TS	0.000693
YA.gap5	0.000682
NS.gap3	0.000678
hydrophobicity_CASG920101.G3	0.000610
PT.gap5	0.000608
TS.gap0	0.000608
KQ	0.000588
FK	0.000567
charge.Tr1221	0.000535
WL	0.000526
GI	0.000483
VL.gap5	0.000477
FV.gap0	0.000458
YS.gap3	0.000454
LP.gap1	0.000450
LR.gap5	0.000439
AP.gap5	0.000408
AE.gap1	0.000404
DG.gap5	0.000394
TL.gap0	0.000392
PA.gap2	0.000390
VI.gap5	0.000386
hydrophobicity_PRAM900101.G3	0.000385
negativecharger.alphaticr.aromatic	0.000381
postivecharger.uncharger.alphaticr	0.000376
QT.gap4	0.000362
hydrophobicity_CASG920101.2.residue75	0.000362
AF.gap0	0.000359
NV.gap1	0.000351
hydrophobicity_ENGD860101.3.residue50	0.000345
VA.gap1	0.000333
TV.gap5	0.000331
LQ	0.000320
SM	0.000315
NG.gap3	0.000313
RV.gap0	0.000296
RN.gap5	0.000291
normwaalsvolume.Tr1221	0.000284
KG.gap0	0.000277
YV.gap4	0.000277
TD.gap0	0.000270
VI.gap2	0.000265
AH.gap0	0.000256
AA.gap4	0.000250
GL.gap5	0.000250
KL	0.000249
RE.gap4	0.000248
GN.gap1	0.000241
AA.gap5	0.000239
AN.gap2	0.000231
LS.gap2	0.000227
IL.gap5	0.000224
LG.gap2	0.000224
MI	0.000221
GK.gap4	0.000217
QG.gap1	0.000216
KS.gap5	0.000216
GS.gap5	0.000213
QI.gap0	0.000210
TG.gap4	0.000210
solventaccess.Tr2332	0.000206
LE.gap3	0.000202
WD	0.000191
LG.gap0	0.000189
IF.gap5	0.000188
LV.gap0	0.000187
PV.gap3	0.000185
AM.gap4	0.000183
negativecharger.postivecharger	0.000180
k-tsallis22.3	0.000174
KK.gap2	0.000166
NA.gap5	0.000162
polarity.3.residue75	0.000161
VE	0.000156
NV.gap2	0.000153
RK.gap2	0.000151
KI.gap3	0.000146
SK.gap0	0.000144
hydrophobicity_ZIMJ680101.Tr1331	0.000142
PV.gap4	0.000138
RG	0.000137
LL.gap0	0.000133
hydrophobicity_PRAM900101.1.residue0	0.000130
PL	0.000128
QL.gap2	0.000118
GR.gap4	0.000117
LD.gap4	0.000113
VF.gap2	0.000112
secondarystruct.2.residue0	0.000112
LT	0.000109
PA.gap5	0.000109
DS.gap2	0.000103
NI.gap5	0.000101
hydrophobicity_ARGP820101.2.residue25	0.000096
IR.gap0	0.000094
TD.gap3	0.000088
DM.gap0	0.000087
ML.gap5	0.000079
DK.gap4	0.000078
PC	0.000060
NR.gap0	0.000052
assortativity_degree.2-mer	0.000045
TH.gap1	0.000000
TQ.gap1	0.000000
EH.gap1	0.000000
FV.gap1	0.000000
TP.gap1	0.000000
TM.gap1	0.000000
AE.gap2	0.000000
TN.gap1	0.000000
TR.gap1	0.000000
FW.gap1	0.000000
FY.gap1	0.000000
GA.gap1	0.000000
TI.gap1	0.000000
TL.gap1	0.000000
SG.gap1	0.000000
TS.gap1	0.000000
TG.gap1	0.000000
GL.gap1	0.000000
FT.gap1	0.000000
AC.gap2	0.000000
AA.gap2	0.000000
FS.gap1	0.000000
TT.gap1	0.000000
TV.gap1	0.000000
TW.gap1	0.000000
TY.gap1	0.000000
FR.gap1	0.000000
YY.gap1	0.000000
VC.gap1	0.000000
AP.gap2	0.000000
AF.gap2	0.000000
GC.gap1	0.000000
TF.gap1	0.000000
SF.gap1	0.000000
AH.gap2	0.000000
SR.gap1	0.000000
SQ.gap1	0.000000
AI.gap2	0.000000
SP.gap1	0.000000
AK.gap2	0.000000
SN.gap1	0.000000
SS.gap1	0.000000
SM.gap1	0.000000
SL.gap1	0.000000
SK.gap1	0.000000
GK.gap1	0.000000
SI.gap1	0.000000
SH.gap1	0.000000
EF.gap1	0.000000
ST.gap1	0.000000
TE.gap1	0.000000
FP.gap1	0.000000
TD.gap1	0.000000
AM.gap2	0.000000
AL.gap2	0.000000
TC.gap1	0.000000
GD.gap1	0.000000
GE.gap1	0.000000
GF.gap1	0.000000
GI.gap1	0.000000
GG.gap1	0.000000
TA.gap1	0.000000
SY.gap1	0.000000
SW.gap1	0.000000
EG.gap1	0.000000
SV.gap1	0.000000
FQ.gap1	0.000000
YF.gap1	0.000000
FN.gap1	0.000000
WK.gap1	0.000000
YM.gap1	0.000000
EW.gap1	0.000000
WN.gap1	0.000000
WM.gap1	0.000000
EY.gap1	0.000000
WL.gap1	0.000000
YN.gap1	0.000000
WI.gap1	0.000000
YQ.gap1	0.000000
EP.gap1	0.000000
FA.gap1	0.000000
WH.gap1	0.000000
WG.gap1	0.000000
WF.gap1	0.000000
FC.gap1	0.000000
FD.gap1	0.000000
WP.gap1	0.000000
EV.gap1	0.000000
YL.gap1	0.000000
ET.gap1	0.000000
YE.gap1	0.000000
YH.gap1	0.000000
YD.gap1	0.000000
YC.gap1	0.000000
YA.gap1	0.000000
EQ.gap1	0.000000
WY.gap1	0.000000
WW.gap1	0.000000
WV.gap1	0.000000
WT.gap1	0.000000
YI.gap1	0.000000
WS.gap1	0.000000
YK.gap1	0.000000
ER.gap1	0.000000
WQ.gap1	0.000000
YP.gap1	0.000000
WD.gap1	0.000000
VE.gap1	0.000000
VK.gap1	0.000000
VN.gap1	0.000000
YV.gap1	0.000000
VM.gap1	0.000000
FK.gap1	0.000000
VL.gap1	0.000000
EM.gap1	0.000000
EK.gap1	0.000000
VI.gap1	0.000000
WC.gap1	0.000000
VH.gap1	0.000000
YW.gap1	0.000000
FL.gap1	0.000000
VG.gap1	0.000000
YG.gap1	0.000000
EI.gap1	0.000000
FM.gap1	0.000000
FI.gap1	0.000000
EN.gap1	0.000000
FH.gap1	0.000000
YT.gap1	0.000000
FE.gap1	0.000000
WA.gap1	0.000000
VY.gap1	0.000000
FF.gap1	0.000000
FG.gap1	0.000000
YR.gap1	0.000000
VW.gap1	0.000000
SE.gap1	0.000000
YS.gap1	0.000000
VV.gap1	0.000000
VT.gap1	0.000000
VS.gap1	0.000000
VR.gap1	0.000000
VQ.gap1	0.000000
VP.gap1	0.000000
VF.gap1	0.000000
RQ.gap1	0.000000
GM.gap1	0.000000
IE.gap1	0.000000
MR.gap1	0.000000
MQ.gap1	0.000000
MP.gap1	0.000000
MN.gap1	0.000000
MM.gap1	0.000000
ML.gap1	0.000000
MK.gap1	0.000000
MI.gap1	0.000000
IF.gap1	0.000000
MH.gap1	0.000000
IH.gap1	0.000000
MG.gap1	0.000000
MF.gap1	0.000000
ME.gap1	0.000000
MD.gap1	0.000000
II.gap1	0.000000
IK.gap1	0.000000
MC.gap1	0.000000
IL.gap1	0.000000
MS.gap1	0.000000
MT.gap1	0.000000
HR.gap1	0.000000
ID.gap1	0.000000
NI.gap1	0.000000
AR.gap2	0.000000
HS.gap1	0.000000
NH.gap1	0.000000
HT.gap1	0.000000
NG.gap1	0.000000
HV.gap1	0.000000
NF.gap1	0.000000
HW.gap1	0.000000
HY.gap1	0.000000
NE.gap1	0.000000
IA.gap1	0.000000
ND.gap1	0.000000
NC.gap1	0.000000
NA.gap1	0.000000
MY.gap1	0.000000
IC.gap1	0.000000
MW.gap1	0.000000
MV.gap1	0.000000
MA.gap1	0.000000
LY.gap1	0.000000
IM.gap1	0.000000
IN.gap1	0.000000
LI.gap1	0.000000
LH.gap1	0.000000
KI.gap1	0.000000
KK.gap1	0.000000
LF.gap1	0.000000
LE.gap1	0.000000
LD.gap1	0.000000
KL.gap1	0.000000
LC.gap1	0.000000
LA.gap1	0.000000
KY.gap1	0.000000
KW.gap1	0.000000
KM.gap1	0.000000
KV.gap1	0.000000
KT.gap1	0.000000
KS.gap1	0.000000
KR.gap1	0.000000
KQ.gap1	0.000000
KN.gap1	0.000000
LK.gap1	0.000000
LL.gap1	0.000000
KH.gap1	0.000000
LT.gap1	0.000000
IQ.gap1	0.000000
IR.gap1	0.000000
LW.gap1	0.000000
IS.gap1	0.000000
IT.gap1	0.000000
IV.gap1	0.000000
IW.gap1	0.000000
LV.gap1	0.000000
IY.gap1	0.000000
LM.gap1	0.000000
KA.gap1	0.000000
KC.gap1	0.000000
KD.gap1	0.000000
LS.gap1	0.000000
LR.gap1	0.000000
LQ.gap1	0.000000
KF.gap1	0.000000
KG.gap1	0.000000
NK.gap1	0.000000
NL.gap1	0.000000
GP.gap1	0.000000
RF.gap1	0.000000
RD.gap1	0.000000
RC.gap1	0.000000
RA.gap1	0.000000
GT.gap1	0.000000
QY.gap1	0.000000
QW.gap1	0.000000
QV.gap1	0.000000
QT.gap1	0.000000
GV.gap1	0.000000
QS.gap1	0.000000
QR.gap1	0.000000
GW.gap1	0.000000
QP.gap1	0.000000
QN.gap1	0.000000
GY.gap1	0.000000
QM.gap1	0.000000
QL.gap1	0.000000
QK.gap1	0.000000
QI.gap1	0.000000
RE.gap1	0.000000
RG.gap1	0.000000
NM.gap1	0.000000
RH.gap1	0.000000
SD.gap1	0.000000
SC.gap1	0.000000
SA.gap1	0.000000
RY.gap1	0.000000
RW.gap1	0.000000
GQ.gap1	0.000000
RV.gap1	0.000000
RT.gap1	0.000000
RS.gap1	0.000000
RR.gap1	0.000000
GR.gap1	0.000000
KP.gap1	0.000000
RP.gap1	0.000000
RN.gap1	0.000000
RM.gap1	0.000000
RL.gap1	0.000000
RK.gap1	0.000000
GS.gap1	0.000000
RI.gap1	0.000000
QH.gap1	0.000000
HA.gap1	0.000000
HC.gap1	0.000000
HD.gap1	0.000000
PI.gap1	0.000000
HM.gap1	0.000000
PH.gap1	0.000000
PG.gap1	0.000000
PF.gap1	0.000000
PE.gap1	0.000000
PD.gap1	0.000000
HN.gap1	0.000000
PC.gap1	0.000000
PA.gap1	0.000000
NY.gap1	0.000000
NW.gap1	0.000000
NT.gap1	0.000000
NS.gap1	0.000000
