nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
NZ_CP072646.1/111049-111165,117.00000000000003,76.33787501531555,3507.0,6.550577078899714,0.33333333333333326,2.2519995463373736,318.5435606004303,319.91364675379253,41.92022215896571,50.96562121200544,76.33787501531555,117.87497808443916,3500.4494229211004,102344.74137931035,66.90935687243373,33.45467843621687,2.722594535046412,0.38295037176114455,0.2819874700519156,rRNA
NZ_CP072646.1/106357-107858,1501.9999999999964,982.9283482737776,579209.9999999997,80.70205173522778,0.33333333333333415,8.363709880705832,14927.771233509702,14932.743014241561,478.7471535317079,623.1748852115621,982.9283482737776,1439.020841738298,579129.2979482644,222986813.92938015,815.8459565267359,407.92297826336795,9.93859602763631,0.10431664116630061,0.2617785938738604,rRNA
NZ_CP072646.1/106362-107856,1495.0,948.8312780770974,574357.0,66.02329458988777,0.3333333333333333,8.349047363451625,14836.370513033165,14841.335000544714,476.34679150735394,615.5137147355442,948.8312780770974,1508.419355277777,574290.9767054102,220265224.59839356,892.9056405422327,446.45282027111637,9.923993654202786,0.110438477141653,0.2810665652839816,rRNA
NZ_CP072646.1/106362-107853,1491.9999999999952,972.7107192751482,572378.0,74.52455719783534,0.33333333333333437,8.339032219952733,14798.905162207104,14803.86707522573,469.77075529857933,636.5850760152312,972.7107192751482,1496.939268108022,572303.4754428022,219154480.3809524,860.3541920927908,430.1770960463954,9.918837240085223,0.10526912802664391,0.27701380116089624,rRNA
NZ_CP072646.1/108120-111006,2886.999999999997,1880.5402307283875,2139561.0,93.45972147547069,0.3333333333333337,11.602988340408041,39793.153054262984,39800.04662781912,889.9423204370646,1207.2461045789232,1880.5402307283875,2846.8857113788395,2139467.5402785246,1584043711.5765765,1639.6396067999162,819.8198033999581,13.78356531148702,0.07587685508855062,0.2669335391332273,rRNA
NZ_CP072646.1/108121-111007,2887.0000000000027,1870.756757578421,2139607.0,95.42462824600568,0.33333333333333304,11.60079045036036,39793.996883952226,39800.890603689346,881.4657115522148,1205.002950796768,1870.756757578421,2851.457547010086,2139511.575371754,1584110892.8468468,1646.454596213318,823.227298106659,13.7838575974895,0.07661280509609253,0.26862712792790416,rRNA
NZ_CP072646.1/108263-110995,2733.0,1789.1090689346113,1914964.9999999998,136.94282983968372,0.3333333333333333,11.256020055711337,36603.986504204695,36610.68501034627,883.4784128403408,1158.5289438787313,1789.1090689346113,2689.531360913633,1914828.05717016,1340342256.9267933,1531.0024170349016,765.5012085174508,13.393335713210647,0.07735968301897642,0.26538240853730893,rRNA
NZ_CP029463.1/451506-451397,110.00000000000001,73.33007373500025,3054.0,8.258266027430453,0.33333333333333326,2.182178016993593,286.2167011199731,287.52662421596284,35.65193781024715,45.37539320952135,73.33007373500025,120.8373074212002,3045.7417339725694,82671.55963302753,75.46191421167885,37.73095710583942,2.601970010181573,0.38435834933645824,0.2802417906581554,rRNA
NZ_CP029463.1/2898154-2899670,1517.0000000000002,977.2786230456928,585175.0,86.16219906251445,0.3333333333333333,8.359413704727002,15007.09585496141,15012.044608881568,454.31911127912025,602.8510467504485,977.2786230456928,1473.8931229732234,585088.8378009375,225361483.33905014,871.0420762227749,435.52103811138744,9.8926142748592,0.10789323574071927,0.25990169033324934,rRNA
NZ_CP029463.1/456422-454907,1515.9999999999973,992.9105444393657,584286.0,41.820940911924325,0.3333333333333339,8.348517874944216,14988.647437310683,14993.593369614015,474.6465565161095,636.5951369606906,992.9105444393657,1450.491235700666,584244.1790590881,224807842.13333333,813.8960987399754,406.9480493699877,9.886970605086221,0.10469712982744349,0.24857232616325564,rRNA
