Feature	Importance
k-tsallis32.3	0.051374
G_TC	0.050264
maximum	0.027345
G_GG	0.026952
A_GC	0.025426
T_AT	0.024685
G	0.022554
none_levated_peak	0.022503
sample_standard_deviation	0.022045
variance	0.022001
average	0.021552
percentile75	0.021544
amplitude	0.021440
k3	0.020785
T_GA	0.019462
population_standard_deviation	0.019008
G_GA	0.018378
percentile15	0.017778
T_TT	0.016842
T_CC	0.016773
C_AC	0.016368
median	0.016136
k-tsallis52.3	0.015763
C	0.015587
k5	0.015304
G_CG	0.014975
k2	0.014659
coefficient_of_variation	0.014573
G_TT	0.014286
k4	0.013871
C_CG	0.013661
G_AG	0.012626
k-tsallis42.3	0.012510
percentile50	0.012468
G_CT	0.012454
A_TC	0.012439
T_CG	0.012110
T_AC	0.010686
G_TG	0.010636
T_TG	0.009790
skewness	0.009641
C_GA	0.009450
A_GT	0.008650
k-tsallis22.3	0.008035
C_AG	0.007902
T	0.007540
A_AA	0.007230
G_GT	0.007213
G_CC	0.007193
A_AG	0.007137
semi_interquartile_range	0.007077
G_AT	0.006736
A_CA	0.006546
percentile25	0.006418
A	0.006354
interquartile_range	0.005660
T_AG	0.005611
A_CG	0.005393
G_AC	0.005242
C_CA	0.005126
k-tsallis12.3	0.004938
A_GA	0.004922
T_GC	0.004906
k1	0.004850
C_AA	0.004716
T_GT	0.004579
T_GG	0.004480
A_AT	0.004027
A_CT	0.003961
C_TC	0.003813
C_TA	0.003416
T_AA	0.003377
G_CA	0.003177
G_TA	0.003112
C_GG	0.003089
C_CC	0.002943
T_TA	0.002907
A_AC	0.002676
C_CT	0.002630
A_TT	0.002508
T_TC	0.002435
C_TT	0.002322
kurtosis	0.002244
T_CA	0.001932
maximum_GC_content_ORF	0.001316
G_GC	0.001204
maximum_ORF_length	0.001091
C_GC	0.001003
A_GG	0.000992
minimum	0.000956
C_GT	0.000920
minimum_GC_content_ORF	0.000851
A_CC	0.000800
minimum_ORF_length	0.000739
average_ORF_length	0.000723
G_AA	0.000721
average_GC_content_ORF	0.000678
A_TG	0.000646
cv_ORF_length	0.000641
C_AT	0.000594
peak	0.000512
T_CT	0.000506
C_TG	0.000505
A_TA	0.000355
std_GC_content_ORF	0.000229
cv_GC_content_ORF	0.000154
std_ORF_length	0.000138
