nameseq,A-feat,C-feat,D-feat,E-feat,F-feat,G-feat,H-feat,I-feat,K-feat,L-feat,M-feat,N-feat,P-feat,Q-feat,R-feat,S-feat,T-feat,V-feat,W-feat,Y-feat,label
pre_sp|A5U8S5|COAX_MYCTA,0.10294117647058823,0.011029411764705883,0.0625,0.058823529411764705,0.025735294117647058,0.08455882352941177,0.03308823529411765,0.04779411764705882,0.025735294117647058,0.11029411764705882,0.014705882352941176,0.01838235294117647,0.03676470588235294,0.029411764705882353,0.07720588235294118,0.05514705882352941,0.05514705882352941,0.1323529411764706,0.007352941176470588,0.011029411764705883,Predicted
pre_sp|Q65JY2|MURD_BACLD,0.0975609756097561,0.011086474501108648,0.05321507760532151,0.07982261640798226,0.03991130820399113,0.06208425720620843,0.024390243902439025,0.04656319290465632,0.06873614190687362,0.09977827050997783,0.024390243902439025,0.04878048780487805,0.031042128603104215,0.03547671840354767,0.03547671840354767,0.050997782705099776,0.057649667405764965,0.09977827050997783,0.0066518847006651885,0.026607538802660754,Predicted
pre_sp|Q8DPJ8|RNC_STRR6,0.07758620689655173,0.008620689655172414,0.0603448275862069,0.10775862068965517,0.05172413793103448,0.07327586206896551,0.02586206896551724,0.05603448275862069,0.10344827586206896,0.11637931034482758,0.017241379310344827,0.02586206896551724,0.017241379310344827,0.04741379310344827,0.03879310344827586,0.04310344827586207,0.034482758620689655,0.06465517241379311,0.0,0.03017241379310345,Predicted
pre_sp|Q88VH0|APT_LACPL,0.09302325581395349,0.005813953488372093,0.08139534883720931,0.06395348837209303,0.03488372093023256,0.09302325581395349,0.01744186046511628,0.06395348837209303,0.06976744186046512,0.09883720930232558,0.03488372093023256,0.011627906976744186,0.05232558139534884,0.03488372093023256,0.040697674418604654,0.029069767441860465,0.046511627906976744,0.08139534883720931,0.0,0.046511627906976744,Predicted
pre_sp|Q92EF1|KPRS2_LISIN,0.0932475884244373,0.006430868167202572,0.06430868167202572,0.07395498392282958,0.01929260450160772,0.05466237942122187,0.022508038585209004,0.10932475884244373,0.05144694533762058,0.08360128617363344,0.028938906752411574,0.04180064308681672,0.03858520900321544,0.028938906752411574,0.0707395498392283,0.05787781350482315,0.04501607717041801,0.08681672025723473,0.0,0.022508038585209004,Predicted
pre_sp|Q92BJ1|DTD_LISIN,0.06666666666666667,0.013333333333333334,0.04,0.10666666666666667,0.05333333333333334,0.09333333333333334,0.006666666666666667,0.06666666666666667,0.06,0.08666666666666667,0.04,0.04,0.02,0.013333333333333334,0.05333333333333334,0.08,0.04666666666666667,0.08666666666666667,0.0,0.02666666666666667,Predicted
pre_sp|Q5HG25|DAPA_STAAC,0.07796610169491526,0.0,0.061016949152542375,0.0711864406779661,0.03389830508474576,0.05423728813559322,0.013559322033898305,0.07796610169491526,0.061016949152542375,0.09830508474576272,0.010169491525423728,0.06779661016949153,0.04406779661016949,0.04067796610169491,0.02711864406779661,0.04406779661016949,0.09152542372881356,0.0847457627118644,0.0,0.04067796610169491,Predicted
pre_sp|Q65LE8|ARGB_BACLD,0.08139534883720931,0.007751937984496124,0.050387596899224806,0.08914728682170543,0.03875968992248062,0.10077519379844961,0.011627906976744186,0.06976744186046512,0.10465116279069768,0.09689922480620156,0.04263565891472868,0.03488372093023256,0.023255813953488372,0.01937984496124031,0.01937984496124031,0.05426356589147287,0.05426356589147287,0.08914728682170543,0.003875968992248062,0.007751937984496124,Predicted
pre_sp|Q92BT5|MURB_LISIN,0.087248322147651,0.010067114093959731,0.0436241610738255,0.0738255033557047,0.03355704697986577,0.09395973154362416,0.026845637583892617,0.09395973154362416,0.08389261744966443,0.1040268456375839,0.020134228187919462,0.040268456375838924,0.030201342281879196,0.0436241610738255,0.02348993288590604,0.053691275167785234,0.06040268456375839,0.050335570469798654,0.0,0.026845637583892617,Predicted
pre_sp|O05515|TSAE_BACSU,0.06329113924050633,0.012658227848101266,0.06329113924050633,0.11392405063291139,0.0379746835443038,0.08227848101265822,0.02531645569620253,0.06329113924050633,0.056962025316455694,0.10126582278481013,0.02531645569620253,0.0379746835443038,0.03164556962025317,0.03164556962025317,0.05063291139240506,0.02531645569620253,0.0759493670886076,0.056962025316455694,0.012658227848101266,0.03164556962025317,Predicted
pre_sp|Q92A79|NDK_LISIN,0.07482993197278912,0.0,0.05442176870748299,0.10204081632653061,0.04081632653061224,0.08163265306122448,0.034013605442176874,0.10204081632653061,0.07482993197278912,0.061224489795918366,0.04081632653061224,0.02040816326530612,0.047619047619047616,0.027210884353741496,0.047619047619047616,0.034013605442176874,0.05442176870748299,0.06802721088435375,0.006802721088435374,0.027210884353741496,Predicted
pre_sp|Q65I57|PANC_BACLD,0.07291666666666667,0.003472222222222222,0.0798611111111111,0.08680555555555555,0.03819444444444445,0.06597222222222222,0.010416666666666666,0.0763888888888889,0.059027777777777776,0.07291666666666667,0.027777777777777776,0.034722222222222224,0.04513888888888889,0.03819444444444445,0.07291666666666667,0.041666666666666664,0.05555555555555555,0.08333333333333333,0.0,0.034722222222222224,Predicted
