nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
pre_0_train_ACP_1,14.999999999999996,5.182045875570824,137.0,1.1097501919298065,0.3333333333333334,1.2396386096256786,32.95451410656816,34.111162814706695,1.9999999999999996,1.9999999999999996,5.182045875570824,13.148658380435009,135.8902498080702,1163.5714285714287,11.148658380435009,5.5743291902175045,2.1969676071045448,0.8937732256661332,0.4447313333119376,acp
pre_1_train_ACP_2,2.0,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,nan,nan,acp
pre_2_train_ACP_3,4.0,2.0,10.0,2.0,0.3333333333333333,0.5333333333333333,3.4641016151377544,4.0,2.0,2.0,2.0,4.0,8.0,16.0,2.0,1.0,0.8660254037844386,1.7320508075688774,0.17857142857142852,acp
pre_3_train_ACP_4,4.0,2.0,10.0,2.0,0.3333333333333333,0.5333333333333333,3.4641016151377544,4.0,2.0,2.0,2.0,4.0,8.0,16.0,2.0,1.0,0.8660254037844386,1.7320508075688774,0.17857142857142852,acp
pre_4_train_ACP_5,5.0,4.618033988749895,11.0,2.381966011250105,0.33333333333333337,0.4769498906599788,3.1622776601683795,3.5355339059327378,2.381966011250105,2.381966011250105,4.618033988749895,4.618033988749895,8.618033988749895,12.5,2.23606797749979,1.118033988749895,0.6324555320336759,0.36236477529594935,0.18433443535811947,acp
pre_5_train_ACP_6,4.0,2.0,10.0,2.0,0.3333333333333333,0.5333333333333333,3.4641016151377544,4.0,2.0,2.0,2.0,4.0,8.0,16.0,2.0,1.0,0.8660254037844386,1.7320508075688774,0.17857142857142852,acp
pre_6_train_ACP_7,5.0,5.236067977499789,13.0,0.7639320225002102,0.33333333333333337,0.5976169560604786,4.47213595499958,5.0,0.7639320225002102,0.7639320225002102,5.236067977499789,5.236067977499789,12.23606797749979,25.0,4.472135954999579,2.2360679774997894,0.894427190999916,-0.15835921350012566,0.24490106354957009,acp
pre_7_train_ACP_8,3.0,2.0,5.0,2.0,0.3333333333333333,0.42857142857142855,1.4142135623730951,1.7320508075688772,2.0,2.0,2.0,3.5,3.0,3.0,1.5,0.75,0.47140452079103173,2.1213203435596424,0.31249999999999994,acp
pre_8_train_ACP_9,33.0,20.0,275.0,5.80154446325561,0.3333333333333333,1.1399229383089635,46.281745861624536,46.9993351016799,12.704473778079418,14.456855749231753,20.0,35.117495407161485,269.1984555367444,2208.9375,20.660639657929732,10.330319828964866,1.4024771473219557,0.8426648406178138,0.3607205053730355,acp
pre_9_train_ACP_10,5.0,0.0,25.0,0.0,0.33333333333333337,1.6666666666666667,10.0,11.180339887498949,0.0,0.0,0.0,0.0,25.0,125.0,0.0,0.0,2.0,1.5,0.0,acp
