nameseq,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,label
pre_0_train_ACP_1,0,0,0,0,0,0,0,0,0,0,acp
pre_1_train_ACP_2,0,0,0,0,0,0,0,0,0,0,acp
pre_2_train_ACP_3,0,0,0,0,0,0,0,0,0,0,acp
pre_3_train_ACP_4,0,0,0,0,0,0,0,0,0,0,acp
pre_4_train_ACP_5,0,0,0,0,0,0,0,0,0,0,acp
pre_5_train_ACP_6,0,0,0,0,0,0,0,0,0,0,acp
pre_6_train_ACP_7,0,0,0,0,0,0,0,0,0,0,acp
pre_7_train_ACP_8,0,0,0,0,0,0,0,0,0,0,acp
pre_8_train_ACP_9,0,0,0,0,0,0,0,0,0,0,acp
pre_9_train_ACP_10,0,0,0,0,0,0,0,0,0,0,acp
