nameseq,k1,k2,k3,k4,k5,label
pre_0_train_ACP_1,0.8366407419411673,1.6105772433316423,2.1339375660949167,2.584962500721156,2.845350936622437,acp
pre_1_train_ACP_2,1.0,,,,,acp
pre_2_train_ACP_3,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_3_train_ACP_4,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_4_train_ACP_5,1.3709505944546687,2.0,1.584962500721156,1.0,,acp
pre_5_train_ACP_6,0.8112781244591328,1.584962500721156,1.0,,,acp
pre_6_train_ACP_7,0.9709505944546686,1.0,0.9182958340544896,1.0,,acp
pre_7_train_ACP_8,0.9182958340544896,1.0,,,,acp
pre_8_train_ACP_9,1.9925718623777007,3.5581573285181993,4.349199939349345,4.773557262275186,4.857980995127571,acp
pre_9_train_ACP_10,,,,,,acp
