nameseq,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3,label
pre_0_train_ACP_1,0.3555154676825301,0.5240873181399047,0.6345376095556297,0.6726541876909928,0.6966576971452233,acp
pre_1_train_ACP_2,0.45682600140144797,,,,,acp
pre_2_train_ACP_3,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_3_train_ACP_4,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_4_train_ACP_5,0.49368238370963474,0.6423550085795294,0.5848145914551631,0.45682600140144797,,acp
pre_5_train_ACP_6,0.34059679100153545,0.5848145914551631,0.45682600140144797,,,acp
pre_6_train_ACP_7,0.4381573545930354,0.45682600140144797,0.4050347806404199,0.45682600140144797,,acp
pre_7_train_ACP_8,0.4050347806404199,0.45682600140144797,,,,acp
pre_8_train_ACP_9,0.640449129268871,0.7338087237737652,0.7518066165082018,0.7581859989123367,0.7595716116686398,acp
pre_9_train_ACP_10,,,,,,acp
