Feature	Importance
CC	0.075000
k-tsallis52.3	0.075000
TC	0.065000
k-tsallis32.3	0.065000
G_TCG	0.063750
C_CA	0.060000
G_CT	0.055000
G_TTC	0.050000
k-tsallis22.3	0.045926
C	0.039074
GT	0.034074
TG	0.029074
CG	0.025000
G_TC	0.025000
A_TCC	0.025000
k-tsallis42.3	0.025000
G_TGG	0.022424
k-tsallis12.3	0.020000
CA	0.020000
T_GCT	0.020000
G_TCA	0.015000
repDNA-112	0.015000
repDNA-212	0.014074
G_TA	0.010000
repDNA-118	0.010000
TT	0.010000
A_TC	0.010000
G_GC	0.010000
G_TG	0.010000
T_GA	0.010000
T_GC	0.010000
G	0.008843
repDNA-186	0.006835
G_AGG	0.005926
AT	0.005000
T_GAG	0.005000
A_CTC	0.003333
repDNA-196	0.001667
repDNA-20	0.000000
repDNA-72	0.000000
repDNA-117	0.000000
repDNA-187	0.000000
