A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,k1,k2,k3,k4,k5,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,k-tsallis12.3,k-tsallis22.3,k-tsallis32.3,k-tsallis42.3,k-tsallis52.3
1,1,1,0,0,1,3,3,0,3,2,1,1,1,3,0,1,1,2,3,4,6,1,0,4,2,2,3,2,0,4,0,2,2,5,0,1,3,5,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,0,2,1,0,2,0,1,2,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,1.925562292684469,3.766433774390805,5.32742590063157,6.264825975670393,6.575212064914737,232.0,135.8282682571909,1296.0,2.163898378278371,0.1666666666666666,2.8610409328417314,231.2401349247141,232.2433506325713,44.786647426733495,64.5557698524057,135.8282682571909,322.1989446541756,1293.8361016217216,53936.97391304346,257.6431748017699,128.82158740088494,0.9967247195030782,1.2476865027014468,0.2561611352026583,0.6232249301606867,0.7397873076066745,0.7619111441280284,0.7659568942010268,0.7669971819044441
20,29,21,13,21,19,30,28,29,28,35,32,16,24,29,10,17,20,24,9,27,15,22,15,23,30,42,20,18,18,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,8,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,3,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,255,6,57.9479005976357,56.42857142857143,1.0269248207175947,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9797334300455425,3.953013729586905,5.903114435008192,7.772084925037578,9.332351849529209,3070.0000000000077,2073.148408854848,33846.731361187434,2.984750181867984,0.1666666666666662,10.471207592176484,3218.5151856096622,3219.5640744058337,502.6025182873108,830.4975895872292,2073.148408854848,4314.428188885158,33843.74661100557,10365592.829204692,3483.930599297929,1741.9652996489644,1.0483762819575422,0.929172180639874,0.2667390449620995,0.6368345735136465,0.7462104825733143,0.7651175180263912,0.7684083011230748,0.7690142869551513
20,27,20,13,21,18,29,29,29,30,35,32,16,24,29,10,17,20,24,9,27,15,21,14,23,31,42,19,18,18,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,8,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,3,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,255,6,56.65068037346824,56.86363636363637,0.9962549705965636,59.375,22.22222222222222,8.451339292849958,50.47858904493653,0.1674242377362507,1.9793999071261783,3.952782791547811,5.900478028594931,7.76473734552166,9.31721130025973,3070.0000000000005,2058.582905126074,34418.606076435935,1.8680457203796403,0.1666666666666666,10.477043762514796,3279.3792095456115,3280.4479334486923,483.18414644139614,830.1445178327317,2058.582905126074,4229.020540298597,34416.738030715554,10761338.644067796,3398.876022465865,1699.4380112329325,1.0682016969203945,0.9252517292875696,0.2571594421566285,0.6367206826694326,0.7461941889838865,0.7650980540831459,0.7683984073220337,0.7690108961897382
21,28,21,13,19,16,29,33,29,29,34,31,17,24,30,10,16,20,26,9,28,15,20,13,23,29,42,19,19,19,31,21,44,20,50,24,18,27,32,26,40,27,51,27,26,16,35,23,28,26,17,20,21,25,18,11,28,24,30,22,5,7,19,10,3,5,9,4,7,7,6,8,7,3,7,4,1,3,7,2,4,4,7,4,3,3,3,7,3,9,12,5,5,8,11,9,13,6,6,4,6,6,13,4,5,10,11,8,4,11,10,6,3,9,4,1,5,8,9,2,7,7,13,3,2,2,2,4,3,5,6,2,4,5,6,5,5,10,5,6,0,2,7,0,10,7,6,5,2,2,5,5,3,6,5,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,7,7,13,4,6,7,6,2,8,15,11,10,3,5,6,6,11,12,17,10,6,4,7,7,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,15,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,7,9,11,8,7,3,11,2,7,5,11,5,5,8,9,4,7,3,2,5,6,5,6,3,7,5,5,4,8,6,6,5,3,0,11,4,2,1,5,3,5,7,10,6,4,3,6,11,10,3,12,5,8,5,6,3,2,1,1,1,1,1,3,2,8,5,3,3,1,0,7,2,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.980387561834368,3.954612067231076,5.906896351880045,7.770795664061358,9.326502980526987,3070.0000000000014,2110.567613451262,34508.93281480289,1.463992048199773,0.1666666666666666,10.44632935890154,3200.3387320719658,3201.381697304826,500.56479436895074,851.8312323901142,2110.567613451262,4235.456083873964,34507.46882275469,10248844.77183833,3383.6248514838494,1691.8124257419247,1.0424556130527571,0.8993726604004662,0.2555705647393441,0.6369995904703145,0.7462578376523784,0.7651308566492272,0.7684026581470695,0.7690113407017887
20,29,21,13,21,19,30,27,29,28,35,32,16,24,29,10,17,20,24,9,27,14,22,15,23,30,42,20,18,17,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,7,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,2,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,255,6,57.9479005976357,56.42857142857143,1.0269248207175947,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9793366960282175,3.9522698897799353,5.9023157569669245,7.770030280715293,9.330183868800995,3063.9999999999977,2129.5215204048286,30954.565988746643,1.0088514226932177,0.1666666666666668,10.489870157278816,3222.2749727482906,3223.327144196005,472.89755369582366,825.3648714429465,2129.5215204048286,4264.056632043236,30953.55713732395,10389837.878510777,3438.69176060029,1719.345880300145,1.051656322698529,0.870017444971323,0.2518825427218084,0.6367245376691153,0.7461772609537451,0.7651112901635818,0.7684058827783024,0.7690137651743495
21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,27,32,26,41,27,51,27,26,16,34,23,28,26,19,20,21,24,18,12,27,24,29,21,5,7,19,9,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9793693436680375,3.953212582649761,5.903914482879134,7.766701776322045,9.31776210833546,3063.999999999995,2140.4188975851685,28967.11751648033,4.29510210493767,0.1666666666666669,10.490476197197705,3221.467988355619,3222.5198962982186,467.3183376605679,831.3392283701445,2140.4188975851685,4174.254375642262,28962.8224143754,10384634.482037883,3342.9151472721173,1671.457573636059,1.0513929465912613,0.8600871767963122,0.2504365332696689,0.636728803828986,0.7462064131817757,0.7651125031777357,0.7683973298868012,0.7690104683681632
21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,26,32,26,40,27,50,28,27,16,34,23,28,26,19,20,21,25,18,12,27,24,29,21,5,7,19,9,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,8,8,8,8,8,3,7,10,6,16,5,12,7,8,7,6,6,15,8,15,12,10,3,8,7,15,6,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,6,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9797922202385907,3.954177787465332,5.904907403870479,7.767819029743257,9.320352524578936,3064.000000000004,2155.5559627582443,28398.22771130008,0.2994268928820933,0.1666666666666664,10.48943163497206,3219.4633093110406,3220.514562664547,451.9287143364605,829.9939933347041,2155.5559627582443,4162.368259227571,28397.9282844072,10371714.04833442,3332.374265892867,1666.1871329464334,1.050738677973576,0.8465175247822581,0.2483285551064506,0.6368437576620711,0.7462549158048015,0.7651243258453342,0.7684008426369946,0.7690116168201919
20,27,20,13,21,18,29,28,29,30,35,32,16,24,29,10,17,20,24,9,27,14,21,14,23,31,42,19,18,17,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,7,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,2,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,255,6,56.65068037346824,56.86363636363637,0.9962549705965636,59.375,22.22222222222222,8.451339292849958,50.47858904493653,0.1674242377362507,1.9790002147296488,3.952039060164671,5.899618682159749,7.762429875355591,9.315013593322224,3064.000000000004,2060.1178557584244,31561.744544712958,1.565224210450224,0.1666666666666664,10.4890118590752,3253.042883209503,3254.105101322126,479.12600912026215,804.1368444741366,2060.1178557584244,4270.20183258074,31560.179320502502,10589200.010450684,3466.064988106604,1733.032494053302,1.061698068932604,0.9257936463946648,0.2568055278748867,0.6366094787344153,0.7461608878695234,0.7650914836199236,0.7683957791790045,0.7690103590776896
42,46,51,34,46,59,58,39,45,70,77,58,28,32,56,21,64,24,42,28,23,33,42,26,60,44,72,52,29,26,48,24,78,54,76,31,43,41,58,42,87,47,77,66,57,33,82,40,62,39,52,39,22,37,33,36,45,31,50,30,31,23,36,23,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,12,14,9,9,15,23,11,19,6,16,17,9,7,16,7,15,11,11,8,17,14,22,17,13,22,21,21,13,8,16,21,8,8,7,5,9,11,8,4,15,12,18,11,6,8,6,1,16,13,21,14,3,8,8,5,9,10,16,7,7,6,12,3,7,3,9,4,7,6,11,9,16,8,13,5,6,3,12,5,27,13,13,7,7,11,19,7,16,8,21,27,13,10,22,7,12,6,6,5,6,7,8,5,20,11,9,8,6,1,11,6,23,21,25,9,8,18,16,12,15,22,29,10,11,7,12,1,6,9,16,12,9,13,12,7,18,8,19,13,6,7,21,8,34,14,25,14,11,8,14,14,23,18,23,13,19,9,22,16,26,7,14,10,8,9,8,8,27,14,21,20,15,7,12,6,17,14,19,12,7,7,10,15,7,15,16,14,10,11,14,4,7,6,5,4,9,11,10,7,11,3,14,5,8,7,17,4,13,11,12,9,6,6,8,11,7,14,16,13,5,7,12,6,14,5,9,3,4,10,5,4,11,6,8,11,5,6,6,6,168,6,42.516791657806095,51.073170731707314,0.8324682225262894,58.333333333333336,16.666666666666664,9.643289796438792,47.14846625347938,0.2045302967989367,1.9791357935587155,3.947377354209,5.895218143029379,7.798927750964616,9.561862199022835,5807.9999999999945,3834.619072569997,52198.71631650869,0.9097360807291364,0.1666666666666668,14.43040807531277,6133.638398210315,6134.6947382505605,856.1486329637889,1559.6472436512763,3834.619072569997,8107.104648785574,52197.80658042796,37634479.53151912,6547.457405134297,3273.7287025671485,1.0560672173227137,0.9651926634633992,0.2491911451360909,0.6367378471542271,0.7460195891262679,0.7650116270852119,0.7684146190341944,0.769050702825857
42,46,51,34,45,59,59,40,46,70,76,58,28,32,57,21,63,25,42,28,24,33,40,24,59,42,72,53,29,25,50,24,78,55,77,30,42,40,58,43,88,46,77,66,58,33,80,40,64,39,51,39,21,36,32,38,45,31,50,31,32,23,37,23,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,11,13,10,9,15,23,11,20,6,16,17,9,8,16,7,15,11,12,8,16,14,23,17,12,22,21,21,14,7,16,21,8,8,7,5,9,11,8,4,15,12,18,12,6,7,7,1,16,13,20,14,3,8,8,6,9,10,16,7,7,6,12,3,7,3,9,5,7,6,11,9,16,6,12,6,6,2,12,4,27,13,13,6,7,10,18,7,16,8,21,27,13,10,23,7,12,6,6,5,6,7,7,5,20,11,10,9,6,1,11,6,23,21,25,9,8,18,15,14,15,22,30,10,11,7,12,0,6,9,16,11,9,12,12,7,18,8,19,13,6,7,21,9,35,15,24,14,10,9,14,13,24,17,23,13,20,9,21,16,26,7,14,11,8,8,9,8,27,14,20,19,15,7,12,6,17,15,21,11,7,7,10,15,7,15,15,14,10,11,14,4,7,6,5,3,9,11,10,6,10,3,14,5,8,8,17,5,13,11,12,9,6,6,7,12,7,14,16,13,5,7,13,6,14,6,9,3,4,10,5,4,12,6,8,11,5,6,6,6,129,6,36.64137176642871,46.46341463414634,0.7886069514034526,58.333333333333336,16.666666666666664,9.580121277149509,46.91966959015126,0.2041813457092297,1.9792436214764808,3.94684996267312,5.89329169306235,7.795401289337139,9.55848718099685,5807.999999999994,3895.291552796101,54711.49143996108,2.78218180443438,0.1666666666666668,14.442266134572945,6131.865621489108,6132.921656220348,860.8083994729017,1567.3886373660775,3895.291552796101,7889.891404994059,54708.70925815665,37612728.041336544,6322.502767627981,3161.2513838139903,1.055761987170991,0.9357878492154872,0.2441504731755525,0.6367663023261031,0.7459989709078915,0.7649969820556022,0.768408988428776,0.7690497026045671
