Feature	Importance
G_TTC	0.028594
A_CGC	0.025566
C_AGA	0.022626
T_AT	0.022094
G_TCG	0.020443
T_GCG	0.019690
T_TT	0.019537
G_TC	0.018090
A_GC	0.016711
A_TCC	0.014699
G_GG	0.014532
T_CCA	0.014452
C_ATG	0.013915
A_AA	0.012906
G_ACT	0.012410
A_GCC	0.012132
T_CGA	0.011395
A_CTG	0.011286
faverage	0.011034
T_GA	0.010763
k-tsallis52.3	0.009686
fnone_levated_peak	0.009652
T_GCT	0.009463
k5	0.008936
C_TAG	0.008709
G_TGC	0.008355
finterquartile_range	0.008320
G_AGT	0.007883
A_AAG	0.007767
T_TTA	0.007740
fmedian	0.007197
k3	0.007170
fvariance	0.006999
G_CCC	0.006829
C_AT	0.006488
G_GGT	0.006375
C_TT	0.006267
A_GCG	0.006129
T_ATC	0.006107
C_CAT	0.006012
G_AGA	0.005983
A_AT	0.005882
T_ATG	0.005747
k-tsallis32.3	0.005622
C_AAG	0.005426
G_CGC	0.005391
fmaximum	0.005382
A_TAG	0.005371
C_GTA	0.005368
G_GGG	0.005185
fpercentile75	0.005076
C_TAT	0.005070
T_ACG	0.005058
C_TC	0.004852
A_GTG	0.004812
C_CA	0.004772
G_TAG	0.004753
fpercentile25	0.004618
fpopulation_standard_deviation	0.004609
G_GA	0.004598
A_GCT	0.004471
C_GCA	0.004373
C_CCT	0.004363
A_GGG	0.004338
T_AGT	0.004314
maximum_GC_content_ORF	0.004310
G_GCC	0.004289
A_TC	0.004226
G_TCA	0.004209
G_TT	0.004182
T_TC	0.004178
G_GCA	0.004171
C_AC	0.004089
C_CAA	0.003860
G_ATA	0.003802
C_GTG	0.003789
T_GAT	0.003669
minimum_ORF_length	0.003550
k4	0.003513
famplitude	0.003487
C_ACG	0.003470
T_GG	0.003408
minimum_GC_content_ORF	0.003400
C_TGA	0.003384
T_GAA	0.003364
A_TGC	0.003346
T_CCC	0.003314
T_TTT	0.003294
fsample_standard_deviation	0.003272
C_TTT	0.003271
A_ATT	0.003268
C_GAG	0.003164
k-tsallis42.3	0.003163
T_TTG	0.003111
A_CA	0.003104
fsemi_interquartile_range	0.003101
T_CT	0.003093
C_GGG	0.003081
G_AGG	0.003071
C_CG	0.003045
T_GGG	0.003041
C_GAT	0.003026
k-tsallis12.3	0.002999
C_TG	0.002998
G_AT	0.002985
C_CGC	0.002943
C_AG	0.002923
A_CTC	0.002815
G_GAC	0.002806
A_TA	0.002793
G_GGC	0.002784
T_CA	0.002748
G_GT	0.002716
A_CAC	0.002709
A_CT	0.002704
C_GTC	0.002685
C_AGC	0.002652
A_GAA	0.002628
G_GCG	0.002621
G_ACG	0.002618
A_ATG	0.002566
k1	0.002534
G_TG	0.002507
fpercentile50	0.002505
G_CT	0.002483
T_CTG	0.002473
A_CAG	0.002468
C_GCT	0.002369
C_GCC	0.002357
C_ATC	0.002332
A_TCA	0.002326
G_GCT	0.002310
C_TA	0.002307
A_CCA	0.002300
C_GAA	0.002289
fminimum	0.002281
C_AGT	0.002270
A_TGA	0.002264
A_ACC	0.002247
A_GA	0.002204
A_GTC	0.002162
G_AAT	0.002161
A_CCC	0.002161
A_CTT	0.002149
C_TGC	0.002133
C_TTA	0.002127
A_TT	0.002110
C_CTT	0.002110
T_CGT	0.002103
C_TTG	0.002090
T_CGG	0.002080
average_GC_content_ORF	0.002074
C_GG	0.002068
T_CAA	0.002057
T_TGG	0.002055
G_CG	0.002033
C_TCA	0.001937
T_AG	0.001936
G_AA	0.001925
G_AGC	0.001913
T_AC	0.001896
G_TAA	0.001882
G_TTG	0.001878
fcoefficient_of_variation	0.001823
C_TAC	0.001820
T_TGC	0.001814
A_TGG	0.001806
C_GGC	0.001795
A_TTT	0.001777
T_GGT	0.001763
A_CGG	0.001740
C_TGG	0.001731
G_GAT	0.001690
average_ORF_length	0.001680
C_CGT	0.001657
T_AGG	0.001653
C_CAG	0.001643
fkurtosis	0.001614
G_GTG	0.001602
A_AAA	0.001592
k2	0.001591
T_GAC	0.001540
C_GA	0.001536
fpercentile15	0.001500
C_CC	0.001463
T_GT	0.001449
G_CTT	0.001431
G_TTT	0.001384
T_CC	0.001374
G_CTG	0.001364
G_TGG	0.001355
C_CCC	0.001289
fskewness	0.001266
T_TCT	0.001237
C_CT	0.001233
G_GAA	0.001224
A_TG	0.001217
C_TCC	0.001191
G_CC	0.001160
G_TA	0.001154
A_CTA	0.001149
A_AGT	0.001145
C_ACA	0.001138
T_TTC	0.001121
T_AA	0.001113
A_TAA	0.001087
G_AG	0.001085
C_GTT	0.001067
T_CGC	0.001034
T_GAG	0.001023
C_GGT	0.001010
G_CA	0.001003
k-tsallis22.3	0.000948
G_GAG	0.000937
T_AAC	0.000925
T_TG	0.000908
A_AG	0.000863
T_GCA	0.000849
G_ACA	0.000824
G_CGA	0.000789
G_CAG	0.000785
T_TGA	0.000781
T_CAC	0.000776
C_GAC	0.000723
G_AAC	0.000720
