nameseq,A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,label
pre_0_train_U00096.3/228758-228873,1,1,1,0,0,1,3,3,0,3,2,1,1,1,3,0,1,1,2,3,4,6,1,0,4,2,2,3,2,0,4,0,2,2,5,0,1,3,5,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,1,0,rRNA
pre_1_train_U00096.3/4040519-4040634,1,1,1,0,0,1,3,3,0,3,2,1,2,1,3,0,1,1,2,2,4,5,1,0,4,2,2,3,1,1,4,0,2,2,6,0,2,2,4,1,4,2,5,3,1,2,2,0,1,1,1,1,0,3,1,1,0,3,2,3,0,1,1,0,rRNA
pre_2_train_U00096.3/3423540-3423425,1,1,1,0,0,1,3,3,0,3,2,1,2,1,3,0,1,1,2,3,4,6,1,0,5,2,1,3,1,0,3,0,2,2,6,0,2,2,4,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,2,0,rRNA
pre_3_train_U00096.3/3941808-3943349,20,29,21,15,21,18,29,30,29,28,34,33,17,24,30,11,16,20,25,9,27,15,21,14,23,30,42,20,19,18,32,21,46,19,49,23,18,27,32,26,41,27,51,27,26,16,35,23,29,26,20,20,21,24,19,11,28,24,28,21,5,8,18,9,rRNA
pre_4_train_U00096.3/3428762-3427221,20,29,21,14,21,19,30,28,29,28,35,32,16,24,30,11,17,20,24,9,27,15,22,15,23,30,42,20,18,18,33,20,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,29,26,19,20,21,24,18,11,28,24,28,22,5,8,18,10,rRNA
pre_5_train_U00096.3/2731157-2729616,20,27,20,14,21,18,29,29,29,30,35,32,16,24,30,11,17,20,24,9,27,15,21,14,23,31,42,19,18,18,33,21,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,29,25,19,21,21,24,19,12,28,24,28,22,5,8,18,9,rRNA
pre_6_train_U00096.3/4035531-4037072,21,28,20,14,19,18,30,30,30,29,34,33,17,24,30,11,16,20,25,9,27,15,21,13,23,29,42,19,19,19,32,22,45,19,51,24,18,26,32,26,40,27,50,28,27,16,34,23,29,26,19,20,21,25,18,13,28,24,29,21,5,7,19,9,rRNA
pre_7_train_U00096.3/4166659-4168200,21,28,20,14,19,18,30,30,30,29,34,33,17,24,30,11,16,20,25,9,27,15,21,13,23,29,42,19,19,19,32,22,45,19,51,24,18,27,32,26,41,27,51,27,26,16,34,23,29,26,19,20,21,24,18,13,28,24,29,21,5,7,19,9,rRNA
pre_8_train_U00096.3/223771-225312,21,28,21,14,19,16,29,33,29,29,34,31,17,24,31,11,16,20,26,9,28,15,20,13,23,29,42,19,19,19,31,22,44,20,50,24,18,27,32,26,40,27,51,27,26,16,35,23,29,26,17,20,21,25,18,12,29,24,30,22,5,7,19,10,rRNA
pre_9_train_U00096.3/4035536-4037070,21,28,20,13,19,18,30,30,30,29,34,33,17,24,29,10,16,20,25,9,27,15,21,13,23,29,42,19,19,19,32,21,45,19,51,24,18,26,32,26,40,27,50,28,27,16,34,23,28,26,19,20,21,25,18,12,27,24,29,21,5,7,19,9,rRNA
