Feature	Importance
G_TTC	155.000000
G_GG	98.000000
T_GCG	95.000000
A_TCC	79.000000
T_GA	77.000000
T_TT	73.000000
G_TC	65.000000
T_GG	55.000000
interquartile_range	49.000000
fpercentile25	48.000000
A_GC	47.000000
fickett_score-ORF	47.000000
T_CGA	44.000000
C_TT	43.000000
skewness	42.000000
G_GGT	41.000000
C_AG	39.000000
T_ATC	39.000000
G_TAG	35.000000
k-tsallis12.3	35.000000
C_GAT	32.000000
G_TCG	32.000000
average	31.000000
fickett_score-full-sequence	31.000000
A_AA	29.000000
C_CAT	28.000000
coefficient_of_variation	27.000000
percentile25	25.000000
T_AT	25.000000
fmaximum	23.000000
fminimum	23.000000
fskewness	23.000000
percentile75	21.000000
median	20.000000
A_TA	20.000000
A_GCC	19.000000
C_CAG	18.000000
C_GCA	17.000000
fkurtosis	17.000000
A_TGG	16.000000
minimum	16.000000
A_GCG	16.000000
maximum	15.000000
C_AT	15.000000
A_TCT	14.000000
G_CGC	14.000000
C_AGC	13.000000
T_GTA	13.000000
G_TCA	13.000000
fsample_standard_deviation	13.000000
G_TTT	13.000000
T_CC	13.000000
C_AAT	12.000000
A_GT	12.000000
T_GT	12.000000
T_CT	12.000000
k-tsallis52.3	12.000000
G_CCC	11.000000
C_CT	11.000000
none_levated_peak	11.000000
G_TA	11.000000
C_CGT	11.000000
fpercentile75	11.000000
G_TT	11.000000
k-tsallis22.3	11.000000
C_AGG	11.000000
G_CG	11.000000
minimum_ORF_length	11.000000
G_CT	10.000000
kurtosis	10.000000
C_TCT	10.000000
minimum_GC_content_ORF	10.000000
A_GA	9.000000
fcoefficient_of_variation	9.000000
A_CC	9.000000
C_CA	9.000000
k-tsallis42.3	9.000000
T_TTT	9.000000
finterquartile_range	8.000000
percentile15	8.000000
A_TAA	8.000000
C_AA	8.000000
famplitude	8.000000
C_TG	8.000000
fpercentile15	8.000000
T_CG	8.000000
A_CT	8.000000
G_TGC	8.000000
fnone_levated_peak	8.000000
G_GAC	7.000000
T_TG	7.000000
G_CC	7.000000
A_AG	7.000000
G_AT	7.000000
G_AG	7.000000
G_AC	7.000000
C_GGT	7.000000
A_AAG	6.000000
G_CAT	6.000000
T_CCC	6.000000
A_TGA	6.000000
A_TT	6.000000
A_TAG	6.000000
C_GA	6.000000
T_TC	6.000000
maximum_ORF_length	6.000000
T_CCT	6.000000
C_GTA	5.000000
T_CAA	5.000000
C_GGC	5.000000
T_TCC	5.000000
T_CA	5.000000
k-tsallis32.3	5.000000
A_GG	5.000000
G_GGG	5.000000
C_AC	5.000000
T_GCC	5.000000
C_AAG	5.000000
G_GT	5.000000
C_CCG	4.000000
A_TTT	4.000000
T_TTA	4.000000
A_AGG	4.000000
C_ACG	4.000000
G_CGG	4.000000
C_CTT	4.000000
A_GTG	4.000000
C_TAT	4.000000
peak	4.000000
fmedian	4.000000
fpopulation_standard_deviation	4.000000
T_AG	4.000000
T_AA	4.000000
C_TC	4.000000
T_AGG	4.000000
C_GT	4.000000
C_CTG	3.000000
G_GCA	3.000000
A_TCA	3.000000
T_CGC	3.000000
G_AA	3.000000
T_GCT	3.000000
T_AGC	3.000000
C_GG	3.000000
A_AT	3.000000
A_CGT	3.000000
G_GAG	3.000000
T_TCA	3.000000
G_GTG	3.000000
A_AGC	3.000000
A_CGG	3.000000
G_AAA	3.000000
G_TG	3.000000
C_CGA	2.000000
T_GGG	2.000000
G_ATG	2.000000
C_TTT	2.000000
A_TG	2.000000
G_ATT	2.000000
C_AGT	2.000000
G_AGC	2.000000
G_AGA	2.000000
C_GC	2.000000
G_ACG	2.000000
T_CTT	2.000000
T_GGT	2.000000
G_CGA	2.000000
C_TCC	2.000000
T_CCG	2.000000
A_AAA	2.000000
std_ORF_length	2.000000
A_CAA	2.000000
A_CAT	2.000000
G_GCC	2.000000
G_GA	2.000000
A_CTC	2.000000
A_CTT	2.000000
T_AGA	2.000000
G_CGT	2.000000
average_GC_content_ORF	2.000000
C_CC	2.000000
C_GCC	1.000000
C_GGA	1.000000
A_TC	1.000000
A_AC	1.000000
A_CA	1.000000
T_TA	1.000000
C_CCC	1.000000
sample_standard_deviation	1.000000
C_ATT	1.000000
C_ATG	1.000000
C_CG	1.000000
A_TGT	1.000000
amplitude	1.000000
T_GC	1.000000
G_CA	1.000000
A_GGG	1.000000
A_CTG	1.000000
A_CGC	1.000000
A_AAT	1.000000
A_TCG	1.000000
T_TTC	1.000000
T_GAG	1.000000
T_ACG	1.000000
G_TCC	1.000000
G_TAA	1.000000
cv_ORF_length	1.000000
T_ATT	1.000000
T_GAA	1.000000
T_GAC	1.000000
G_CTG	1.000000
C_TTC	1.000000
C_TTA	1.000000
C_TGG	1.000000
G_GAT	1.000000
T_TTG	1.000000
maximum_GC_content_ORF	1.000000
C_TGA	1.000000
T_GTC	1.000000
T_GTT	1.000000
C_TAG	1.000000
G_CAC	1.000000
G_CAA	1.000000
C_TAA	1.000000
G_GGA	1.000000
G_CCG	1.000000
G_TTA	1.000000
C_GTG	1.000000
T_TCG	1.000000
T_ACA	1.000000
T_TAG	1.000000
T_CGG	1.000000
G_TGA	0.000000
G_TGG	0.000000
G_TCT	0.000000
average_ORF_length	0.000000
G_TGT	0.000000
fpeak	0.000000
fpercentile50	0.000000
C_GTC	0.000000
G_TAT	0.000000
G_TAC	0.000000
A_ATC	0.000000
A_ATA	0.000000
A_AGT	0.000000
std_GC_content_ORF	0.000000
G_GTA	0.000000
A_AGA	0.000000
A_ACT	0.000000
A_ACG	0.000000
A_ACC	0.000000
A_ACA	0.000000
G_GTC	0.000000
G_TTG	0.000000
G_GTT	0.000000
A_AAC	0.000000
faverage	0.000000
T_AC	0.000000
T_ACT	0.000000
T_AAA	0.000000
T_AAC	0.000000
T_GAT	0.000000
T_GCA	0.000000
fsemi_interquartile_range	0.000000
T_GGA	0.000000
T_GGC	0.000000
T_GTG	0.000000
T_TAA	0.000000
T_TAC	0.000000
T_TAT	0.000000
A_CG	0.000000
T_TCT	0.000000
T_TGA	0.000000
T_TGC	0.000000
T_TGG	0.000000
T_TGT	0.000000
T_CTG	0.000000
T_CTC	0.000000
T_CTA	0.000000
T_ATA	0.000000
T_AAG	0.000000
T_AAT	0.000000
T_ACC	0.000000
G_GC	0.000000
A_ATT	0.000000
T_AGT	0.000000
T_ATG	0.000000
T_CGT	0.000000
T_CAC	0.000000
T_CAG	0.000000
T_CAT	0.000000
fvariance	0.000000
T_CCA	0.000000
C_TA	0.000000
A_ATG	0.000000
A_CCG	0.000000
G_GGC	0.000000
population_standard_deviation	0.000000
C_CAA	0.000000
G_AAC	0.000000
G_AAG	0.000000
C_ATC	0.000000
C_ATA	0.000000
G_AAT	0.000000
G_ACA	0.000000
C_AGA	0.000000
C_TTG	0.000000
C_ACT	0.000000
G_ACC	0.000000
C_ACC	0.000000
C_ACA	0.000000
G_ACT	0.000000
G_AGG	0.000000
C_AAC	0.000000
C_CAC	0.000000
C_CCA	0.000000
G_AGT	0.000000
C_GAC	0.000000
C_GGG	0.000000
C_GTT	0.000000
C_GCT	0.000000
C_GCG	0.000000
C_TAC	0.000000
cv_GC_content_ORF	0.000000
C_GAG	0.000000
C_GAA	0.000000
C_CCT	0.000000
C_TCA	0.000000
C_TCG	0.000000
C_CTC	0.000000
C_CTA	0.000000
C_CGG	0.000000
C_CGC	0.000000
C_TGC	0.000000
C_AAA	0.000000
A_TTG	0.000000
A_CAC	0.000000
G_GAA	0.000000
G_CTC	0.000000
A_GCA	0.000000
A_GAT	0.000000
A_GAG	0.000000
A_GAC	0.000000
A_GAA	0.000000
G_CTT	0.000000
A_CTA	0.000000
A_GCT	0.000000
G_GCG	0.000000
G_GCT	0.000000
A_CGA	0.000000
A_CCT	0.000000
A_CCC	0.000000
A_CCA	0.000000
A_CAG	0.000000
semi_interquartile_range	0.000000
A_GGA	0.000000
A_TTC	0.000000
A_TAT	0.000000
A_TTA	0.000000
G_ATA	0.000000
percentile50	0.000000
A_TGC	0.000000
G_ATC	0.000000
variance	0.000000
G_CAG	0.000000
G_CCA	0.000000
A_GGC	0.000000
A_TAC	0.000000
A_GTT	0.000000
G_CCT	0.000000
A_GTC	0.000000
A_GTA	0.000000
A_GGT	0.000000
G_CTA	0.000000
C_TGT	0.000000
