Feature	Importance
A_TCC	0.030908
T_TT	0.029279
G_TTC	0.027106
G_GGT	0.024704
T_CCA	0.021471
T_AT	0.018122
G_TC	0.017506
A_CTG	0.016220
G_TCG	0.015790
C_ATG	0.014991
G_ACT	0.014824
A_CGC	0.014078
G	0.013942
T_GA	0.013864
G_AGT	0.013717
A_GC	0.013119
A_GCC	0.012905
A_AA	0.012109
C_CC	0.011453
G_GG	0.011273
k4	0.010885
T_GCG	0.010842
C_CAT	0.010363
G_TAG	0.009712
T	0.009242
C_TT	0.008685
k5	0.008582
C_AGA	0.007950
C_TTT	0.007903
G_TT	0.007881
A_TAG	0.007709
G_TGC	0.007694
G_GGG	0.007630
A	0.007627
A_AT	0.007428
G_AG	0.007346
T_CGA	0.007346
T_ATG	0.007064
C_GTA	0.006876
A_AAG	0.006595
A_CC	0.006448
C_TAT	0.006443
C_AT	0.006406
C_AGT	0.005952
G_GAG	0.005766
C_TAG	0.005650
T_GGG	0.005548
C_ACG	0.005543
A_GAG	0.005461
T_GCT	0.005415
C	0.005342
C_GAC	0.005322
A_CA	0.005320
A_ATT	0.005225
T_CA	0.005123
A_CTC	0.005099
G_GTA	0.005063
G_AAC	0.004977
A_GG	0.004916
T_CAC	0.004765
C_CCT	0.004722
C_CT	0.004718
C_GA	0.004640
A_GCT	0.004637
A_TA	0.004598
C_GTC	0.004535
T_ATC	0.004387
A_CAG	0.004347
G_AA	0.004347
C_TCG	0.004323
A_GAC	0.004200
A_TC	0.004177
G_TAA	0.004165
G_GA	0.004110
G_CGC	0.004038
G_CCC	0.003954
C_TGA	0.003944
T_TTA	0.003939
T_CC	0.003911
G_CT	0.003839
T_GG	0.003792
A_GGG	0.003778
T_GTC	0.003728
T_AAC	0.003728
A_CCG	0.003569
C_AG	0.003555
T_TTT	0.003482
C_TA	0.003427
A_TAA	0.003418
A_CTT	0.003400
T_AG	0.003387
A_GCG	0.003294
T_CCC	0.003119
C_ACC	0.003070
T_GTA	0.003017
T_AA	0.002987
G_AT	0.002954
A_GA	0.002938
C_AC	0.002912
G_GAA	0.002867
G_TTT	0.002856
T_CG	0.002829
G_CA	0.002791
C_TC	0.002731
T_TC	0.002724
C_GAT	0.002689
C_TTG	0.002641
T_GAA	0.002635
A_CAT	0.002630
A_GAA	0.002601
A_TGC	0.002595
G_GT	0.002591
C_TGC	0.002584
T_GAT	0.002573
C_TG	0.002569
G_CCT	0.002553
G_AC	0.002548
C_GGT	0.002507
A_ACG	0.002481
A_TTT	0.002456
T_CGT	0.002453
A_CCT	0.002439
C_GG	0.002381
A_ACA	0.002322
C_TCA	0.002263
A_TAC	0.002262
A_AC	0.002236
G_GGA	0.002234
A_TCA	0.002224
k3	0.002222
C_CA	0.002207
A_AG	0.002195
k2	0.002183
G_CGG	0.002164
A_ATG	0.002107
k1	0.002102
A_GCA	0.002085
G_AAT	0.002062
A_GGT	0.002059
G_CCG	0.002052
G_AGG	0.002025
G_GCC	0.002003
G_GCA	0.001996
fickett_score-ORF	0.001968
C_GC	0.001962
G_GGC	0.001955
G_TCA	0.001943
T_ATA	0.001937
T_GAG	0.001934
C_CCG	0.001931
G_TAC	0.001921
G_ACG	0.001883
T_CTA	0.001844
A_TCG	0.001820
T_AC	0.001818
C_AAC	0.001807
C_AAT	0.001767
C_CCA	0.001764
C_GTG	0.001755
C_AAG	0.001706
A_CGG	0.001477
G_CG	0.001461
A_AAA	0.001447
T_ATT	0.001423
A_TAT	0.001399
T_GGT	0.001399
A_CT	0.001387
T_TTC	0.001308
G_GAT	0.001290
A_TT	0.001223
T_TA	0.001220
T_TGG	0.001199
G_GAC	0.001195
A_AAT	0.001191
C_GTT	0.001178
T_ACG	0.001162
C_ACA	0.001147
C_GAA	0.001135
T_TAC	0.001119
G_CTA	0.001118
C_GGG	0.001087
G_TGG	0.001082
A_TGA	0.001075
G_GC	0.001073
C_GCA	0.001060
T_TG	0.001042
T_AGG	0.001022
G_TG	0.001002
fickett_score-full-sequence	0.000989
A_CAA	0.000982
G_AGC	0.000977
G_GTG	0.000963
T_TCA	0.000956
T_TGT	0.000954
G_GTT	0.000885
G_CTT	0.000883
G_AAG	0.000878
T_GT	0.000875
C_AGC	0.000852
G_CAG	0.000814
A_CG	0.000803
A_TTG	0.000791
C_GT	0.000781
G_ACA	0.000779
G_AGA	0.000761
T_AAA	0.000754
C_TTA	0.000748
G_TGA	0.000741
A_CCC	0.000724
T_GCC	0.000723
T_CAT	0.000720
T_GTT	0.000718
C_CAG	0.000715
T_TTG	0.000710
G_CTC	0.000695
T_GAC	0.000691
G_CC	0.000688
T_TCC	0.000687
C_CTC	0.000682
T_CGG	0.000680
A_GAT	0.000665
A_GT	0.000641
A_GGC	0.000618
T_CTT	0.000601
A_TTC	0.000594
A_TG	0.000573
A_TGG	0.000571
T_CAA	0.000550
C_ATT	0.000538
C_CAC	0.000537
A_TGT	0.000530
G_ATC	0.000516
C_TCC	0.000513
G_TGT	0.000504
T_GTG	0.000503
C_GCC	0.000489
C_CCC	0.000487
G_CGA	0.000486
G_TA	0.000481
G_CAT	0.000480
G_CTG	0.000479
C_GCT	0.000475
G_ATA	0.000468
A_GTG	0.000468
C_TGG	0.000460
G_GCG	0.000455
C_CGG	0.000448
A_CCA	0.000447
T_TAG	0.000445
T_CCG	0.000445
A_ACC	0.000438
G_ATT	0.000436
A_GTC	0.000426
T_ACT	0.000425
A_CAC	0.000404
T_CGC	0.000395
C_CTT	0.000393
G_ATG	0.000388
T_GC	0.000374
A_AGC	0.000373
G_AAA	0.000354
C_GAG	0.000342
T_CT	0.000342
C_CG	0.000341
C_CGC	0.000340
G_TCC	0.000339
C_AA	0.000333
A_GGA	0.000330
T_AGC	0.000327
C_CGT	0.000324
T_CTG	0.000314
C_GGC	0.000312
T_AGA	0.000300
C_GCG	0.000296
C_GGA	0.000273
T_CCT	0.000266
G_GCT	0.000266
G_TCT	0.000265
G_CGT	0.000262
A_CTA	0.000257
T_TGC	0.000239
G_ACC	0.000238
T_GCA	0.000234
G_GTC	0.000232
T_CAG	0.000228
C_AGG	0.000223
C_ATA	0.000219
A_TTA	0.000217
T_GGA	0.000215
A_ATC	0.000205
T_ACC	0.000203
A_ACT	0.000198
C_AAA	0.000194
T_GGC	0.000182
G_TTG	0.000179
G_CCA	0.000172
A_AGG	0.000171
C_CGA	0.000169
A_ATA	0.000168
T_AGT	0.000153
C_TAA	0.000153
T_TCT	0.000140
T_TCG	0.000139
A_AAC	0.000125
A_AGT	0.000118
G_TAT	0.000106
A_GTA	0.000104
T_TAA	0.000091
A_AGA	0.000090
C_CTA	0.000086
T_AAT	0.000073
A_CGA	0.000072
T_TGA	0.000071
C_ACT	0.000061
T_CTC	0.000060
G_CAC	0.000058
G_CAA	0.000046
C_TGT	0.000046
C_CTG	0.000017
A_TCT	0.000015
C_ATC	0.000005
C_TTC	0.000000
C_TCT	0.000000
G_TTA	0.000000
C_TAC	0.000000
T_AAG	0.000000
T_ACA	0.000000
T_TAT	0.000000
A_GTT	0.000000
A_CGT	0.000000
C_CAA	0.000000
