nameseq,A-feat,C-feat,D-feat,E-feat,F-feat,G-feat,H-feat,I-feat,K-feat,L-feat,M-feat,N-feat,P-feat,Q-feat,R-feat,S-feat,T-feat,V-feat,W-feat,Y-feat,label
pre_0_U00096.3/3982510-3982582,0.1780821917808219,0.2328767123287671,0.0,0.0,0.0,0.2876712328767123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3013698630136986,0.0,0.0,0.0,Predicted
pre_1_U00096.3/225500-225572,0.1643835616438356,0.2876712328767123,0.0,0.0,0.0,0.3424657534246575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054794520547945,0.0,0.0,0.0,Predicted
pre_2_U00096.3/225381-225454,0.20270270270270271,0.22972972972972974,0.0,0.0,0.0,0.33783783783783783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22972972972972974,0.0,0.0,0.0,Predicted
pre_3_U00096.3/262871-262943,0.2328767123287671,0.2191780821917808,0.0,0.0,0.0,0.2876712328767123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2602739726027397,0.0,0.0,0.0,Predicted
pre_4_U00096.3/3982375-3982448,0.14864864864864866,0.3108108108108108,0.0,0.0,0.0,0.36486486486486486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17567567567567569,0.0,0.0,0.0,Predicted
pre_5_U00096.3/2947387-2947460,0.17567567567567569,0.32432432432432434,0.0,0.0,0.0,0.33783783783783783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16216216216216217,0.0,0.0,0.0,Predicted
pre_6_U00096.3/297178-297251,0.2972972972972973,0.20270270270270271,0.0,0.0,0.0,0.21621621621621623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28378378378378377,0.0,0.0,0.0,Predicted
pre_7_U00096.3/696740-696667,0.24324324324324326,0.24324324324324326,0.0,0.0,0.0,0.2702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24324324324324326,0.0,0.0,0.0,Predicted
pre_8_U00096.3/925971-925887,0.2,0.25882352941176473,0.0,0.0,0.0,0.35294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18823529411764706,0.0,0.0,0.0,Predicted
pre_9_U00096.3/2785837-2785765,0.2054794520547945,0.2602739726027397,0.0,0.0,0.0,0.3013698630136986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2328767123287671,0.0,0.0,0.0,Predicted
