nameseq,fickett_score-ORF,fickett_score-full-sequence,label
pre_0_90534|0.66128017,0.5736,0.33863,toeholds
pre_1_90535|0.6175931410000001,0.8115,0.41885,toeholds
pre_2_90536|0.666666667,0.911,0.43483000000000005,toeholds
pre_3_90537|0.623447442,0.8495000000000001,0.43278,toeholds
pre_4_90538|1.0,0.9754999999999999,0.46088,toeholds
pre_5_90539|0.335784494,0.9338,0.33261999999999997,toeholds
pre_6_90540|0.5620426470000001,0.8897,0.4265,toeholds
pre_7_90541|0.6655104270000001,0.9237,0.3832,toeholds
pre_8_90542|0.649616176,0.6318999999999999,0.35026999999999997,toeholds
pre_9_90543|0.712748525,0.8535,0.36693999999999993,toeholds
pre_10_90544|0.140279336,0.9446000000000001,0.40384000000000003,toeholds
pre_11_90545|0.310200728,0.8315,0.39574,toeholds
pre_12_90546|0.431514481,1.112,0.4537,toeholds
pre_13_90547|0.038841301,0.7058,0.41152,toeholds
pre_14_90548|0.500107645,0.655,0.36063000000000006,toeholds
pre_15_90549|0.239314912,0.8688,0.34834,toeholds
pre_16_90550|0.428000027,0.3731,0.30371000000000004,toeholds
pre_17_90551|0.829363747,0.5985999999999999,0.36923000000000006,toeholds
pre_18_90552|1.0,0.6175,0.35646,toeholds
pre_19_90553|0.37143557899999996,0.93,0.39669,toeholds
pre_20_90554|0.140591931,0.48069999999999996,0.36329,toeholds
pre_21_90555|0.925484902,0.4134,0.37783,toeholds
pre_22_90556|0.082498535,1.2313,0.43835999999999997,toeholds
pre_23_90557|0.038923531000000004,0.8612,0.43083,toeholds
pre_24_90558|0.177833894,0.9267000000000001,0.43501,toeholds
pre_25_90559|0.989047983,0.6068,0.31183,toeholds
pre_26_90560|0.963898258,0.5823999999999999,0.35170999999999997,toeholds
pre_27_90561|0.204222354,0.8776,0.46608999999999995,toeholds
pre_28_90562|0.488373158,1.1152,0.44310000000000005,toeholds
pre_29_90563|1.0,0.5191999999999999,0.31464,toeholds
pre_30_90564|0.48587412799999996,0.7226,0.39971,toeholds
pre_31_90565|0.333333333,1.0856,0.44843,toeholds
pre_32_90566|0.515973499,0.7052,0.368,toeholds
pre_33_90567|1.0,0.7445,0.40867000000000003,toeholds
pre_34_90568|0.561992853,0.8229000000000001,0.45198,toeholds
pre_35_90569|0.644328981,0.6403,0.32133,toeholds
pre_36_90570|0.52117109,1.1447,0.40958,toeholds
pre_37_90571|0.5732931920000001,0.7215,0.34648999999999996,toeholds
pre_38_90572|0.37678065899999996,0.7594000000000001,0.35216,toeholds
pre_39_90573|0.8477123759999999,0.9916,0.37934,toeholds
