nameseq,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis,label
pre_0_90534|0.66128017,58.99999999999999,35.334716277807985,1005.0,5.0837822880001085,0.33333333333333337,1.6091364221653879,127.52254702600635,128.61718124086232,17.79187773960137,22.922338824670977,35.334716277807985,54.90031510761826,999.9162177119999,16542.379310344826,31.977976282947285,15.988988141473643,2.161399102135701,0.5567317531079226,0.18836003834184886,toeholds
pre_1_90535|0.6175931410000001,58.99999999999998,35.57562676400159,1003.0,2.923868021188836,0.3333333333333335,1.6259998716818524,127.82800945019837,128.92526570820414,9.882330956576139,20.14190514582317,35.57562676400159,64.3362287422477,1000.0761319788112,16621.724137931033,44.194323596424525,22.097161798212262,2.166576431359295,0.5497474302404238,0.2622174879023425,toeholds
pre_2_90536|0.666666667,58.999999999999986,38.49184820549364,919.0,11.118758123418132,0.3333333333333334,1.5788136606500918,118.06777714516355,119.08125304843834,17.801831855972257,19.452361693879798,38.49184820549364,54.25367445561915,907.8812418765818,14180.344827586207,34.801312761739354,17.400656380869677,2.001148765172264,0.5210943821520001,0.3242761123634603,toeholds
pre_3_90537|0.623447442,58.99999999999999,33.708339050695876,891.0,7.607656881321592,0.33333333333333337,1.5637865098661377,114.0,114.97855872082081,16.685814799190982,18.828998334341307,33.708339050695876,54.8171093441509,883.3923431186784,13220.068965517241,35.98811100980959,17.994055504904797,1.9322033898305087,0.6655700249816873,0.18516406245000158,toeholds
pre_4_90538|1.0,59.000000000000014,34.06412751420838,909.0,9.08881381407035,0.33333333333333326,1.5608631703908669,114.95216396397242,115.93889591593883,20.881047955485357,25.896872646574806,34.06412751420838,61.069920685046455,899.9111861859296,13441.827586206897,35.17304803847165,17.586524019235824,1.9483417621012271,0.6507717199723237,0.28206353139009294,toeholds
pre_5_90539|0.335784494,58.99999999999999,32.628087765823196,1011.0,7.045285563765467,0.33333333333333337,1.627935778329664,129.7073629367277,130.82075128020495,15.546059505488662,20.82988422288408,32.628087765823196,50.45219359383569,1003.9547144362346,17114.068965517243,29.62230937095161,14.811154685475804,2.1984298802835203,0.6099556332906383,0.17067696832700235,toeholds
pre_6_90540|0.5620426470000001,59.0,29.854634342239464,929.0,4.031314674814674,0.33333333333333337,1.594210111817222,117.75398082442902,118.76476314764932,19.511450373930153,26.388034479967057,29.854634342239464,64.56865958556814,924.9686853251853,14105.068965517241,38.18062510560108,19.09031255280054,1.9958301834648986,0.7425319837267215,0.2251036983053433,toeholds
pre_7_90541|0.6655104270000001,59.0,31.75017432191259,993.0,7.421518304029895,0.33333333333333337,1.6362830830427229,127.75758294520134,128.85423467276289,13.824299427491601,16.03800754811034,31.75017432191259,61.92335989894699,985.5784816959701,16603.41379310345,45.885352350836655,22.942676175418327,2.1653827617830737,0.6398796466690105,0.28811625373235616,toeholds
pre_8_90542|0.649616176,58.99999999999999,26.865321669363635,1087.0,6.5873940618283156,0.33333333333333337,1.6613464747690103,138.30401295696376,139.49119364120546,12.588684452461083,19.196764486637786,26.865321669363635,65.2339097523501,1080.4126059381717,19457.793103448275,46.03714526571231,23.018572632856156,2.3441358128298946,0.6970443802083115,0.2878938235326311,toeholds
pre_9_90543|0.712748525,59.00000000000001,37.55332664221394,1023.0,14.482589341066792,0.3333333333333333,1.6019148376936323,129.07362240210043,130.18157081288558,21.062917882476235,21.775453642530604,37.55332664221394,52.609744318122154,1008.5174106589332,16947.241379310344,30.83429067559155,15.417145337795775,2.1876885152898375,0.4984753575205401,0.28066844400220475,toeholds
pre_10_90544|0.140279336,59.00000000000001,36.431344301061586,1001.0,5.487728860397915,0.3333333333333333,1.6209921894219192,126.90941651429968,127.99878770977644,15.531131608696636,24.669429079978073,36.431344301061586,57.530106948583494,995.512271139602,16383.689655172413,32.86067786860542,16.43033893430271,2.151007059564401,0.5334983719603377,0.21976265850234744,toeholds
pre_11_90545|0.310200728,58.999999999999986,33.459837793771115,1005.0,6.5895813594353205,0.3333333333333334,1.6080976839346148,128.50680915811427,129.60989212992592,17.90606249274657,25.354718494599176,33.459837793771115,50.67284532016526,998.4104186405647,16798.724137931036,25.318126825566083,12.659063412783041,2.17808151115448,0.5962367840323004,0.15868795904153982,toeholds
pre_12_90546|0.431514481,59.00000000000002,38.78204514357731,943.0,7.893545267612195,0.33333333333333326,1.574893665308548,119.53242237987148,120.5584705758422,13.001265826905735,15.138827669224982,38.78204514357731,67.28403695317166,935.1064547323878,14534.344827586207,52.145209283946684,26.072604641973342,2.025973260675787,0.5074260469390595,0.3920386162833833,toeholds
pre_13_90547|0.038841301,59.00000000000002,37.78067920077225,963.0,10.636243565915484,0.33333333333333326,1.560464318358711,121.73742234826561,122.78239792974932,22.942750678381856,26.667458616612524,37.78067920077225,52.31705230003143,952.3637564340845,15075.51724137931,25.649593683418903,12.824796841709452,2.0633461414960266,0.5229120279512001,0.17584662913454138,toeholds
pre_14_90548|0.500107645,59.0,32.93348177175866,1035.0,3.556507067819849,0.33333333333333337,1.60930374487576,131.75735273600483,132.88833788119854,20.858978202992354,24.976356937324244,32.93348177175866,48.40959328311325,1031.44349293218,17659.310344827587,23.43323634578901,11.716618172894504,2.2331754701017767,0.5935118842392675,0.14054814993803796,toeholds
pre_15_90549|0.239314912,59.0,30.624995960060478,985.0,5.028038586975138,0.33333333333333337,1.6432882442042782,126.43575443678897,127.52105978878615,15.43384572819895,21.322702616636505,30.624995960060478,48.39936779724712,979.9719614130248,16261.620689655172,27.076665180610618,13.538332590305309,2.142978888759135,0.6732669291136034,0.13403029959692003,toeholds
pre_16_90550|0.428000027,59.0,23.71124169317504,1185.0,6.573841113293986,0.33333333333333337,1.7171568536466242,151.42654985173507,152.7263724036756,13.205650263949419,16.512447449420428,23.71124169317504,53.601337833774636,1178.426158886706,23325.344827586207,37.08889038435421,18.544445192177104,2.5665516924022893,0.6991262432125065,0.30298362834842113,toeholds
pre_17_90551|0.829363747,59.0,39.553791876963196,1107.0,4.964887551937338,0.33333333333333337,1.6597749968398607,139.7855500400524,140.98544801405617,19.015575180367613,26.269556817079234,39.553791876963196,45.55081883367248,1102.0351124480626,19876.896551724138,19.281262016593246,9.640631008296623,2.369246610848346,0.41734374084012826,0.12549117098722384,toeholds
pre_18_90552|1.0,58.99999999999999,32.29811906722959,1023.0,11.919167495960588,0.33333333333333337,1.6064059984142276,130.07690033207282,131.19346072854026,17.099912639474212,26.32548961743766,32.29811906722959,44.90930517350134,1011.0808325040394,17211.724137931033,18.583815556063676,9.291907778031838,2.204693225967336,0.6158329618388032,0.14401075373697134,toeholds
pre_19_90553|0.37143557899999996,59.00000000000003,44.05568396795647,901.0,3.7769649709732818,0.3333333333333332,1.526534559309434,112.88046775239727,113.84941657809412,20.025830754961547,27.073107785450162,44.05568396795647,59.18770114824325,897.2230350290267,12961.689655172413,32.11459336279309,16.057296681396544,1.9132282669897833,0.3971718844616371,0.3210719141981408,toeholds
pre_20_90554|0.140591931,59.000000000000014,26.997658550978258,979.0,3.636558289380631,0.33333333333333326,1.6308473775473569,124.83589227461789,125.90746465230889,15.480014206249091,16.70739414322839,26.997658550978258,66.318489775602,975.3634417106193,15852.689655172413,49.61109563237361,24.805547816186806,2.1158625809257265,0.7690658719838844,0.30444565007093655,toeholds
pre_21_90555|0.925484902,59.000000000000014,34.15976605056282,935.0,11.196349934470748,0.33333333333333326,1.5653815255495476,119.04620951546504,120.06808413390382,17.99355424387705,25.400454557523823,34.15976605056282,59.44606186966641,923.8036500655293,14416.344827586207,34.045607312142586,17.022803656071293,2.0177323646688983,0.6259813071883716,0.24336750162553045,toeholds
pre_22_90556|0.082498535,58.99999999999999,29.566013313285517,927.0,1.1580635513094717,0.33333333333333337,1.5762575665362373,117.38824472663352,118.39588762662558,21.417989329480008,25.18618535831273,29.566013313285517,65.37386114213157,925.8419364486905,14017.586206896553,40.18767578381885,20.093837891909423,1.9896312665531106,0.7522214874732608,0.30131175625695206,toeholds
pre_23_90557|0.038923531000000004,58.999999999999986,44.13556887843229,885.0,11.427093695937312,0.3333333333333334,1.5436479922823967,111.93748255164576,112.89833693530929,16.00827892069038,21.60779368403243,44.13556887843229,65.9883490300679,873.5729063040627,12746.034482758621,44.380555346035464,22.190277673017732,1.897245466977047,0.3983767755731743,0.3197312116261483,toeholds
pre_24_90558|0.177833894,59.0,37.4947117043555,893.0,2.9553005450864447,0.33333333333333337,1.5602134066704068,114.44649404852906,115.42888540658659,19.391366735026924,26.607823256138797,37.4947117043555,50.0498918634907,890.0446994549136,13323.827586206897,23.442068607351903,11.721034303675951,1.9397710855682893,0.5637207624689372,0.1352447096100947,toeholds
pre_25_90559|0.989047983,59.00000000000001,35.602003677753856,1071.0,10.705847802191066,0.3333333333333333,1.6195102692416168,135.18875692896953,136.3491967276517,20.10664075169842,21.739624571749033,35.602003677753856,57.81931992526827,1060.294152197809,18591.103448275862,36.079695353519234,18.039847676759617,2.291334863202873,0.519229487431559,0.2699701600501301,toeholds
pre_26_90560|0.963898258,58.99999999999998,30.349097874656728,1041.0,6.745216420210897,0.3333333333333335,1.656410983973664,131.74976280813564,132.88068280253893,15.123385339201597,23.526687080842425,30.349097874656728,65.4294962616022,1034.254783579789,17657.275862068964,41.902809180759775,20.951404590379887,2.233046827256537,0.6523936327779264,0.2779821196906101,toeholds
pre_27_90561|0.204222354,58.999999999999986,45.370891383845,919.0,6.343505791737641,0.3333333333333334,1.5554137266476746,115.15207336387824,116.14052130783283,18.328850547473053,24.412650245292298,45.370891383845,57.36266573299893,912.6564942082623,13488.620689655172,32.95001548770663,16.475007743853315,1.9517300570148859,0.35507242426510055,0.2590442393191452,toeholds
pre_28_90562|0.488373158,58.99999999999999,37.20519377350624,933.0,10.018847923459008,0.33333333333333337,1.5842792253873788,118.38074167701434,119.39690402039398,16.620856700772666,17.892862405513377,37.20519377350624,63.167319104584436,922.981152076541,14255.620689655172,45.27445669907106,22.63722834953553,2.006453248762955,0.5523231038531056,0.27843689638327335,toeholds
pre_29_90563|1.0,59.000000000000014,34.698419582573344,969.0,6.50266545567497,0.33333333333333326,1.5893623738880565,122.58058573852549,123.63279890675145,24.555977076027297,28.068948859083417,34.698419582573344,52.27613184683602,962.497334544325,15285.068965517241,24.207182987752606,12.103591493876303,2.0776370464156857,0.5947494932663469,0.20144398392871624,toeholds
pre_30_90564|0.48587412799999996,59.0,37.065034171643816,975.0,7.651722391677453,0.33333333333333337,1.578733716145045,123.82245353731285,124.88532671049153,15.962184091773901,23.255117072149343,37.065034171643816,56.00055910429463,967.3482776083225,15596.344827586207,32.74544203214529,16.372721016072646,2.098685653174794,0.5314455949238545,0.26563822098674955,toeholds
pre_31_90565|0.333333333,58.999999999999986,37.94086485335459,921.0,3.231395368728012,0.3333333333333334,1.5452254740439344,116.06032913963323,117.05657341350098,20.918390970255224,25.856087816388793,37.94086485335459,53.90779064642249,917.768604631272,13702.241379310344,28.051702830033697,14.025851415016849,1.9671242227056485,0.5443497007830029,0.19378629047224433,toeholds
pre_32_90566|0.515973499,58.999999999999986,39.76921139820491,933.0,5.192675497391688,0.3333333333333334,1.5867678329013406,118.02542099056457,119.0385333150283,14.740386751883738,19.71699660800062,39.76921139820491,69.10247051110912,927.8073245026084,14170.172413793103,49.3854739031085,24.69273695155425,2.000430864246858,0.4888130482499816,0.3076284191222721,toeholds
pre_33_90567|1.0,58.999999999999986,31.45194942648473,1103.0,6.354924543669508,0.3333333333333334,1.638895137621747,139.11146609823362,140.30557783785287,20.564009710520995,24.10593844533878,31.45194942648473,59.5734522089923,1096.6450754563305,19685.655172413793,35.46751376365352,17.73375688182676,2.357821459292096,0.5940858366210199,0.2766601530134988,toeholds
