nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,label
pre_0_ACP_1,2.5555555555555554,7.111111111111112,0.2563602088650885,22.0,2.0,5.98970309864158,1.6388888888888888,0.39166666666666666,0.4375,32.0,34.0,61.0,0.2620635511609729,0.6243484910151577,0.5643075370580332,2.687500000000001,0.8888888888888888,3.0,2.4444444444444446,1.84375,0.26206355116097296,12.0,4.5555555555555545,2.0,7.111111111111112,9.0,28.428571428571427,2.952380952380952,0.35592780158421017,10.0,1.0,1.9389783877621272,3.842857142857143,0.07166666666666667,0.0625,31.0,46.0,95.0,0.15751734964587813,0.2748777473910404,0.5113467261904762,1.3225806451612903,0.14761904761904762,10.0,7.904761904761905,26.03225806451614,0.15751734964587816,8.0,3.476190476190477,5.0,2.952380952380952,21.0,86.55555555555556,2.2222222222222223,0.2259282567652613,6.0,1.0,0.9558139185602919,7.6581196581196584,0.0,0.0,30.0,36.0,49.0,0.08048883886518701,0.13811028168257208,0.522119341563786,1.1333333333333333,0.08547008547008547,22.0,16.444444444444443,89.59999999999998,0.10270565490204464,6.0,3.0740740740740744,11.0,2.2222222222222223,27.0,Predicted
pre_1_ACP_2,6.666666666666667,2.6666666666666665,0.2067510548523208,7.0,1.0,1.699673171197595,2.6666666666666665,0.0,0.0,12.0,12.0,14.0,0.3073157935850533,0.3921577975567789,0.5866666666666667,1.1666666666666667,0.3333333333333333,6.0,4.777777777777777,8.0,0.3073157935850532,5.0,3.0,3.0,2.6666666666666665,9.0,18.333333333333332,1.8333333333333333,-0.1000000000000086,2.0,1.0,0.3726779962499649,4.333333333333333,0.0,0.0,11.0,10.0,9.0,0.34567624210661474,0.2415326510721248,0.5833333333333334,1.0,0.16666666666666666,11.0,8.5,26.0,0.34567624210661463,2.0,2.833333333333333,6.0,1.8333333333333333,12.0,15.0,1.8181818181818181,-0.11111111111110837,2.0,1.0,0.38569460791993504,4.0,0.0,0.0,10.0,9.0,8.0,0.7029087842179811,0.26163358208418996,0.5909090909090909,1.0,0.18181818181818182,10.0,7.7272727272727275,22.0,0.6785524464727597,2.0,2.818181818181818,5.0,1.8181818181818181,11.0,Predicted
pre_2_ACP_3,3.888888888888889,3.3333333333333335,0.05234657039711286,6.0,2.0,1.5634719199411433,1.9722222222222223,0.4416666666666667,0.2857142857142857,15.0,17.0,28.0,0.3644582477219977,0.5218265394735984,0.6585185185185184,1.1333333333333335,0.4166666666666667,3.0,2.7777777777777772,4.733333333333333,0.3644582477219978,5.0,3.4444444444444446,2.0,3.3333333333333335,9.0,30.333333333333332,1.8666666666666665,-0.07692307692308001,2.0,1.0,0.339934634239519,5.333333333333333,0.0,0.0,14.0,13.0,12.0,0.6835702589012862,0.1962830907733018,0.5666666666666668,1.0,0.13333333333333333,14.0,10.733333333333333,40.0,0.6703099172125815,2.0,2.8666666666666663,7.0,1.8666666666666665,15.0,26.0,1.857142857142857,-0.08333333333333073,2.0,1.0,0.3499271061118826,5.0,0.0,0.0,13.0,12.0,11.0,0.34167043691091525,0.209358053668457,0.5714285714285715,1.0,0.14285714285714285,13.0,10.0,35.0,0.6833363826241915,2.0,2.8571428571428563,7.0,1.857142857142857,14.0,Predicted
pre_3_ACP_4,4.222222222222221,3.3333333333333335,0.05234657039711286,6.0,2.0,1.5634719199411433,2.0555555555555554,0.3333333333333333,0.3,15.0,16.0,22.0,0.37046593625026486,0.496221280535006,0.6609555555555556,1.2666666666666666,0.4166666666666667,4.0,3.2222222222222228,4.933333333333333,0.37046593625026497,5.0,3.4444444444444446,3.0,3.3333333333333335,9.0,30.333333333333336,1.8666666666666665,-0.07692307692308001,2.0,1.0,0.339934634239519,5.333333333333333,0.0,0.0,14.0,13.0,12.0,0.3351559661417232,0.1962830907733018,0.5666666666666668,1.0,0.13333333333333333,14.0,10.733333333333333,40.0,0.670311301632465,2.0,2.8666666666666663,7.0,1.8666666666666665,15.0,26.000000000000004,1.857142857142857,-0.08333333333333073,2.0,1.0,0.3499271061118826,5.0,0.0,0.0,13.0,12.0,11.0,0.6833383727660922,0.209358053668457,0.5714285714285715,1.0,0.14285714285714285,13.0,10.0,35.0,0.3416704369109153,2.0,2.8571428571428563,7.0,1.857142857142857,14.0,Predicted
pre_4_ACP_5,4.222222222222221,3.3333333333333335,0.05234657039711286,6.0,2.0,1.5634719199411433,2.0555555555555554,0.3333333333333333,0.3,15.0,16.0,22.0,0.3704659362502649,0.496221280535006,0.6609555555555556,1.2666666666666666,0.4166666666666667,4.0,3.2222222222222228,4.933333333333334,0.37046593625026514,5.0,3.4444444444444446,3.0,3.3333333333333335,9.0,18.0,2.0,0.0,2.0,2.0,0.0,3.769230769230769,0.0,0.0,14.0,14.0,14.0,0.9999969220296082,0.2653061224489796,0.5,1.0,0.15384615384615385,7.0,7.0,24.5,0.4999999999999999,2.0,3.0,7.0,2.0,14.0,25.999999999999996,1.857142857142857,-0.08333333333333073,2.0,1.0,0.3499271061118826,5.0,0.0,0.0,13.0,12.0,11.0,0.6833380697921848,0.20935805366845694,0.5714285714285715,1.0,0.14285714285714285,13.0,10.0,35.0,0.341670436910915,2.0,2.8571428571428568,7.0,1.857142857142857,14.0,Predicted
pre_5_ACP_6,3.7777777777777777,3.3333333333333335,0.02922755741127385,6.0,2.0,1.4142135623730951,1.9444444444444444,0.24074074074074073,0.2608695652173913,15.0,19.0,29.0,0.5243734999855255,0.5271965316340962,0.5370061728395061,1.2666666666666668,0.4166666666666667,4.0,3.0,4.666666666666667,0.5243734999855257,6.0,3.666666666666666,2.0,3.3333333333333335,9.0,19.923076923076923,2.1538461538461537,0.33333333333333304,4.0,1.0,0.8634593969478327,4.32051282051282,0.1515151515151515,0.2,14.0,13.0,13.0,0.28864144578821993,0.24173194867622907,0.6394230769230769,1.142857142857143,0.1794871794871795,11.0,8.538461538461538,24.071428571428573,0.28864144578822004,4.0,2.9999999999999996,6.0,2.1538461538461537,13.0,18.692307692307693,2.0,-0.08333333333333276,4.0,1.0,0.6793662204867574,4.115384615384615,0.19696969696969696,0.1875,13.0,14.0,16.0,0.3235398894755996,0.25336886772449485,0.639423076923077,1.0,0.16666666666666666,10.0,7.9230769230769225,24.692307692307697,0.3235398894755994,4.0,2.9999999999999996,5.0,2.0,13.0,Predicted
pre_6_ACP_7,4.5,3.1999999999999997,-0.3807982740021575,7.0,2.0,1.661324772583615,2.0,0.20666666666666664,0.10344827586206896,16.0,27.0,49.0,0.5150694709369709,0.509650937297996,0.5292755102040816,1.2500000000000002,0.35555555555555557,4.0,3.3000000000000003,5.625,0.5150694709369712,7.0,3.5999999999999996,3.0,3.1999999999999997,10.0,22.142857142857142,2.1428571428571432,0.34466019417475713,4.0,1.0,0.8329931278350431,4.406593406593407,0.0,0.0,15.0,16.0,18.0,0.14974654782630248,0.2369320407933715,0.5535714285714285,1.1333333333333335,0.16483516483516483,11.0,8.642857142857144,26.733333333333334,0.2994925319002209,4.0,2.9999999999999996,6.0,2.1428571428571432,14.0,21.0,2.0,-0.07692307692307887,4.0,1.0,0.6546536707079771,4.230769230769231,0.0,0.0,14.0,17.0,21.0,0.3766978910441053,0.2468367416019729,0.5535714285714286,1.0,0.15384615384615385,10.0,8.071428571428571,27.5,0.31320442747389204,4.0,3.0,5.0,2.0,14.0,Predicted
pre_7_ACP_8,4.799999999999999,3.2,-0.07674144037780402,7.0,2.0,1.5362291495737217,2.066666666666667,0.27999999999999997,0.21428571428571427,16.0,24.0,41.0,0.46123795640660803,0.4947787183875486,0.5890731292517006,1.1250000000000002,0.35555555555555557,4.0,3.4000000000000004,5.812499999999999,0.46123795640660764,7.0,3.5999999999999996,3.0,3.2,10.0,17.800000000000004,2.0,-0.07142857142857313,4.0,1.0,0.6324555320336759,3.5428571428571427,0.0,0.0,15.0,18.0,25.0,0.4210410787082441,0.2956154663451092,0.55,1.0,0.14285714285714285,8.0,6.133333333333334,24.8,0.35175284836231124,4.0,2.9999999999999996,4.0,2.0,15.0,30.333333333333336,1.8666666666666665,-0.07692307692308001,2.0,1.0,0.33993463423951903,5.333333333333333,0.0,0.0,14.0,13.0,12.0,0.6835714310411557,0.19628309077330178,0.5666666666666668,1.0,0.13333333333333333,14.0,10.733333333333333,40.0,0.670314219249174,2.0,2.8666666666666663,7.0,1.8666666666666665,15.0,Predicted
pre_8_ACP_9,4.764705882352942,11.294117647058826,-0.0051783986797932155,26.0,2.0,6.883609739445046,1.5955882352941178,0.6577011224070048,0.5769230769230769,96.0,272.0,998.0,0.400930474657993,0.6413893685452174,0.3776600492519292,2.041666666666667,0.7058823529411765,3.0,2.235294117647059,2.260416666666667,0.4009304746579926,24.0,7.9411764705882355,2.0,11.294117647058826,17.0,181.9873417721519,2.4050632911392413,-0.059057730590577645,8.0,1.0,1.085216974650775,5.666342096721843,0.017094017094017092,0.01764705882352941,95.0,168.0,383.0,0.0861498639854668,0.18000834767858462,0.4709585970464136,1.021052631578947,0.03083414475819539,11.0,9.68354430379747,183.76842105263154,0.08614986398546862,8.0,3.379746835443038,8.0,2.4050632911392413,79.0,956.4574468085107,2.0,-0.010752688172045633,4.0,1.0,0.25264557631995566,21.568977350720658,0.0,0.0,94.0,97.0,104.0,0.06875655441477377,0.04901579683958347,0.5079787234042553,1.0,0.021505376344086023,60.0,46.89361702127659,1002.957446808511,0.06875656212434936,4.0,3.0,30.0,2.0,94.0,Predicted
pre_9_ACP_10,0.6000000000000001,4.8,-0.2573753814852502,9.0,2.0,2.7856776554368237,1.3,0.7666666666666666,0.6428571428571429,12.0,8.0,5.0,0.5988615852666928,0.7866666666666666,0.9608630952380952,2.833333333333333,1.2,2.0,1.8,1.0833333333333333,0.5988615852666925,9.0,3.8,1.0,4.8,5.0,2.875,2.75,-0.22222222222222215,6.0,2.0,1.3919410907075054,1.8214285714285714,0.44166666666666665,0.3157894736842105,11.0,15.0,22.0,0.5071126233570697,0.5628253690753691,0.6582031250000001,1.1818181818181819,0.39285714285714285,3.0,2.625,4.636363636363636,0.5071126233570697,6.0,3.5,2.0,2.75,8.0,7.6,2.0,-0.05263157894736744,3.0,1.0,0.4472135954999579,2.688888888888889,0.0,0.0,10.0,11.0,13.0,0.41563251746586616,0.37994963693819533,0.5333333333333333,1.0,0.2222222222222222,6.0,4.7,12.1,0.5924797797524404,3.0,3.0,4.0,2.0,10.0,Predicted
