nameseq,Integer_Fourier_1,Integer_Fourier_2,Integer_Fourier_3,Integer_Fourier_4,Integer_Fourier_5,Integer_Fourier_6,Integer_Fourier_7,Integer_Fourier_8,Integer_Fourier_9,Integer_Fourier_10,Integer_Fourier_11,Integer_Fourier_12,Integer_Fourier_13,Integer_Fourier_14,Integer_Fourier_15,Integer_Fourier_16,Integer_Fourier_17,Integer_Fourier_18,Integer_Fourier_19,label
pre_0_ACP_1,3655.999999999999,566.6981600448754,77284.0,51.38682787568982,0.0030087527352297,0.2926050539831137,13138.504937777358,13342.214836750309,151.896725224171,172.01398471706617,566.6981600448754,1727.7215255514386,77232.61317212431,178014696.75,1555.7075408343724,777.8537704171862,3.593682969851576,0.7054003148575309,0.1501145179407059,Predicted
pre_1_ACP_2,1391.0,256.8919086086911,15625.0,4.339006168275668,0.0031152647975077,0.2049995219450084,4112.039639886756,4279.94655340461,21.579691987042292,25.88986344173396,256.8919086086911,375.5776702020474,15620.660993831723,18317942.5,349.68780676031344,174.84390338015672,2.956175154483649,0.8274055145702888,0.4103115979691806,Predicted
pre_2_ACP_3,2612.0,426.482589322392,34596.0,120.28722984029224,0.0020418580908626,0.1716304876307951,8263.2988569941,8534.29836209945,171.02178158588282,252.08712634353128,426.482589322392,739.7127701597078,34475.712770159706,72834248.53333333,487.6256438161765,243.81282190808827,3.1635906803193343,0.7934545688715255,0.2855431266527174,Predicted
pre_3_ACP_4,2612.0,435.863416240903,34596.0,82.8313857175765,0.0020418580908626,0.1729353705185931,8263.862293141143,8534.880276449889,149.98032207061183,167.92128828244736,435.863416240903,796.6961257509364,34513.168614282426,72844181.33333333,628.7748374684891,314.38741873424453,3.1638063909422445,0.789994982938638,0.3704846013395905,Predicted
pre_4_ACP_5,2645.0,154.4704026250865,34969.0,15.5786437626905,0.0020163831127914,0.1871859870960569,8368.246172287238,8642.687483261981,47.0,113.0,154.4704026250865,1101.6655800780652,34953.42135623731,74696046.93333334,988.6655800780652,494.3327900390326,3.163798174777784,0.892850023565043,0.2704366042214231,Predicted
pre_5_ACP_6,2291.0,363.38001319901696,30625.0,230.8578643762691,0.002327949949076,0.1821429970073351,7318.175592318074,7558.179251645201,259.142135623731,260.70612935657607,363.38001319901696,481.7303056100878,30394.14213562373,57126073.6,221.0241762535117,110.51208812675586,3.1943149682750214,0.7902051388973567,0.1872190737633895,Predicted
pre_6_ACP_7,1952.0,381.3178792097093,26896.0,50.16671842244701,0.0029030054644808,0.2087785492552702,6241.795254572197,6433.895282020061,141.64116725854512,293.9533858728892,381.3178792097093,461.9516218879028,26845.833281577557,41395008.5,167.99823601501362,83.99911800750681,3.1976410115636256,0.7549184441638384,0.0902820865302489,Predicted
pre_7_ACP_8,2542.999999999999,233.36015937468676,36481.0,55.86351693496905,0.0022283392318783,0.1999700513241715,8496.175963337859,8757.657727668968,112.5741614732803,187.43121815529895,233.36015937468676,752.131662499012,36425.13648306504,76696568.875,564.700444343713,282.3502221718565,3.341005097655471,0.8155339004012108,0.1980863358149742,Predicted
pre_8_ACP_9,10452.000000000004,2242.201474118609,672400.0,59.66315628135382,0.0030935068248501,0.5348687097008398,67655.18963095146,68006.64752648573,586.0558470476376,1034.413214804689,2242.201474118609,5379.003783107812,672340.3368437187,4624904107.791667,4344.590568303122,2172.295284151561,6.472941985357005,0.3640429612568336,0.2721316200545222,Predicted
pre_9_ACP_10,1736.0,317.87593739575505,19044.0,84.96208848302629,0.0024961597542242,0.1702914583512811,5000.366786546763,5204.546762207061,102.34041756369209,106.68499983385853,317.87593739575505,421.5529541761528,18959.03791151697,27087307.0,314.8679543422943,157.43397717114715,2.880395614370255,0.8508120242816807,0.269417520973557,Predicted
