nameseq,Length,MW_Global,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,label
pre_0_ACP_1,33.0,3180.71,3.988,0.0012538081120253026,10.68359375,7.272727272727273,0.030303030303030304,95.15151515151516,0.2318181818181816,0.5151515151515151,Predicted
pre_1_ACP_2,13.0,1445.75,0.989,0.0006840740100293965,9.83984375,20.47692307692308,0.07692307692307693,157.69230769230768,-0.02307692307692313,0.5384615384615384,Predicted
pre_2_ACP_3,16.0,1614.98,1.989,0.0012315941993089699,10.708984375,-13.650000000000002,0.0625,158.125,-1.0118749999999999,0.5625,Predicted
pre_3_ACP_4,16.0,1614.98,1.989,0.0012315941993089699,10.708984375,-5.9375,0.0625,158.125,-1.0118749999999999,0.5625,Predicted
pre_4_ACP_5,16.0,1629.01,1.989,0.0012209869798221007,10.708984375,-5.9375,0.0625,158.125,-1.0637499999999998,0.5625,Predicted
pre_5_ACP_6,16.0,1629.01,1.989,0.0012209869798221007,10.708984375,11.78125,0.0625,164.375,-1.066875,0.5625,Predicted
pre_6_ACP_7,17.0,1738.09,2.031,0.0011685240695245933,10.708984375,30.835294117647056,0.058823529411764705,143.52941176470588,-0.5988235294117645,0.5294117647058824,Predicted
pre_7_ACP_8,17.0,1796.17,2.031,0.0011307392952782866,10.708984375,37.17058823529412,0.058823529411764705,154.70588235294116,-0.4747058823529411,0.5294117647058824,Predicted
pre_8_ACP_9,97.0,10586.720000000001,2.95,0.00027865098916378254,8.240478515625,16.77731958762886,0.09278350515463918,50.41237113402061,2.4408247422680405,0.35051546391752575,Predicted
pre_9_ACP_10,13.0,1264.32,1.157,0.0009151164262212099,12.25,-22.676923076923075,0.0,44.61538461538461,1.1384615384615386,0.15384615384615385,Predicted
