nameseq,k1,k2,k3,k4,k5,label
pre_0_ACP_1,2.7694457007625704,4.176108500731241,4.6717805845106355,4.773557262275186,4.789015477886192,Predicted
pre_1_ACP_2,2.9312089489103235,3.584962500721156,3.459431618637298,3.321928094887362,3.169925001442312,Predicted
pre_2_ACP_3,2.98345859334435,3.906890595608518,3.8073549220576055,3.7004397181410926,3.584962500721156,Predicted
pre_3_ACP_4,2.98345859334435,3.906890595608518,3.8073549220576055,3.7004397181410926,3.584962500721156,Predicted
pre_4_ACP_5,2.98345859334435,3.773557262275185,3.8073549220576055,3.7004397181410926,3.584962500721156,Predicted
pre_5_ACP_6,3.0306390622295662,3.640223928941852,3.6644977792004623,3.7004397181410926,3.584962500721156,Predicted
pre_6_ACP_7,3.1018812234760182,3.75,3.773557262275185,3.8073549220576055,3.7004397181410926,Predicted
pre_7_ACP_8,3.146286370662105,3.875,3.906890595608518,3.8073549220576055,3.7004397181410926,Predicted
pre_8_ACP_9,3.7945924735031396,6.194235677759421,6.548802976752,6.554588851677623,6.539158811108037,Predicted
pre_9_ACP_10,2.038159681645953,2.751629167387823,3.2776134368191165,3.321928094887362,3.169925001442312,Predicted
