Feature	Importance
A_CGC	0.669280
G_TCG	0.049000
C_GAA	0.037598
fnone_levated_peak	0.034054
G_TTC	0.018710
faverage	0.011728
G_TAG	0.011226
G_CGA	0.010032
A_TCT	0.009950
T_TAT	0.009096
T_TGA	0.007353
T_GAG	0.006394
G_ATG	0.005988
G_GGT	0.005720
G_TCC	0.004840
C_CAG	0.004704
G_TGA	0.004399
T	0.003899
C_AGA	0.003832
A_AAA	0.003758
A_TAT	0.003592
minimum_ORF_length	0.003575
fmedian	0.003567
T_TTG	0.003565
fcoefficient_of_variation	0.003525
T_GAT	0.003150
A_GTT	0.003104
G_GGA	0.003046
C_CCC	0.003039
A_CTC	0.002751
G_GAG	0.002589
A_GCG	0.002288
G_TAT	0.002115
A_TCG	0.002005
T_GTA	0.001918
T_GAA	0.001830
A_TAG	0.001769
G	0.001674
C_TTT	0.001574
G_GAC	0.001520
k-tsallis12.3	0.001493
k-tsallis22.3	0.001486
T_CCG	0.001394
A_TTT	0.001356
k-tsallis52.3	0.001315
A_TCC	0.001314
cv_ORF_length	0.001301
T_CAC	0.001288
A_TTC	0.001166
G_TCA	0.001083
G_GCA	0.001081
T_TGC	0.001075
G_TTA	0.001034
T_TTA	0.001005
C_TGG	0.000908
A_TGC	0.000907
fpercentile25	0.000815
C_AGT	0.000740
A_GTC	0.000708
G_ACT	0.000691
T_GGA	0.000577
C_AAC	0.000564
C	0.000545
k-tsallis42.3	0.000542
fskewness	0.000538
G_TTG	0.000537
k-tsallis32.3	0.000517
C_CGG	0.000513
G_CGT	0.000512
A	0.000484
G_TGC	0.000446
fpercentile75	0.000420
finterquartile_range	0.000420
G_TCT	0.000388
C_CAC	0.000377
T_ATT	0.000351
A_ATC	0.000345
C_CGA	0.000340
G_ATC	0.000333
C_GTG	0.000328
C_TAT	0.000319
T_TTT	0.000316
G_GAA	0.000311
C_TCA	0.000304
T_GCT	0.000295
C_CCT	0.000294
G_AGA	0.000288
T_ATC	0.000287
G_TAC	0.000246
A_GGT	0.000182
T_CCC	0.000175
C_TTA	0.000160
T_CGA	0.000154
G_CTT	0.000147
A_AAC	0.000145
fickett_score-full-sequence	0.000136
A_GCC	0.000133
G_ACG	0.000111
T_TCT	0.000107
G_AGG	0.000098
A_ACT	0.000090
