nameseq,k1,k2,k3,k4,k5,label
pre_0_U00096.3/3982510-3982582,1.9714855708599561,3.8378926702904477,5.258420182671661,5.900711588373542,6.050553442285411,Predicted
pre_1_U00096.3/225500-225572,1.9438248388046238,3.719226381392068,5.218212394329783,5.889927481199779,6.021567935039033,Predicted
pre_2_U00096.3/225381-225454,1.970622280750471,3.8031633550867374,5.244519578066055,5.857424760319278,5.9864258740878284,Predicted
pre_3_U00096.3/262871-262943,1.992068984427444,3.8381173579317953,5.314758210840675,5.9864258740878284,6.079538949531787,Predicted
pre_4_U00096.3/3982375-3982448,1.904272937405039,3.660218869221145,5.1416041678685955,5.857424760319276,6.100711588373543,Predicted
pre_5_U00096.3/2947387-2947460,1.9221456479780858,3.7113878759815497,5.183542362433232,5.885593774403782,6.043568731230686,Predicted
pre_6_U00096.3/297178-297251,1.9804057923518918,3.8293766164211003,5.129732598809243,5.783549936406086,6.043568731230686,Predicted
pre_7_U00096.3/696740-696667,1.9984464470393264,3.8978213071382184,5.301462154039803,5.952564020913128,6.072140159802115,Predicted
pre_8_U00096.3/925971-925887,1.9529076210843859,3.8335180618271774,5.293730925782415,6.104443620445361,6.281147688043091,Predicted
pre_9_U00096.3/2785837-2785765,1.98560064653985,3.827408121649288,5.258420182671665,5.83278462405692,6.050553442285411,Predicted
