Suburb,Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize
Kew,2,u,820000.0,5.6,2.0,1.0,2.0,0.0
Essendon,3,h,1240000.0,8.0,3.0,2.0,2.0,307.0
Port Melbourne,6,h,1800000.0,3.8,6.0,4.0,2.0,353.0
Altona North,3,h,781000.0,11.1,3.0,1.0,2.0,533.0
South Yarra,2,h,1200000.0,3.3,2.0,1.0,1.0,163.0
Doncaster,4,h,1300000.0,13.9,4.0,2.0,2.0,872.0
Northcote,3,h,980000.0,5.5,3.0,1.0,0.0,279.0
Maribyrnong,2,u,495000.0,8.7,2.0,2.0,2.0,37000.0
Malvern,2,t,1000000.0,7.4,2.0,2.0,1.0,156.0
Coburg North,4,h,850000.0,6.7,4.0,2.0,2.0,300.0
Footscray,2,u,310000.0,6.4,2.0,1.0,1.0,0.0
Newport,4,t,930000.0,8.4,4.0,3.0,3.0,278.0
St Kilda,2,u,550000.0,6.1,2.0,1.0,1.0,1357.0
Footscray,2,t,410000.0,6.4,2.0,2.0,1.0,65.0
Heidelberg West,4,h,820000.0,9.4,4.0,2.0,2.0,608.0
Caulfield South,2,h,1065000.0,9.3,2.0,1.0,1.0,273.0
Malvern East,4,t,1240000.0,11.2,4.0,2.0,2.0,310.0
Northcote,4,h,1300000.0,5.5,4.0,3.0,2.0,187.0
Box Hill,3,h,1500000.0,13.1,3.0,1.0,2.0,664.0
Bentleigh East,3,u,830000.0,13.9,3.0,2.0,2.0,395.0
Brighton,4,h,2000000.0,11.2,4.0,2.0,2.0,471.0
Brighton,2,t,1055000.0,11.2,2.0,1.0,2.0,211.0
Fawkner,3,h,700000.0,13.1,3.0,1.0,4.0,658.0
Abbotsford,2,h,1035000.0,2.5,2.0,1.0,0.0,156.0
Ringwood East,2,u,609000.0,21.3,2.0,1.0,2.0,190.0
Pascoe Vale,1,u,248500.0,9.9,1.0,1.0,1.0,49.0
Brighton East,5,h,1700000.0,10.7,4.0,2.0,1.0,994.0
Richmond,3,h,1422000.0,2.6,3.0,1.0,0.0,339.0
Maidstone,3,t,810000.0,6.4,3.0,2.0,2.0,209.0
Williamstown,3,h,960000.0,8.0,3.0,2.0,1.0,189.0
Bulleen,3,h,1340000.0,11.8,2.0,1.0,2.0,775.0
Clifton Hill,2,h,880000.0,3.4,2.0,1.0,0.0,100.0
Sunshine,3,h,700000.0,10.5,3.0,2.0,1.0,485.0
Lalor,3,h,596000.0,16.3,3.0,1.0,2.0,570.0
Carnegie,3,h,1420000.0,11.4,3.0,2.0,2.0,554.0
Eltham,2,u,566000.0,18.0,2.0,1.0,1.0,845.0
Bentleigh East,3,h,1106000.0,13.9,3.0,1.0,2.0,584.0
Hawthorn,4,h,2900000.0,5.3,4.0,1.0,3.0,636.0
Camberwell,2,u,435000.0,7.8,2.0,1.0,1.0,896.0
Heidelberg West,3,h,710000.0,9.4,3.0,2.0,4.0,1.0
Essendon,3,h,1695000.0,8.0,3.0,1.0,3.0,855.0
Preston,2,h,942000.0,8.8,2.0,2.0,0.0,3037.0
