nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
NZ_CP072646.1/111049-111165,234.00000000000023,168.20187026607186,1200.1600224354731,3.6477672748507746,0.1666666666666665,2.8800585922168223,227.36754385795697,228.34547329083136,35.602708815483005,65.54872372039887,168.20187026607186,322.87352132380147,1196.5122551606223,52141.65517241378,257.3247976034026,128.6623988017013,0.9716561703331486,0.868173116762448,0.23699156138258562,rRNA
NZ_CP072646.1/106357-107858,3004.0,2017.610845726822,31070.307345185458,1.1545191165869115,0.16666666666666669,10.384941269277103,3225.228053952153,3226.3022348491977,454.6914266878074,836.7075296512688,2017.610845726822,3963.925462456536,31069.152826068872,10409026.110592928,3127.217932805267,1563.6089664026335,1.0736444919947248,0.9175064253808063,0.23471468571755338,rRNA
NZ_CP072646.1/106362-107856,2990.0000000000005,2072.0479695613767,23997.816650898585,0.7378375089657087,0.16666666666666663,10.362029766921731,3153.2015476337697,3154.256659440992,427.4500462029607,793.0179865196744,2072.0479695613767,4081.2020445617936,23997.07881338962,9949335.073627844,3288.1840580421194,1644.0920290210597,1.0545824574025984,0.8733523847793441,0.2517192558555631,rRNA
NZ_CP072646.1/106362-107853,2983.9999999999955,2101.7009709965396,23382.365749136992,0.4263045336597074,0.1666666666666669,10.292548170399867,2996.865028659115,2997.86984512613,469.6780347618617,806.4229013050698,2101.7009709965396,4180.509407902602,23381.939444603333,8987223.608316565,3374.086506597532,1687.043253298766,1.0043113366820107,0.8832219875429848,0.2574058820432791,rRNA
NZ_CP072646.1/108120-111006,5773.999999999997,3963.8280391357107,38168.52030023112,3.4930071726503726,0.16666666666666674,14.271778718121094,5673.835387108087,5674.818294934796,959.5566013663423,1652.809981320702,3963.8280391357107,8184.8914254287665,38165.02729305847,32203562.680526663,6532.081444108065,3266.0407220540324,0.982652474386576,0.9571155157112786,0.2572072695861842,rRNA
NZ_CP072646.1/108121-111007,5773.999999999993,3967.419889006637,38583.97840616156,0.6399393965782866,0.16666666666666688,14.273600435096935,5678.004579075292,5678.9882091526715,971.8728864767697,1646.628300620589,3967.419889006637,8143.392350849902,38583.33846676498,32250907.079695072,6496.7640502293125,3248.3820251146562,0.9833745374221162,0.9545149633998208,0.2551619704763466,rRNA
NZ_CP072646.1/108263-110995,5466.000000000004,3733.304468822517,44671.63927708649,0.09800845190887776,0.16666666666666655,13.865801533224642,5332.615118307338,5333.59098346663,880.1781366372961,1588.060091594121,3733.304468822517,7661.805564982613,44671.54126863458,28447192.778916538,6073.7454733884915,3036.8727366942458,0.9755973505867791,0.9747725043360003,0.25490874715583806,rRNA
NZ_CP029463.1/451506-451397,220.0,146.04617286899241,978.2054795232432,1.8139967658480234,0.16666666666666666,2.7800727447493374,204.1959842896035,205.13052456933792,41.87675405443879,58.100322486679005,146.04617286899241,329.8799855808993,976.3914827573951,42078.53211009174,271.77966309422027,135.88983154711013,0.9281635649527432,1.086512460883486,0.28383102579605735,rRNA
NZ_CP029463.1/2898154-2899670,3034.000000000002,1992.3167210197068,30000.9606253929,0.737360028962869,0.16666666666666657,10.457999325636377,3257.751371728665,3258.825650858188,460.37003641166467,811.6122816880174,1992.3167210197068,4118.464752206984,30000.22326536394,10619944.622691292,3306.852470518966,1653.426235259483,1.0737479801346945,0.9592659108551417,0.24693975518889083,rRNA
NZ_CP029463.1/456422-454907,3032.000000000003,2023.7585812536677,36940.529741917366,8.908138498263513,0.1666666666666665,10.448639836005087,3245.908193402888,3246.979273515657,451.684250985781,782.6773895203441,2023.7585812536677,4214.184720440417,36931.6216034191,10542874.402640263,3431.5073309200725,1715.7536654600362,1.0705501957133525,0.9318576114957827,0.24655784776725032,rRNA
