nameseq,k1,k2,k3,k4,k5,label
pre_sp|A5U8S5|COAX_MYCTA,3.972827402058328,7.022928263095543,7.973111893347141,8.071462362556597,8.066089190457737,Predicted
pre_sp|Q65JY2|MURD_BACLD,4.100183390266587,7.597175330225077,8.680806239403779,8.785033493486155,8.804131021183364,Predicted
pre_sp|Q8DPJ8|RNC_STRR6,4.0020845810558,7.007339301043912,7.775924833553062,7.8304701636428,7.832890014164776,Predicted
pre_sp|Q88VH0|APT_LACPL,4.02920362566426,6.775896739968833,7.374096818490612,7.400879436282176,7.392317422778791,Predicted
pre_sp|Q92EF1|KPRS2_LISIN,4.0367781311981945,7.277410716541047,8.219683092629278,8.266786540694858,8.262094845370138,Predicted
pre_sp|Q92BJ1|DTD_LISIN,4.012568454033185,6.710615248577489,7.209453365628947,7.199672344836354,7.18982455888002,Predicted
pre_sp|Q5HG25|DAPA_STAAC,4.006391838797877,7.257250853359103,8.106019653057107,8.182975243811564,8.184875342908285,Predicted
pre_sp|Q65LE8|ARGB_BACLD,3.9644485064578894,7.058012440473984,7.921875,7.978667162349066,7.988684686772128,Predicted
pre_sp|Q92BT5|MURB_LISIN,4.038748927017746,7.212513356689615,8.130028450073754,8.188452881529955,8.199672344836317,Predicted
pre_sp|O05515|TSAE_BACSU,4.109167579348012,6.845389379382191,7.242101657950961,7.276124405274258,7.2667865406949215,Predicted
pre_sp|Q92A79|NDK_LISIN,4.067842026351453,6.826676956081021,7.152322883118405,7.169925001442332,7.159871336778397,Predicted
pre_sp|Q65I57|PANC_BACLD,4.0670617187785165,7.294340245332707,8.061969238876337,8.15481810905212,8.149747119504703,Predicted
pre_sp|Q72X78|SPEE_BACC1,4.060806599156795,7.227295975301252,8.05612710428978,8.087462841250353,8.082149041353835,Predicted
pre_sp|Q81KI4|MOBA_BACAN,4.143770754040862,7.005725751088206,7.568750559473532,7.611899535192378,7.614709844115192,Predicted
pre_sp|Q88S50|RHAM_LACPL,4.091387702078208,6.472908294173524,6.6724253419715,6.658211482751779,6.6438561897747395,Predicted
pre_sp|A2RJT9|PYRDA_LACLM,4.063916418625879,7.367327822931133,8.187320633082354,8.26029303420135,8.262094845370138,Predicted
pre_sp|Q931P6|ACKA_STAAM,4.071492914907219,7.550208454919718,8.556222610493418,8.627957413767668,8.62935662007968,Predicted
pre_sp|Q02133|HIS6_LACLA,3.992521630253549,7.119064210831275,7.924866232064865,8.0,7.994353436858871,Predicted
pre_sp|Q2FJ89|HCHA_STAA3,4.065310287068266,7.293907475435689,8.101443960697129,8.168005267275744,8.169925001442278,Predicted
pre_sp|Q7A827|HDOX2_STAAN,4.0736879554671,6.372216752715841,6.671316680978279,6.695197898618495,6.7004397181411,Predicted
pre_sp|Q81XR2|DAPF_BACAN,4.086710948954726,7.332735889962159,8.110920287827389,8.15481810905212,8.149747119504703,Predicted
pre_sp|P64180|G3P2_STAAM,4.058921927766069,7.35713787571513,8.32844529794465,8.400879436282148,8.396604781181843,Predicted
pre_sp|Q63A51|COAW_BACCZ,3.9516364206512433,7.058968548792311,7.993087238062077,8.070779118941797,8.087462841250353,Predicted
pre_sp|Q9RL97|MNME_STRAG,3.9892384768759643,7.462278799986738,8.713414208548384,8.829278447989081,8.839203788096967,Predicted
pre_sp|O31521|URHG1_BACSU,4.10986099761935,7.503929518574337,8.286990270727516,8.40189772374559,8.409390936137681,Predicted
pre_sp|Q65K78|MOBA_BACLD,4.091410847887514,6.996719285441477,7.53028087146495,7.584962500721179,7.577428828035749,Predicted
pre_sp|Q9CEN1|MURE_LACLA,4.059994565708508,7.548175932252206,8.787741550501499,8.894390595608552,8.903881845736185,Predicted
pre_sp|P94388|CAH_BACSU,4.1223771399703635,7.441520656515283,8.24048960893662,8.292858812038025,8.294620748891651,Predicted
pre_sp|Q8RPQ1|DPS1_BACAN,3.9812780648338264,6.627228904856611,7.138529779670129,7.169925001442332,7.159871336778397,Predicted
pre_sp|Q81SX4|IDI2_BACAN,4.077658787551509,7.458114016003762,8.358100209926969,8.417287187174274,8.424655450216207,Predicted
pre_sp|Q2FYG7|NDK_STAA8,4.075055551914172,6.756618568273179,7.158856018305743,7.18982455888002,7.179909090014958,Predicted
pre_sp|P45947|ARSC_BACSU,4.189787416135107,6.827691938646547,7.083433542814526,7.0874628412503275,7.076815597050856,Predicted
pre_sp|O07608|LPLJ_BACSU,4.085404379032921,7.4197884839141715,8.30723252753465,8.357552004618091,8.35314682549804,Predicted
pre_sp|Q65CR5|PURA_BACLD,4.093302307200576,7.549942857463852,8.617589533109841,8.728724578121662,8.734709620225807,Predicted
