nameseq,Integer_Fourier_1,Integer_Fourier_2,Integer_Fourier_3,Integer_Fourier_4,Integer_Fourier_5,Integer_Fourier_6,Integer_Fourier_7,Integer_Fourier_8,Integer_Fourier_9,Integer_Fourier_10,Integer_Fourier_11,Integer_Fourier_12,Integer_Fourier_13,Integer_Fourier_14,Integer_Fourier_15,Integer_Fourier_16,Integer_Fourier_17,Integer_Fourier_18,Integer_Fourier_19,label
pre_sp|A5U8S5|COAX_MYCTA,38319.00000000004,7413.597049268211,7535025.0,41.90708263665914,0.0023661021077446,0.8959185247435206,455518.8764321408,456358.54327641625,1879.2712293881712,3860.687483718246,7413.597049268211,13693.959365253504,7534983.092917363,208263120021.37268,9833.271881535258,4916.635940767629,11.887546032833333,0.2035397733204751,0.2020468752676163,Predicted
pre_sp|Q65JY2|MURD_BACLD,63090.00000000005,11046.713842905276,21233664.0,12.6770266559835,0.0023828393300575,1.2430503285983956,998118.962946802,999227.368577558,1801.8646065139276,4437.672191132461,11046.713842905276,24261.163095562733,21233651.322973344,998455334114.4312,19823.490904430277,9911.745452215137,15.820557345804428,0.1564240979956271,0.2704058463845489,Predicted
pre_sp|Q8DPJ8|RNC_STRR6,28927.000000000007,4390.242593904577,5175625.0,54.20426539724423,0.0026733962503312,0.9556114658044136,338712.72436387744,339445.0770553437,1382.80333188086,2166.445268679787,4390.242593904577,9365.06395842526,5175570.795734603,115222960337.10825,7198.618689745472,3599.309344872736,11.7092240593175,0.2173236106099372,0.2625368680953736,Predicted
pre_sp|Q88VH0|APT_LACPL,23513.000000000004,3450.68000937918,3066001.0,124.92702152699184,0.0024383674279476,0.7458188337251386,232735.6257645142,233415.1472858095,1109.2610669135006,1807.6185397615925,3450.68000937918,7395.025472034193,3065876.072978473,54482630982.45614,5587.4069322726,2793.7034661363,9.898168067218736,0.2586065617335296,0.1859802656138758,Predicted
pre_sp|Q92EF1|KPRS2_LISIN,39937.99999999996,7678.53967977582,9084196.000000002,95.53814344371555,0.0025956899861451,1.0095546497657837,513771.53310202,514599.5296635578,2211.917161173849,3501.5193014782417,7678.53967977582,15985.926843725892,9084100.46185656,264812675929.95496,12484.40754224765,6242.203771123825,12.864227880765702,0.1883685154300969,0.2648942965256573,Predicted
pre_sp|Q92BJ1|DTD_LISIN,20940.00000000001,2711.5497541928758,2421136.0,39.282669247065456,0.0023877745940783,0.7091404896655977,196689.0484139877,197347.9750450012,638.7935365567168,943.6940190749436,2711.5497541928758,8386.067137399048,2421096.717330753,38946223254.36242,7442.373118324104,3721.186559162052,9.392982254727205,0.2780294641637628,0.2719537611520066,Predicted
pre_sp|Q5HG25|DAPA_STAAC,42587.99999999996,6925.938690097895,9535744.0,117.86793243246449,0.0023089446166369,0.987119950184442,553762.1559550634,554703.12886135,1652.6347953265536,2957.103651708032,6925.938690097895,12374.500329264123,9535626.132067569,307695561168.5714,9417.396677556091,4708.698338778046,13.002774395488492,0.1931987998442925,0.1930962347286877,Predicted
pre_sp|Q65LE8|ARGB_BACLD,35352.00000000002,5973.311057974452,7160976.0,53.71804283703602,0.0024326770762615,0.9561039913379972,444527.3573021125,445391.3568681373,1898.4273570393168,2785.100581431552,5973.311057974452,11067.85589230572,7160922.281957163,198373460772.84045,8282.755310874169,4141.377655437084,12.574319905581358,0.1982691624672655,0.2807046721876356,Predicted
pre_sp|Q92BT5|MURB_LISIN,37767.0,6163.969739300253,8755681.0,30.376396669857105,0.0026301621344913,1.0975687061524066,505934.9322926813,506785.95885259233,1014.8015833908552,2301.053316614972,6163.969739300253,11819.360263035738,8755650.62360333,256832008090.14145,9518.306946420766,4759.153473210383,13.396217128516463,0.1873938420351109,0.2731203906441363,Predicted
pre_sp|O05515|TSAE_BACSU,20278.00000000002,3365.7643514025626,2446096.0,138.73999381314266,0.0025972318111582,0.7312358702279117,193656.73183754805,194272.4940650169,1094.1586214445465,1591.8717260750443,3365.7643514025626,6622.189413363731,2445957.260006187,37741801950.24204,5030.317687288686,2515.158843644343,9.550090336204155,0.2619929938110988,0.2517933182661731,Predicted
