nameseq,avg_betweenness.1-mer,avg_degree.1-mer,assortativity_degree.1-mer,maxdegree.1-mer,mindegree.1-mer,std_degree.1-mer,average_path_length.1-mer,transitivity_avglocal_undirected.1-mer,transitivity_undirected.1-mer,number_of_edges.1-mer,motifs3.1-mer,motifs4.1-mer,authority_score.1-mer,closeness.1-mer,Burts_constraint.1-mer,count_multiple.1-mer,density.1-mer,diameter.1-mer,eccentricity.1-mer,edge_betweenness.1-mer,hub_score.1-mer,maxdegreetwo.1-mer,neighborhood_size.1-mer,radius.1-mer,avg_weighted_degree.1-mer,number_vertices.1-mer,avg_betweenness.2-mer,avg_degree.2-mer,assortativity_degree.2-mer,maxdegree.2-mer,mindegree.2-mer,std_degree.2-mer,average_path_length.2-mer,transitivity_avglocal_undirected.2-mer,transitivity_undirected.2-mer,number_of_edges.2-mer,motifs3.2-mer,motifs4.2-mer,authority_score.2-mer,closeness.2-mer,Burts_constraint.2-mer,count_multiple.2-mer,density.2-mer,diameter.2-mer,eccentricity.2-mer,edge_betweenness.2-mer,hub_score.2-mer,maxdegreetwo.2-mer,neighborhood_size.2-mer,radius.2-mer,avg_weighted_degree.2-mer,number_vertices.2-mer,avg_betweenness.3-mer,avg_degree.3-mer,assortativity_degree.3-mer,maxdegree.3-mer,mindegree.3-mer,std_degree.3-mer,average_path_length.3-mer,transitivity_avglocal_undirected.3-mer,transitivity_undirected.3-mer,number_of_edges.3-mer,motifs3.3-mer,motifs4.3-mer,authority_score.3-mer,closeness.3-mer,Burts_constraint.3-mer,count_multiple.3-mer,density.3-mer,diameter.3-mer,eccentricity.3-mer,edge_betweenness.3-mer,hub_score.3-mer,maxdegreetwo.3-mer,neighborhood_size.3-mer,radius.3-mer,avg_weighted_degree.3-mer,number_vertices.3-mer,label
pre_0_U00096.3/3982510-3982582,0.0,36.0,-0.06685225998530651,44.0,26.0,7.035623639735144,1.0,1.0,1.0,72.0,4.0,1.0,0.8176081897100058,1.0,0.9553125786056013,8.916666666666668,12.0,1.0,1.0,0.08333333333333333,0.8176081897100059,32.0,4.0,1.0,36.0,4.0,6.25,8.875,0.09548670604124306,15.0,2.0,3.822221212855164,1.8333333333333333,0.369047619047619,0.2830188679245283,71.0,129.0,432.0,0.45118709744777363,0.5518333220169802,0.418502578594814,2.2957746478873235,0.5916666666666667,3.0,2.8749999999999996,3.0985915492957754,0.45118709744777347,15.0,5.75,2.0,8.875,16.0,56.023255813953504,3.2558139534883717,0.005548442168161038,8.0,1.0,1.6578638995927084,3.6677740863787376,0.05192743764172335,0.05921052631578947,70.0,146.0,408.0,0.25090291871926673,0.2783364556072614,0.43059209463824305,1.2285714285714286,0.07751937984496124,8.0,6.232558139534883,47.314285714285724,0.25090291871926673,8.0,3.883720930232559,5.0,3.2558139534883717,43.0,Predicted
pre_1_U00096.3/225500-225572,0.0,36.0,-0.07219798297689514,49.0,23.0,10.124228365658293,1.0,1.0,1.0,72.0,4.0,1.0,0.7363626657926631,1.0,0.9287658991978222,9.972222222222223,12.0,1.0,1.0,0.08333333333333334,0.736362665792663,34.0,4.0,1.0,36.0,4.0,5.333333333333333,9.466666666666667,0.04442702208284349,22.0,2.0,4.883532419149983,1.7619047619047619,0.3066666666666667,0.3333333333333333,71.0,119.0,384.0,0.41265238630111184,0.5743794396174013,0.3989161758181404,2.577464788732394,0.6761904761904762,3.0,2.6666666666666665,2.6056338028169015,0.41265238630111145,22.0,5.800000000000001,2.0,9.466666666666667,15.0,57.88372093023255,3.2558139534883725,0.19617702649691485,10.0,1.0,1.9180055442339774,3.7563676633444074,0.02229965156794425,0.041666666666666664,70.0,140.0,419.0,0.1829039455012426,0.2740391483826359,0.4463379719351134,1.2857142857142856,0.07751937984496124,8.0,6.744186046511628,48.457142857142856,0.1829039455012426,10.0,3.7906976744186047,6.0,3.2558139534883725,43.0,Predicted
pre_2_U00096.3/225381-225454,0.0,36.5,-0.025991250470136385,50.0,28.0,8.170067319184096,1.0,1.0,1.0,73.0,4.0,1.0,0.7249494327840625,1.0,0.9182758345715685,8.972602739726028,12.166666666666666,1.0,1.0,0.0821917808219178,0.7249494327840631,32.0,4.0,1.0,36.5,4.0,6.25,9.0,0.19033547401984938,18.0,2.0,4.650268809434569,1.8333333333333333,0.3586309523809524,0.35294117647058826,72.0,130.0,435.0,0.34062305876315724,0.5541209446790111,0.39806096135978514,2.4444444444444455,0.6,4.0,2.9375,3.0555555555555554,0.34062305876315724,17.0,5.875,2.0,9.0,16.0,60.72727272727273,3.2272727272727275,0.16289940002790584,12.0,1.0,1.998449812452783,3.824524312896406,0.058028792912513845,0.044444444444444446,71.0,131.0,349.0,0.12703214001308064,0.2669400286471212,0.4534533217982293,1.3098591549295773,0.07505285412262155,7.0,6.181818181818182,50.95774647887324,0.12703214001308055,12.0,3.727272727272728,5.0,3.2272727272727275,44.0,Predicted
pre_3_U00096.3/262871-262943,0.0,36.0,-0.30433676713722513,41.0,32.0,3.6742346141747673,1.0,1.0,1.0,72.0,4.0,1.0,0.9003094529308635,1.0,0.9021976515412636,9.666666666666663,12.0,1.0,1.0,0.08333333333333331,0.900309452930864,33.0,4.0,1.0,36.0,4.0,5.25,8.874999999999998,-0.05572226040601418,14.0,2.0,4.013648589500581,1.7,0.35059523809523807,0.3402061855670103,71.0,150.0,537.0,0.5998076356885083,0.5930818426742338,0.3610591716433603,2.267605633802818,0.5916666666666667,3.0,2.5000000000000004,2.873239436619718,0.5998076356885081,14.0,6.250000000000001,2.0,8.874999999999998,16.0,56.37777777777778,3.1111111111111107,-0.03989982355284903,8.0,1.0,1.649541649768501,3.562626262626263,0.03636363636363637,0.0379746835443038,70.0,154.0,447.0,0.26136123582509585,0.2862205980480955,0.4341574074074074,1.171428571428572,0.0707070707070707,7.0,5.800000000000002,50.38571428571429,0.2613612358250958,8.0,3.8444444444444446,4.0,3.1111111111111107,45.0,Predicted
pre_4_U00096.3/3982375-3982448,0.0,36.5,-0.13366673892174938,52.0,22.0,12.757350822173073,1.0,1.0,1.0,73.0,4.0,1.0,0.7338387097390927,1.0,0.9367439845910818,11.273972602739729,12.166666666666666,1.0,1.0,0.0821917808219178,0.7338387097390933,38.0,4.0,1.0,36.5,4.0,5.733333333333332,9.6,0.12361801375547359,19.0,2.0,5.263712251507169,1.819047619047619,0.4282539682539683,0.34532374100719426,72.0,107.0,332.0,0.4349021675935535,0.5571032360017867,0.4326985291389372,2.8055555555555554,0.6857142857142857,3.0,2.8,2.6527777777777772,0.4349021675935536,19.0,5.533333333333334,2.0,9.6,15.0,44.92307692307691,3.6410256410256414,0.3703956343792643,6.0,2.0,1.5605255440720962,3.3643724696356276,0.011111111111111112,0.02040816326530612,71.0,145.0,408.0,0.2288003482139345,0.3018125236669865,0.387664707977208,1.3943661971830978,0.09581646423751687,7.0,5.58974358974359,35.112676056338024,0.2288003482139345,6.0,4.076923076923077,4.0,3.6410256410256414,39.0,Predicted
pre_5_U00096.3/2947387-2947460,0.0,36.5,0.10622921472493235,50.0,24.0,12.05197079319395,1.0,1.0,1.0,73.0,4.0,1.0,0.7006226285333452,1.0,0.9760793044435465,9.410958904109593,12.166666666666666,1.0,1.0,0.0821917808219178,0.7006226285333449,31.0,4.0,1.0,36.5,4.0,6.125000000000001,9.0,0.24302265260245562,20.0,2.0,5.60133912560202,1.8166666666666667,0.3857142857142857,0.35625,72.0,122.0,392.0,0.354442924665686,0.5559405848818036,0.4091695228415792,2.333333333333334,0.6,3.0,2.875,3.0277777777777777,0.35444292466568583,17.0,5.750000000000001,2.0,9.0,16.0,53.714285714285715,3.380952380952381,0.35108647775657054,8.0,2.0,1.9633836312465047,3.6202090592334493,0.11757369614512472,0.1,71.0,140.0,413.0,0.19320761320508023,0.2823941017658882,0.4617958674355159,1.2816901408450703,0.08246225319396051,7.0,6.047619047619046,43.901408450704224,0.19320761320508031,8.0,3.857142857142857,5.0,3.380952380952381,42.0,Predicted
pre_6_U00096.3/297178-297251,0.0,36.5,0.12984248616432567,43.0,30.0,6.020797289396148,1.0,1.0,1.0,73.0,4.0,1.0,0.8128886727288266,1.0,0.9149095090412052,9.109589041095889,12.166666666666666,1.0,1.0,0.0821917808219178,0.812888672728826,32.0,4.0,1.0,36.5,4.0,6.124999999999999,9.0,0.1166378176279174,16.0,2.0,4.227883631321941,1.8166666666666667,0.3607142857142857,0.32,72.0,118.0,391.0,0.41787195543756867,0.5568942512697199,0.3887858396181786,2.3055555555555554,0.6,3.0,2.6875,3.0277777777777777,0.4178719554375689,14.0,5.624999999999999,2.0,9.0,16.0,49.769230769230774,3.6410256410256414,0.002396616541353993,10.0,1.0,1.7901035564827756,3.619433198380567,0.06842105263157895,0.0661764705882353,71.0,130.0,352.0,0.21269645992919464,0.282001111791865,0.4304032625039569,1.3661971830985917,0.09581646423751687,8.0,6.333333333333334,37.774647887323916,0.21269645992919467,10.0,3.9230769230769234,5.0,3.6410256410256414,39.0,Predicted
pre_7_U00096.3/696740-696667,0.0,36.5,0.035138620244989247,39.0,35.0,1.5,1.0,1.0,1.0,73.0,4.0,1.0,0.9322010785197786,1.0,0.925603048696449,8.863013698630137,12.166666666666666,1.0,1.0,0.0821917808219178,0.9322010785197786,31.0,4.0,1.0,36.5,4.0,5.625,9.000000000000004,0.008616637944539193,15.0,4.0,3.29772648956823,1.75,0.28720238095238093,0.2631578947368421,72.0,141.0,502.0,0.5637308770282699,0.5754271073025757,0.33609579810435375,2.2222222222222228,0.6,3.0,2.6249999999999996,2.9166666666666665,0.5637308770282697,15.0,6.000000000000002,2.0,9.000000000000004,16.0,60.29545454545455,3.2272727272727275,0.058663276425717226,8.0,1.0,1.6495679374203687,3.8044397463002113,0.10158730158730159,0.07947019867549669,71.0,143.0,386.0,0.20683616324252113,0.26857539079561843,0.4623678188131313,1.1971830985915493,0.07505285412262155,9.0,6.659090909090909,50.69014084507041,0.2068361632425212,8.0,3.8636363636363633,5.0,3.2272727272727275,44.0,Predicted
pre_8_U00096.3/925971-925887,0.0,42.0,-0.09591848800772743,58.0,32.0,10.295630140987,1.0,1.0,1.0,84.0,4.0,1.0,0.7344338835906612,1.0,0.946989849004515,10.166666666666668,14.0,1.0,1.0,0.07142857142857144,0.7344338835906608,38.0,4.0,1.0,42.0,4.0,5.875,10.375,0.2774938829595322,19.0,2.0,4.8202048711647105,1.7833333333333334,0.31845238095238093,0.30357142857142855,83.0,134.0,457.0,0.41313847150876154,0.5660003238708028,0.3682873646756547,2.783132530120484,0.6916666666666667,3.0,2.6875,2.5783132530120465,0.4131384715087619,18.0,5.875000000000001,2.0,10.375,16.0,50.38636363636364,3.727272727272727,0.3589432538077903,10.0,2.0,1.8993256741614708,3.343551797040169,0.037121212121212124,0.032432432432432434,82.0,181.0,559.0,0.031493126993934674,0.30220928001405095,0.3812949810606061,1.3902439024390245,0.08668076109936575,6.0,5.409090909090909,38.57317073170732,0.031493126993934674,10.0,4.181818181818183,4.0,3.727272727272727,44.0,Predicted
pre_9_U00096.3/2785837-2785765,0.0,36.0,-0.025154755623597612,43.0,29.0,5.1478150704935,1.0,1.0,1.0,72.0,4.0,1.0,0.8354851973111345,1.0,0.9306401349372306,8.249999999999996,12.0,1.0,1.0,0.08333333333333336,0.8354851973111344,30.0,4.0,1.0,36.0,4.0,6.374999999999999,8.875,0.018424677113380267,16.0,2.0,4.166458328124739,1.85,0.33601190476190473,0.34,71.0,116.0,379.0,0.5195636306538143,0.5473565883542006,0.37639507415262957,2.098591549295775,0.5916666666666667,3.0,2.8124999999999996,3.126760563380281,0.5195636306538144,16.0,5.625000000000001,2.0,8.875,16.0,54.52380952380951,3.3333333333333335,0.17881037485106693,6.0,2.0,1.4420003742596876,3.659698025551684,0.04365079365079365,0.044444444444444446,70.0,131.0,360.0,0.26598794816372945,0.28001769550134553,0.4208331496178719,1.3142857142857143,0.08130081300813008,8.0,6.190476190476191,45.014285714285734,0.2659879481637295,6.0,3.8571428571428577,5.0,3.3333333333333335,42.0,Predicted
