A_AA,A_AC,A_AG,A_AT,A_CA,A_CC,A_CG,A_CT,A_GA,A_GC,A_GG,A_GT,A_TA,A_TC,A_TG,A_TT,C_AA,C_AC,C_AG,C_AT,C_CA,C_CC,C_CG,C_CT,C_GA,C_GC,C_GG,C_GT,C_TA,C_TC,C_TG,C_TT,G_AA,G_AC,G_AG,G_AT,G_CA,G_CC,G_CG,G_CT,G_GA,G_GC,G_GG,G_GT,G_TA,G_TC,G_TG,G_TT,T_AA,T_AC,T_AG,T_AT,T_CA,T_CC,T_CG,T_CT,T_GA,T_GC,T_GG,T_GT,T_TA,T_TC,T_TG,T_TT,A_AAA,A_AAC,A_AAG,A_AAT,A_ACA,A_ACC,A_ACG,A_ACT,A_AGA,A_AGC,A_AGG,A_AGT,A_ATA,A_ATC,A_ATG,A_ATT,A_CAA,A_CAC,A_CAG,A_CAT,A_CCA,A_CCC,A_CCG,A_CCT,A_CGA,A_CGC,A_CGG,A_CGT,A_CTA,A_CTC,A_CTG,A_CTT,A_GAA,A_GAC,A_GAG,A_GAT,A_GCA,A_GCC,A_GCG,A_GCT,A_GGA,A_GGC,A_GGG,A_GGT,A_GTA,A_GTC,A_GTG,A_GTT,A_TAA,A_TAC,A_TAG,A_TAT,A_TCA,A_TCC,A_TCG,A_TCT,A_TGA,A_TGC,A_TGG,A_TGT,A_TTA,A_TTC,A_TTG,A_TTT,C_AAA,C_AAC,C_AAG,C_AAT,C_ACA,C_ACC,C_ACG,C_ACT,C_AGA,C_AGC,C_AGG,C_AGT,C_ATA,C_ATC,C_ATG,C_ATT,C_CAA,C_CAC,C_CAG,C_CAT,C_CCA,C_CCC,C_CCG,C_CCT,C_CGA,C_CGC,C_CGG,C_CGT,C_CTA,C_CTC,C_CTG,C_CTT,C_GAA,C_GAC,C_GAG,C_GAT,C_GCA,C_GCC,C_GCG,C_GCT,C_GGA,C_GGC,C_GGG,C_GGT,C_GTA,C_GTC,C_GTG,C_GTT,C_TAA,C_TAC,C_TAG,C_TAT,C_TCA,C_TCC,C_TCG,C_TCT,C_TGA,C_TGC,C_TGG,C_TGT,C_TTA,C_TTC,C_TTG,C_TTT,G_AAA,G_AAC,G_AAG,G_AAT,G_ACA,G_ACC,G_ACG,G_ACT,G_AGA,G_AGC,G_AGG,G_AGT,G_ATA,G_ATC,G_ATG,G_ATT,G_CAA,G_CAC,G_CAG,G_CAT,G_CCA,G_CCC,G_CCG,G_CCT,G_CGA,G_CGC,G_CGG,G_CGT,G_CTA,G_CTC,G_CTG,G_CTT,G_GAA,G_GAC,G_GAG,G_GAT,G_GCA,G_GCC,G_GCG,G_GCT,G_GGA,G_GGC,G_GGG,G_GGT,G_GTA,G_GTC,G_GTG,G_GTT,G_TAA,G_TAC,G_TAG,G_TAT,G_TCA,G_TCC,G_TCG,G_TCT,G_TGA,G_TGC,G_TGG,G_TGT,G_TTA,G_TTC,G_TTG,G_TTT,T_AAA,T_AAC,T_AAG,T_AAT,T_ACA,T_ACC,T_ACG,T_ACT,T_AGA,T_AGC,T_AGG,T_AGT,T_ATA,T_ATC,T_ATG,T_ATT,T_CAA,T_CAC,T_CAG,T_CAT,T_CCA,T_CCC,T_CCG,T_CCT,T_CGA,T_CGC,T_CGG,T_CGT,T_CTA,T_CTC,T_CTG,T_CTT,T_GAA,T_GAC,T_GAG,T_GAT,T_GCA,T_GCC,T_GCG,T_GCT,T_GGA,T_GGC,T_GGG,T_GGT,T_GTA,T_GTC,T_GTG,T_GTT,T_TAA,T_TAC,T_TAG,T_TAT,T_TCA,T_TCC,T_TCG,T_TCT,T_TGA,T_TGC,T_TGG,T_TGT,T_TTA,T_TTC,T_TTG,T_TTT,maximum_ORF_length,minimum_ORF_length,std_ORF_length,average_ORF_length,cv_ORF_length,maximum_GC_content_ORF,minimum_GC_content_ORF,std_GC_content_ORF,average_GC_content_ORF,cv_GC_content_ORF,k1,k2,k3,k4,k5,average,median,maximum,minimum,peak,none_levated_peak,sample_standard_deviation,population_standard_deviation,percentile15,percentile25,percentile50,percentile75,amplitude,variance,interquartile_range,semi_interquartile_range,coefficient_of_variation,skewness,kurtosis
1,1,1,0,0,1,3,3,0,3,2,1,1,1,3,0,1,1,2,3,4,6,1,0,4,2,2,3,2,0,4,0,2,2,5,0,1,3,5,1,4,2,5,3,1,2,2,0,1,1,1,0,0,4,1,0,0,3,2,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,3,0,0,1,1,2,2,1,2,1,0,0,1,0,0,0,0,0,2,1,0,1,0,2,0,0,0,1,0,0,2,0,1,0,0,0,2,0,0,0,0,0,1,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1,2,0,0,0,0,0,0,1,0,0,2,1,0,2,0,1,2,0,1,0,0,2,0,2,0,0,1,1,0,0,1,1,3,1,1,1,0,0,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,33,33,0.0,33.0,0.0,57.57575757575758,57.57575757575758,0.0,57.57575757575758,0.0,1.925562292684469,3.766433774390805,5.32742590063157,6.264825975670393,6.575212064914737,115.99999999999991,80.0,3704.0,16.0,0.3333333333333335,2.2797208779108686,337.78987551434983,339.25534823248967,39.71171105809919,46.68849659188041,80.0,107.709094435722,3688.0,115094.19130434784,61.02059784384159,30.510298921920796,2.911981685468535,0.319725390926975,0.2566556314334147
20,29,21,13,21,19,30,28,29,28,35,32,16,24,29,10,17,20,24,9,27,15,22,15,23,30,42,20,18,18,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,8,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,3,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,255,6,57.9479005976357,56.42857142857143,1.0269248207175947,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9797334300455425,3.953013729586905,5.903114435008192,7.772084925037578,9.332351849529209,1535.000000000003,1007.2823449675112,606041.0,89.34705600969659,0.3333333333333327,8.446104379029686,15450.213526032578,15455.248629156642,481.2865954618328,634.6882746897779,1007.2823449675112,1517.0686654089664,605951.6529439903,238864710.18904823,882.3803907191884,441.1901953595942,10.065285684711757,0.1024680314242886,0.275555449183819
20,27,20,13,21,18,29,29,29,30,35,32,16,24,29,10,17,20,24,9,27,15,21,14,23,31,42,19,18,18,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,8,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,4,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,3,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,255,6,56.65068037346824,56.86363636363637,0.9962549705965636,59.375,22.22222222222222,8.451339292849958,50.47858904493653,0.1674242377362507,1.9793999071261783,3.952782791547811,5.900478028594931,7.76473734552166,9.31721130025973,1534.9999999999982,998.5418536507036,606375.0,108.20153459293658,0.3333333333333337,8.441718763117823,15458.950029028492,15463.9879793102,480.4841909287084,623.0424764728746,998.5418536507036,1530.378072881942,606266.7984654071,239134924.22425032,907.3355964090674,453.6677982045337,10.07097721760815,0.1041063226173727,0.2859230996098797
21,28,21,13,19,16,29,33,29,29,34,31,17,24,30,10,16,20,26,9,28,15,20,13,23,29,42,19,19,19,31,21,44,20,50,24,18,27,32,26,40,27,51,27,26,16,35,23,28,26,17,20,21,25,18,11,28,24,30,22,5,7,19,10,3,5,9,4,7,7,6,8,7,3,7,4,1,3,7,2,4,4,7,4,3,3,3,7,3,9,12,5,5,8,11,9,13,6,6,4,6,6,13,4,5,10,11,8,4,11,10,6,3,9,4,1,5,8,9,2,7,7,13,3,2,2,2,4,3,5,6,2,4,5,6,5,5,10,5,6,0,2,7,0,10,7,6,5,2,2,5,5,3,6,5,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,3,8,3,7,7,13,4,6,7,6,2,8,15,11,10,3,5,6,6,11,12,17,10,6,4,7,7,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,15,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,7,9,11,8,7,3,11,2,7,5,11,5,5,8,9,4,7,3,2,5,6,5,6,3,7,5,5,4,8,6,6,5,3,0,11,4,2,1,5,3,5,7,10,6,4,3,6,11,10,3,12,5,8,5,6,3,2,1,1,1,1,1,3,2,8,5,3,3,1,0,7,2,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.980387561834368,3.954612067231076,5.906896351880045,7.770795664061358,9.326502980526987,1534.9999999999989,1006.8454146431932,605525.0,72.3161139169228,0.3333333333333336,8.431944013408723,15436.751147829003,15441.781863669845,489.2086405633565,637.7867962146606,1006.8454146431932,1502.288959077726,605452.6838860831,238448627.12516296,864.5021628630655,432.2510814315327,10.0565154057518,0.1026423073674575,0.2695889418542104
20,29,21,13,21,19,30,27,29,28,35,32,16,24,29,10,17,20,24,9,27,14,22,15,23,30,42,20,18,17,33,19,46,19,48,24,18,27,32,26,41,27,51,27,25,16,36,24,28,26,19,20,21,24,18,10,27,24,28,22,5,8,18,10,3,4,8,5,8,7,6,8,6,4,7,4,1,3,7,2,5,4,8,4,3,3,4,9,3,9,12,6,3,7,10,7,12,6,7,4,6,6,13,3,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,7,6,2,2,5,6,5,5,5,8,11,10,5,4,13,9,11,9,5,4,8,3,7,5,5,1,5,2,8,2,8,7,13,5,6,5,6,2,9,16,11,10,3,6,6,4,10,11,16,11,6,4,8,6,2,4,8,4,6,6,7,8,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,8,11,9,7,3,11,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,1,10,4,2,1,5,2,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,1,255,6,57.9479005976357,56.42857142857143,1.0269248207175947,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9793366960282175,3.9522698897799353,5.9023157569669245,7.770030280715293,9.330183868800995,1531.9999999999982,1004.5478938232474,604010.0,93.5241529382582,0.3333333333333337,8.474551065290658,15414.160048474912,15419.19324372692,464.3130318499696,623.1994816896936,1004.5478938232474,1495.2731764754822,603916.4758470617,237751520.28739387,872.0736947857886,436.0368473928943,10.061462172633767,0.1026560197606623,0.2615463603237606
21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,27,32,26,41,27,51,27,26,16,34,23,28,26,19,20,21,24,18,12,27,24,29,21,5,7,19,9,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,5,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9793693436680375,3.953212582649761,5.903914482879134,7.766701776322045,9.31776210833546,1531.9999999999989,1013.0974252310182,603994.0,69.35221946957137,0.3333333333333336,8.470247002064884,15413.6372086539,15418.670233182698,463.1006564167237,617.0104468692352,1013.0974252310182,1490.74440233652,603924.6477805304,237735391.75963423,873.7339554672847,436.86697773364233,10.061120893377227,0.1009954823273599,0.2623318821047054
21,28,20,13,19,18,30,29,30,29,34,33,17,24,29,10,16,20,25,9,27,14,21,13,23,29,42,19,19,18,32,21,45,19,51,24,18,26,32,26,40,27,50,28,27,16,34,23,28,26,19,20,21,25,18,12,27,24,29,21,5,7,19,9,3,4,9,5,7,7,6,8,6,3,7,4,1,3,7,2,4,4,7,4,3,3,4,8,3,9,12,6,5,7,10,7,13,6,7,4,6,6,13,4,5,10,11,8,4,11,11,7,3,9,4,1,5,8,9,2,7,7,12,3,2,2,2,4,3,5,6,2,3,5,7,5,4,10,5,6,0,2,7,0,10,7,5,5,2,2,5,4,3,6,6,6,2,1,4,6,5,5,5,8,11,10,5,3,13,9,11,9,5,4,8,2,7,5,6,1,5,2,8,3,8,7,13,4,6,6,7,2,8,15,12,10,3,6,6,4,11,12,17,11,6,4,8,6,2,4,8,4,6,5,7,8,8,8,8,8,3,7,10,6,16,5,12,7,8,7,6,6,15,8,15,12,10,3,8,7,15,6,6,0,8,4,1,3,8,8,10,8,7,3,10,3,7,5,11,5,5,8,9,4,9,3,2,5,6,5,6,3,7,5,5,4,7,6,6,6,3,0,11,4,2,1,5,4,5,7,10,5,4,3,6,11,10,3,12,4,8,5,5,3,2,1,1,1,2,1,3,1,7,6,3,3,1,1,6,1,255,6,58.2051263609476,55.85714285714285,1.0420355102982948,59.375,22.22222222222222,8.453328941713599,49.99632849440681,0.169078994323739,1.9797922202385907,3.954177787465332,5.904907403870479,7.767819029743257,9.320352524578936,1531.999999999998,1006.6715544815918,603642.0,83.02145142305478,0.3333333333333338,8.468971470236863,15404.615671934178,15409.645750654989,477.41001854450633,614.5106495857777,1006.6715544815918,1483.4136252721416,603558.9785485769,237457182.16067928,868.9029756863639,434.451487843182,10.055232161836944,0.1023060471042144,0.2585528993423842
20,27,20,13,21,18,29,28,29,30,35,32,16,24,29,10,17,20,24,9,27,14,21,14,23,31,42,19,18,17,33,20,44,19,51,24,18,27,32,26,41,27,51,27,25,16,37,24,28,25,19,21,21,24,19,11,27,24,28,22,5,8,18,9,3,3,8,6,7,7,6,7,6,3,7,4,1,3,7,2,5,4,8,4,3,3,4,8,3,9,12,5,3,7,10,8,12,6,7,4,7,6,13,4,5,11,11,8,4,11,10,7,3,9,3,1,5,8,9,2,7,6,12,4,2,2,2,4,3,5,7,2,3,5,7,5,4,10,5,5,0,2,7,0,10,7,5,5,3,2,5,3,3,6,6,6,2,1,5,6,5,5,5,8,11,10,5,5,13,9,11,9,5,4,8,2,7,5,5,1,5,2,8,2,8,7,13,5,6,6,6,2,7,14,13,10,3,6,6,4,10,14,16,11,6,4,8,6,2,4,8,4,6,5,7,9,8,8,8,8,3,7,10,6,16,6,12,7,8,7,6,6,16,8,16,11,9,3,8,7,15,5,5,0,8,4,1,3,8,10,11,8,7,3,11,3,7,5,11,5,5,8,8,4,9,3,2,5,6,5,7,3,7,5,5,4,7,6,6,5,3,1,11,4,2,1,5,3,5,7,10,5,4,3,6,11,10,2,12,4,7,5,6,4,2,1,1,1,2,1,4,1,7,5,3,3,1,1,7,0,255,6,56.65068037346824,56.86363636363637,0.9962549705965636,59.375,22.22222222222222,8.451339292849958,50.47858904493653,0.1674242377362507,1.9790002147296488,3.952039060164671,5.899618682159749,7.762429875355591,9.315013593322224,1531.999999999999,1001.1939147289802,604346.0,79.04478246039966,0.3333333333333335,8.475806236155298,15422.791381588484,15427.827395235056,457.2823192944248,619.5148861676387,1001.1939147289802,1487.488567526601,604266.9552175396,238017858.13716525,867.9736813589623,433.98684067948113,10.06709620208126,0.1032509755474008,0.261371474071526
42,46,51,34,46,59,58,39,45,70,77,58,28,32,56,21,64,24,42,28,23,33,42,26,60,44,72,52,29,26,48,24,78,54,76,31,43,41,58,42,87,47,77,66,57,33,82,40,62,39,52,39,22,37,33,36,45,31,50,30,31,23,36,23,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,12,14,9,9,15,23,11,19,6,16,17,9,7,16,7,15,11,11,8,17,14,22,17,13,22,21,21,13,8,16,21,8,8,7,5,9,11,8,4,15,12,18,11,6,8,6,1,16,13,21,14,3,8,8,5,9,10,16,7,7,6,12,3,7,3,9,4,7,6,11,9,16,8,13,5,6,3,12,5,27,13,13,7,7,11,19,7,16,8,21,27,13,10,22,7,12,6,6,5,6,7,8,5,20,11,9,8,6,1,11,6,23,21,25,9,8,18,16,12,15,22,29,10,11,7,12,1,6,9,16,12,9,13,12,7,18,8,19,13,6,7,21,8,34,14,25,14,11,8,14,14,23,18,23,13,19,9,22,16,26,7,14,10,8,9,8,8,27,14,21,20,15,7,12,6,17,14,19,12,7,7,10,15,7,15,16,14,10,11,14,4,7,6,5,4,9,11,10,7,11,3,14,5,8,7,17,4,13,11,12,9,6,6,8,11,7,14,16,13,5,7,12,6,14,5,9,3,4,10,5,4,11,6,8,11,5,6,6,6,168,6,42.516791657806095,51.073170731707314,0.8324682225262894,58.333333333333336,16.666666666666664,9.643289796438792,47.14846625347938,0.2045302967989367,1.9791357935587155,3.947377354209,5.895218143029379,7.798927750964616,9.561862199022835,2904.0000000000027,1864.928165579933,2170334.0,86.00091858927995,0.333333333333333,11.687283979926296,40249.17425239927,40256.10599691848,932.9922091231392,1187.703365734743,1864.928165579933,2799.356198579244,2170247.999081411,1620554070.035136,1611.6528328445008,805.8264164222504,13.859908489118192,0.0774479367877812,0.2590108852904428
42,46,51,34,45,59,59,40,46,70,76,58,28,32,57,21,63,25,42,28,24,33,40,24,59,42,72,53,29,25,50,24,78,55,77,30,42,40,58,43,88,46,77,66,58,33,80,40,64,39,51,39,21,36,32,38,45,31,50,31,32,23,37,23,10,10,15,7,14,16,9,7,10,15,16,10,6,10,11,7,11,11,13,10,9,15,23,11,20,6,16,17,9,8,16,7,15,11,12,8,16,14,23,17,12,22,21,21,14,7,16,21,8,8,7,5,9,11,8,4,15,12,18,12,6,7,7,1,16,13,20,14,3,8,8,6,9,10,16,7,7,6,12,3,7,3,9,5,7,6,11,9,16,6,12,6,6,2,12,4,27,13,13,6,7,10,18,7,16,8,21,27,13,10,23,7,12,6,6,5,6,7,7,5,20,11,10,9,6,1,11,6,23,21,25,9,8,18,15,14,15,22,30,10,11,7,12,0,6,9,16,11,9,12,12,7,18,8,19,13,6,7,21,9,35,15,24,14,10,9,14,13,24,17,23,13,20,9,21,16,26,7,14,11,8,8,9,8,27,14,20,19,15,7,12,6,17,15,21,11,7,7,10,15,7,15,15,14,10,11,14,4,7,6,5,3,9,11,10,6,10,3,14,5,8,8,17,5,13,11,12,9,6,6,7,12,7,14,16,13,5,7,13,6,14,6,9,3,4,10,5,4,12,6,8,11,5,6,6,6,129,6,36.64137176642871,46.46341463414634,0.7886069514034526,58.333333333333336,16.666666666666664,9.580121277149509,46.91966959015126,0.2041813457092297,1.9792436214764808,3.94684996267312,5.89329169306235,7.795401289337139,9.55848718099685,2904.0,1867.4630831328875,2170020.0,153.8461286696437,0.3333333333333333,11.698392570972016,40243.7239579043,40250.6547637695,922.8943284552932,1168.414617639845,1867.4630831328875,2816.0353944585686,2169866.1538713304,1620115208.91216,1647.620776818724,823.810388409362,13.858031665945008,0.077269458309923,0.2629323603113501
