nameseq,faverage,fmedian,fmaximum,fminimum,fpeak,fnone_levated_peak,fsample_standard_deviation,fpopulation_standard_deviation,fpercentile15,fpercentile25,fpercentile50,fpercentile75,famplitude,fvariance,finterquartile_range,fsemi_interquartile_range,fcoefficient_of_variation,fskewness,fkurtosis,label
pre_0_train_U00096.3/228758-228873,231.99999999999997,135.8282682571909,1296.0,2.163898378278371,0.16666666666666669,2.8610409328417314,231.2401349247141,232.24335063257132,44.786647426733495,64.5557698524057,135.8282682571909,322.1989446541756,1293.8361016217216,53936.97391304346,257.6431748017699,128.82158740088494,0.9967247195030782,1.2476865027014468,0.2561611352026583,rRNA
pre_1_train_U00096.3/4040519-4040634,231.99999999999997,166.70002156557752,1028.0000000000002,0.34164413622689144,0.16666666666666669,2.8339723607012326,217.51321798916038,218.45688063243094,48.53077813278507,69.49556706248583,166.70002156557752,298.6915212773383,1027.6583558637733,47723.40869565218,229.1959542148525,114.59797710742625,0.9375569740912086,0.9006346240210097,0.2116283558615852,rRNA
pre_2_train_U00096.3/3423540-3423425,232.0,149.69212445936864,977.2572308076711,3.446642233351847,0.16666666666666666,2.834673547102578,219.2715211786519,220.22281207114244,46.15752039939597,69.8379088441901,149.69212445936864,314.3499177195174,973.8105885743192,48498.08695652173,244.5120088753273,122.25600443766365,0.9451358671493617,1.1261089688921004,0.22978044057663646,rRNA
pre_3_train_U00096.3/3941808-3943349,3084.000000000003,2086.120114166235,23319.778943250774,0.4336621643671767,0.1666666666666665,10.510124088520914,3213.9719973889005,3215.0146485103724,472.46667343629616,839.3469319358874,2086.120114166235,4276.137878922833,23319.345281086407,10336319.190136272,3436.7909469869455,1718.3954734934728,1.0421439680249343,0.931445469946036,0.2593344001174625,rRNA
pre_4_train_U00096.3/3428762-3427221,3083.999999999995,2035.9485536562283,24296.997450667874,3.2888858247953365,0.16666666666666693,10.525271486715308,3238.0537364287206,3239.104199955602,475.7544578582659,854.9128533085543,2035.9485536562283,4249.055813307822,24293.708564843077,10491796.018170018,3394.142959999268,1697.071479999634,1.0499525734204689,0.9710012850185176,0.2518681994272225,rRNA
pre_5_train_U00096.3/2731157-2729616,3083.9999999999945,2054.6659754958573,24260.0,0.2726975584137278,0.16666666666666696,10.52432884010389,3266.7145574720785,3267.7743189135736,472.2500443633583,845.1477722958084,2054.6659754958573,4260.189867732291,24259.727302441584,10678348.999351067,3415.042095436482,1707.521047718241,1.0592459654578743,0.9452928987777977,0.2601233093106907,rRNA
pre_6_train_U00096.3/4035531-4037072,3083.9999999999945,2025.808011601913,26072.677198565554,0.19609356773859182,0.16666666666666696,10.517762547743757,3240.098763926803,3241.149890885169,503.53684591789846,848.8603632947006,2025.808011601913,4266.625106489797,26072.481104997816,10505052.615184942,3417.7647431950963,1708.8823715975482,1.0506156822071364,0.9797775304067742,0.25286502179753084,rRNA
pre_7_train_U00096.3/4166659-4168200,3083.9999999999995,2047.6316801350376,25777.633108492922,0.339529384703984,0.16666666666666669,10.519459447388291,3236.168104409905,3237.217956215109,489.2118458079997,846.7457127775036,2047.6316801350376,4286.675500087078,25777.29357910822,10479580.096041529,3439.9297873095743,1719.9648936547871,1.0493411492898526,0.9607365437407682,0.25573641611132814,rRNA
pre_8_train_U00096.3/223771-225312,3084.0000000000014,2092.4009976315583,27955.355501515303,0.9287149577720415,0.1666666666666666,10.503587148041358,3209.333887273183,3210.375033736021,480.99118248014963,882.4831000261918,2092.4009976315583,4242.795521213392,27954.42678655753,10306507.857235558,3360.3124211872,1680.1562105936,1.0406400412688657,0.9269203864708734,0.24560554404715862,rRNA
pre_9_train_U00096.3/4035536-4037070,3069.999999999996,2075.4353381931937,31574.671572443556,6.3005375188394535,0.1666666666666669,10.474116855017394,3224.92170447594,3225.9726811062437,476.6906644923619,821.8656729315098,2075.4353381931937,4308.290234890605,31568.371034924716,10406899.739243807,3486.4245619590947,1743.2122809795474,1.050463095920503,0.9251988912720802,0.26780848538779595,rRNA
pre_10_train_U00096.3/3428757-3427223,3070.0000000000073,2073.1484088548477,33846.731361187434,2.984750181867984,0.16666666666666627,10.471207592176485,3218.5151856096622,3219.5640744058337,502.6025182873108,830.4975895872292,2073.1484088548477,4314.428188885158,33843.74661100557,10365592.829204692,3483.930599297929,1741.9652996489644,1.0483762819575422,0.929172180639874,0.2667390449620995,rRNA
pre_11_train_U00096.3/2731152-2729618,3070.0000000000005,2058.582905126074,34418.606076435935,1.8680457203796403,0.16666666666666666,10.477043762514796,3279.3792095456115,3280.4479334486923,483.18414644139614,830.1445178327317,2058.582905126074,4229.020540298597,34416.738030715554,10761338.644067796,3398.876022465865,1699.4380112329325,1.0682016969203945,0.9252517292875695,0.2571594421566285,rRNA
pre_12_train_U00096.3/223776-225310,3070.0000000000014,2110.567613451262,34508.93281480289,1.463992048199773,0.1666666666666666,10.44632935890154,3200.3387320719658,3201.381697304826,500.56479436895074,851.8312323901142,2110.567613451262,4235.4560838739635,34507.46882275469,10248844.77183833,3383.6248514838494,1691.8124257419247,1.0424556130527571,0.8993726604004662,0.2555705647393441,rRNA
pre_13_train_U00096.3/3428757-3427226,3063.9999999999977,2129.5215204048286,30954.565988746643,1.0088514226932175,0.1666666666666668,10.489870157278816,3222.2749727482906,3223.3271441960055,472.89755369582366,825.3648714429465,2129.5215204048286,4264.056632043236,30953.55713732395,10389837.878510775,3438.69176060029,1719.345880300145,1.051656322698529,0.870017444971323,0.25188254272180843,rRNA
pre_14_train_U00096.3/4166664-4168195,3063.999999999995,2140.4188975851685,28967.117516480335,4.29510210493767,0.16666666666666693,10.490476197197705,3221.467988355619,3222.5198962982186,467.3183376605679,831.3392283701445,2140.4188975851685,4174.254375642262,28962.822414375398,10384634.482037883,3342.9151472721173,1671.4575736360587,1.0513929465912613,0.8600871767963122,0.25043653326966897,rRNA
