nameseq,k1,k2,k3,k4,k5,label
pre_0_90534|0.66128017,1.8843971387690475,3.4890612286862104,4.815065234673451,5.579589073804689,5.7813597135246555,toeholds
pre_1_90535|0.6175931410000001,1.8897186240130726,3.504475333319911,4.705892979822154,5.343069207771894,5.63590516807011,toeholds
pre_2_90536|0.666666667,1.958533077473846,3.6310627285977417,4.902722470153269,5.593069207771894,5.7813597135246555,toeholds
pre_3_90537|0.623447442,1.9818977096941495,3.761877722584219,5.034472908825672,5.735926350629038,5.7813597135246555,toeholds
pre_4_90538|1.0,1.9662401987703588,3.806089083219047,5.126492426331575,5.557354922057607,5.744996077161019,toeholds
pre_5_90539|0.335784494,1.8761606758785412,3.5643117110413876,4.826151803897123,5.445485948727422,5.708632440797383,toeholds
pre_6_90540|0.5620426470000001,1.950302308024261,3.6585863838751895,4.9510538298403475,5.5438747880904025,5.744996077161019,toeholds
pre_7_90541|0.6655104270000001,1.8903013839626617,3.498982654170355,4.804307724987712,5.485926350629036,5.744996077161019,toeholds
pre_8_90542|0.649616176,1.809427949616536,3.1767185062532217,4.210021707778462,5.003434386188786,5.499363804355075,toeholds
pre_9_90543|0.712748525,1.8689852989434272,3.3993052390076715,4.6944013652247225,5.365303359518974,5.63590516807011,toeholds
pre_10_90544|0.140279336,1.885402708700159,3.420095711444831,4.657108435065549,5.387537511266055,5.622179940758047,toeholds
pre_11_90545|0.310200728,1.8742936402829324,3.542594552310947,4.9159661105421,5.57958907380469,5.744996077161019,toeholds
pre_12_90546|0.431514481,1.9390105284420276,3.611088323493061,4.999385189527425,5.628783493486179,5.7813597135246555,toeholds
pre_13_90547|0.038841301,1.9194015152017747,3.6828951689478977,4.85263908467479,5.436731930947545,5.635905168070111,toeholds
pre_14_90548|0.500107645,1.8609163924513288,3.5748837464222016,4.96429747022918,5.557354922057607,5.7813597135246555,toeholds
pre_15_90549|0.239314912,1.9007638696922688,3.6276692475910597,5.078161066644496,5.664497779200466,5.7813597135246555,toeholds
pre_16_90550|0.428000027,1.7117782187411794,3.340703672591634,4.528249172469999,5.293874788090402,5.526814258979202,toeholds
pre_17_90551|0.829363747,1.7752813769436118,3.388733203626858,4.770972031480866,5.508160502376118,5.672268804433746,toeholds
pre_18_90552|1.0,1.8689852989434272,3.614773085073194,4.876235189375604,5.42325179698034,5.708632440797383,toeholds
pre_19_90553|0.37143557899999996,1.9723693332579533,3.756147756456292,5.078161066644496,5.593069207771894,5.7813597135246555,toeholds
pre_20_90554|0.140591931,1.9132505248690659,3.7308386008638696,4.929209750930934,5.508160502376118,5.672268804433746,toeholds
pre_21_90555|0.925484902,1.9435868776634557,3.700473617372964,5.0695606281239165,5.593069207771894,5.708632440797383,toeholds
pre_22_90556|0.082498535,1.9499348293877536,3.7933498578542197,5.139736066720408,5.628783493486179,5.672268804433747,toeholds
pre_23_90557|0.038923531000000004,1.9875686897225853,3.83312005726164,5.139736066720407,5.628783493486179,5.708632440797383,toeholds
pre_24_90558|0.177833894,1.9812207379982874,3.7261061590630105,4.867634750855023,5.472446216661831,5.708632440797383,toeholds
pre_25_90559|0.989047983,1.8146845787207975,3.4323895652758143,4.8082168219442725,5.508160502376116,5.744996077161019,toeholds
pre_26_90560|0.963898258,1.8468874507668411,3.587177600253184,4.900970444361867,5.543874788090404,5.744996077161019,toeholds
pre_27_90561|0.204222354,1.9558938582715706,3.673997642316243,5.10000514555391,5.700212064914751,5.7813597135246555,toeholds
pre_28_90562|0.488373158,1.945848882929053,3.7913519630074375,5.209911505316899,5.651017645233261,5.7813597135246555,toeholds
pre_29_90563|1.0,1.9088860106005097,3.561868444660761,5.007985628048006,5.664497779200465,5.7813597135246555,toeholds
pre_30_90564|0.48587412799999996,1.9050161418564273,3.6719997474694606,4.999385189527426,5.664497779200463,5.744996077161019,toeholds
pre_31_90565|0.333333333,1.9587132237446991,3.6389627309023287,4.9728979087497605,5.664497779200466,5.7813597135246555,toeholds
pre_32_90566|0.515973499,1.9411935861886653,3.6568645654250194,4.986141549138592,5.557354922057607,5.7813597135246555,toeholds
pre_33_90567|1.0,1.800505294834655,3.5059182291808217,4.804307724987712,5.521640636343322,5.672268804433746,toeholds
pre_34_90568|0.561992853,1.9772978503825471,3.631508100131585,4.874483163584202,5.508160502376118,5.708632440797383,toeholds
pre_35_90569|0.644328981,1.9061360337698043,3.6304359000693096,4.867634750855025,5.485926350629036,5.63590516807011,toeholds
pre_36_90570|0.52117109,1.9161326058038624,3.6163256083861324,5.01262882991626,5.664497779200465,5.7813597135246555,toeholds
pre_37_90571|0.5732931920000001,1.9598922470460607,3.7367255041448355,5.076409040853097,5.579589073804689,5.7813597135246555,toeholds
pre_38_90572|0.37678065899999996,1.885402708700159,3.650134228777378,5.056316987735084,5.735926350629038,5.7813597135246555,toeholds
pre_39_90573|0.8477123759999999,1.8761606758785412,3.6564665035921875,4.986141549138592,5.593069207771894,5.744996077161019,toeholds
pre_40_90574|0.727584536,1.9204602611190196,3.7219410742322143,5.126492426331575,5.700212064914751,5.7813597135246555,toeholds
pre_41_90575|0.03096032,1.787118491343084,3.3905258601108157,4.571937330288823,5.265131208189746,5.549452668030775,toeholds
pre_42_90576|0.946177363,1.823680698074783,3.527783747872904,4.777820444210045,5.521640636343323,5.708632440797382,toeholds
