nameseq,k-tsallis14.0,k-tsallis24.0,k-tsallis34.0,k-tsallis44.0,k-tsallis54.0,label
pre_sp|A5U8S5|COAX_MYCTA,0.333096806665218,0.3333327257591975,0.3333333041046262,0.33333331620867535,0.33333331601626526,Predicted
pre_sp|Q65JY2|MURD_BACLD,0.3331964479145849,0.33333313181933644,0.33333332520564507,0.3333333290468963,0.3333333296012084,Predicted
pre_sp|Q8DPJ8|RNC_STRR6,0.33314676295707313,0.3333327951808738,0.3333332925959146,0.33333330387941423,0.33333330520952015,Predicted
pre_sp|Q88VH0|APT_LACPL,0.33319500206358893,0.3333326507110679,0.3333332487238738,0.3333332642745963,0.3333332630340496,Predicted
pre_sp|Q92EF1|KPRS2_LISIN,0.3331884149674908,0.333333065445543,0.3333333179402038,0.3333333219248846,0.3333333218130378,Predicted
pre_sp|Q92BJ1|DTD_LISIN,0.33318635588477363,0.3333327226424707,0.33333323050954533,0.33333322839679314,0.33333322622576045,Predicted
pre_sp|Q5HG25|DAPA_STAAC,0.3332042832318577,0.3333328938669555,0.33333331184998977,0.3333333193029749,0.33333331980638664,Predicted
pre_sp|Q65LE8|ARGB_BACLD,0.3331544751743838,0.3333328905414083,0.33333330259968835,0.33333331102308217,0.3333333129920853,Predicted
pre_sp|Q92BT5|MURB_LISIN,0.3331827648974429,0.3333329400161364,0.33333330945111905,0.3333333169161173,0.3333333202162658,Predicted
pre_sp|O05515|TSAE_BACSU,0.33318769071793886,0.3333328291416856,0.3333331937504926,0.33333324382084073,0.33333324206574333,Predicted
pre_sp|Q92A79|NDK_LISIN,0.3332010854524352,0.33333282273832854,0.3333332028807032,0.3333332217006744,0.33333321934231513,Predicted
pre_sp|Q65I57|PANC_BACLD,0.333226639062949,0.3333330950012919,0.3333333093194912,0.33333331893394097,0.3333333187812985,Predicted
pre_sp|Q72X78|SPEE_BACC1,0.33319984970061245,0.33333299446489906,0.3333333127496886,0.3333333167690735,0.33333331658502785,Predicted
pre_sp|Q81KI4|MOBA_BACAN,0.33322838791666665,0.3333329258699823,0.33333327217338743,0.33333328663554673,0.33333328906323045,Predicted
pre_sp|Q88S50|RHAM_LACPL,0.33318799952477446,0.3333325721960956,0.3333330192258885,0.333333009803284,0.333333,Predicted
pre_sp|A2RJT9|PYRDA_LACLM,0.3332088595409371,0.33333311092366424,0.3333333153807761,0.3333333214063187,0.3333333218130378,Predicted
pre_sp|Q931P6|ACKA_STAAM,0.33321485192708333,0.3333332038795797,0.33333332507035063,0.33333332781816793,0.33333332796557213,Predicted
pre_sp|Q02133|HIS6_LACLA,0.3331719304801809,0.33333300186319137,0.3333332991783738,0.3333333134651184,0.33333331323045684,Predicted
pre_sp|Q2FJ89|HCHA_STAA3,0.3331591826555971,0.33333302184168473,0.3333333100516862,0.33333331885461887,0.3333333193792509,Predicted
pre_sp|Q7A827|HDOX2_STAAN,0.33321707121141697,0.3333321305018823,0.3333329425671261,0.333333006994685,0.33333303700121375,Predicted
pre_sp|Q81XR2|DAPF_BACAN,0.33318098072404145,0.3333330690603894,0.33333331420197365,0.33333331893394097,0.3333333187812985,Predicted
pre_sp|P64180|G3P2_STAAM,0.33319751027804284,0.33333310010855555,0.33333332018357786,0.3333333247009912,0.3333333246239172,Predicted
pre_sp|Q63A51|COAW_BACCZ,0.33313724397333033,0.3333327472895749,0.33333330258087507,0.33333331442998615,0.3333333167690735,Predicted
pre_sp|Q9RL97|MNME_STRAG,0.33314776593873857,0.33333313559248734,0.3333333249505969,0.3333333295709267,0.3333333298637101,Predicted
pre_sp|O31521|URHG1_BACSU,0.33319943693611137,0.3333331565915825,0.33333331627752283,0.3333333242365553,0.3333333248524323,Predicted
pre_sp|Q65K78|MOBA_BACLD,0.33320503429019077,0.3333328683271094,0.3333332667862113,0.3333332862383053,0.33333328549471325,Predicted
pre_sp|Q9CEN1|MURE_LACLA,0.33320308809994853,0.333333145034332,0.3333333274983713,0.33333333005551935,0.33333333030033474,Predicted
pre_sp|P94388|CAH_BACSU,0.3332378170728312,0.3333331537275064,0.3333333180894626,0.33333332219468664,0.3333333225664551,Predicted
pre_sp|Q8RPQ1|DPS1_BACAN,0.3331248715424162,0.3333320685836375,0.33333319232384295,0.3333332217006744,0.33333321934231513,Predicted
pre_sp|Q81SX4|IDI2_BACAN,0.33321175830539074,0.3333331168715878,0.33333332084913453,0.3333333243091881,0.3333333248864438,Predicted
pre_sp|Q2FYG7|NDK_STAA8,0.3332036619542628,0.3333327803080952,0.33333319841492454,0.33333322622576045,0.33333322399442367,Predicted
pre_sp|P45947|ARSC_BACSU,0.33323445781658023,0.3333329160622854,0.3333331904526811,0.333333200819255,0.3333331978526308,Predicted
pre_sp|O07608|LPLJ_BACSU,0.3332192931940449,0.33333315856058987,0.3333333203881993,0.33333332388713166,0.3333333238002039,Predicted
pre_sp|Q65CR5|PURA_BACLD,0.3332130568192377,0.3333330939649887,0.3333333236183396,0.3333333287710879,0.3333333290216193,Predicted
